,,,,,,,,,,,,,,,,,VALID,,,Posisi,,:,Technical Manager,,,,,,,,,,
,,,,,,,,,,,,,,,,,VALID,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA HASIL KALIBRASI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1. Wave Length Calibration,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Filter Standar :,,Holmium Oxide & Didynium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,No.,Wave Length (nm) - Holmium,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Std Value (λ1) ,Measurement Result,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,X1,X2,X3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,279.6,280,280,280,,,,,,,,,,,,,,,,,,,,,287.4,287.5,287.5,287.5
,,,,,2,287.7,288,288,288,,,,,,,,,,,,,,,,,,,,,287.4,287.5,287.5,287.5
,,,,,3,334,333.74,333.74,333.74,,,,,,,,,,,,,,,,,,,,,333.6,334,334,334
,,,,,4,360.9,360.35,360.59,360.6,,,,,,,,,,,,,,,,,,,,,360.6,361,361,361
,,,,,5,418.6,418.6,418.34,418.34,,,,,,,,,,,,,,,,,,,,,418.4,418.5,418.5,418.5
,,,,,6,445.8,445.44,445.69,445.69,,,,,,,,,,,,,,,,,,,,,445.5,446,446,446
,,,,,7,453.6,453.55,453.29,453.29,,,,,,,,,,,,,,,,,,,,,453.3,453.5,453.5,453.5
,,,,,8,460,459.13,459.37,459.37,,,,,,,,,,,,,,,,,,,,,459.1,460,460,460
,,,,,9,536.3,536.63,536.37,536.37,,,,,,,,,,,,,,,,,,,,,536.1,536.5,536.5,536.5
,,,,,10,637.9,637.45,637.18,637.18,,,,,,,,,,,,,,,,,,,,,637.2,637.5,637.5,637.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,No.,Wave Length (nm) - Didynium,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Std Value (λ1) ,Measurement Result,,,,,,,,,,,,,,,,,,,,,,,,,,
