,TABEL BUDGET KETIDAKPASTIAN INSTRUMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Derajat kebebasan efektif, veff",,,,,,,,7.367683516139811,,,,,,,,,,,,,,,,,,,,,,,,,
,"Faktor cakupan, k & batas kepercayaan 95%",,,,,,,,2.364624251592785,,,,,,,,,,,,,,,,,,,,,,,,,
,"Ketidakpastian bentangan, U = k.Uc",,,,,,,,0.3742847899265122,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,CMC :,0.4,,nm,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,    U95% sertifikat :,,0.4,,nm,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Besaran yang diukur         ,:,%Transmitan (Accuracy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,:,Visible Spectrofotometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rentang ukur,:,0-100,%T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Komponen,Satuan,Distribusi,U,Pembagi,vi,ui,ci,uici,(uici)2,(uici)4/vi,,,,,,,,,,,,,,,,,,,,,,,
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,,,,,,,,,,,,,,,,,,,
,Ketidakpastian Standar,%T,t-Student,0.5,2,200,0.25,1,0.25,0.0625,1.953125e-05,,,,,,,,,,,,,,,,,,,,,,,
,Keterulangan Pengukuran,%T,Normal,0.004098780306383994,2.449489742783178,5,0.0016733200530682146,1,0.0016733200530682146,2.8000000000002125e-06,1.5680000000002379e-12,,,,,,,,,,,,,,,,,,,,,,,
,Resolusi Alat,%T,Rectangular,0.0005,1.7320508075688772,1000000,0.0002886751345948129,1,0.0002886751345948129,8.333333333333334e-08,6.944444444444446e-21,,,,,,,,,,,,,,,,,,,,,,,
,Drift Standard,%T,Normal,0.05,1.7320508075688772,50,0.02886751345948129,1,0.02886751345948129,0.0008333333333333335,1.3888888888888894e-08,,,,,,,,,,,,,,,,,,,,,,,
,Spectral Bandwidth,nm,Rectangular,0.07555555555555789,1.7320508075688772,50,0.043622020338773076,0.006868686868687081,0.00029962599828653143,8.977573884920054e-08,1.6119366571839713e-16,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jumlah,,,,,,,,0.03082950864714432,0.000836216666666667,1.3890456888895839e-08,,,,,,,,,,,,,,,,,,,,,,,
,"Ketidakpastian baku gabungan, uc",,,,,,,,0.028917411133548367,,,,,,,,,,,,,,,,,,,,,,,,,
,"Derajat kebebasan efektif, veff",,,,,,,,50.340915292002045,,,,,,,,,,,,,,,,,,,,,,,,,
,"Faktor cakupan, k & batas kepercayaan 95%",,,,,,,,2.008559112100761,,,,,,,,,,,,,,,,,,,,,,,,,
,"Ketidakpastian bentangan, U = k.Uc",,,,,,,,0.058082329630652574,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,CMC :,0.5,,nm,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,    U95% sertifikat :,,0.5,,nm,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Besaran yang diukur         ,:,%Transmitan (SRE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,:,Visible Spectrofotometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rentang ukur,:,300-900,%T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Komponen,Satuan,Distribusi,U,Pembagi,vi,ui,ci,uici,(uici)2,(uici)4/vi,,,,,,,,,,,,,,,,,,,,,,,
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,,,,,,,,Average (%),,,#DIV/0!,,,,,,,,
,Ketidakpastian Standar,%T,Normal,0.5,2,60,0.25,1,0.25,0.0625,6.510416666666667e-05,,,,,,,,,,,,Average (nm),,,#DIV/0!,,,,,,,,
,Keterulangan Pengukuran,%T,Rectangular,0,2.449489742783178,5,0,1,0,0,0,,,,,,,,,,,,Sumber : SNSU PK.F-01:2020 PANDUAN KALIBRASI SPEKTROFOTOMETER UV-VIS,,,,,,,,,,,
,Resolusi Alat,%T,Rectangular,0.0005,1.7320508075688772,50,0.0002886751345948129,1,0.0002886751345948129,8.333333333333334e-08,1.388888888888889e-16,,,,,,,,,,,,,,,,,,,,,,,
,Drift Standard,%T,Normal,0.05,1.7320508075688772,60,0.02886751345948129,2,0.05773502691896258,0.003333333333333334,1.8518518518518526e-07,,,,,,,,,,,,,,,,,,,,,,,
,Jumlah,,,,,,,,0.2502886751345948,0.06250008333333333,6.510416666680555e-05,,,,,,,,,,,,,,,,,,,,,,,
,"Ketidakpastian baku gabungan, uc",,,,,,,,0.2500001666666111,,,,,,,,,,,,,,,,,,,,,,,,,
,"Derajat kebebasan efektif, veff",,,,,,,,60.000159999978685,,,,,,,,,,,,,,,,,,,,,,,,,
,"Faktor cakupan, k & batas kepercayaan 95%",,,,,,,,2.003180593851498,,,,,,,,,,,,,,,,,,,,,,,,,
,"Ketidakpastian bentangan, U = k.Uc",,,,,,,,0.5007954823261956,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,CMC :,0.5007954823261956,%T,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,    U95% sertifikat :,,0.5007954823261956,,nm,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Faktor cakupan, k & batas kepercayaan 95%",,,,,,,,2.003180593851498,,,,,,,,,,,,,,,,,,,,,,,,,
,"Ketidakpastian bentangan, U = k.Uc",,,,,,,,0.5007954823261956,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,CMC :,0.5007954823261956,,nm,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,    U95% sertifikat :,,0.5007954823261956,,nm,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
