 ,TABEL BUDGET KETIDAKPASTIAN INSTRUMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Temperature (UTemperature),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,,,,,,,:,Refractometer,,,,,a.,U95% Thermometer Certificate (oC),,,,,,,b.,U95% Sensor Certificate (oC),,,,,,c.,Utemp. (oC),,,:,0.03935733730830886,,,,,,,,,
,"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005295557108700615,,,,n20D,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,CMC Laboratory,6.7e-05,,,,n20D,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Uncertainty sertifikat,0.0005295557108700615,,,,n20D,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60,,n20D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Component,,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,,,,,,,,,#REF!,
,Ketidakpastian Baku Berat dari Sukrosa (Timbangan),,,,,,,gr,,normal,,,#REF!,,,1.7320508075688772,,60,,#REF!,,,#REF!,,#REF!,,,#REF!,,,,#REF!,,,,,,,,,,,,
,Ketidakpastian Kemurnian Standard Sukrosa,,,,,,,-,,rect.,,,3.7e-05,,,1.7320508075688772,,50,,2.1361959960016152e-05,,,1,,2.1361959960016152e-05,,,4.563333333333333e-10,,,,4.164802222222221e-21,,,,,,,,,,,,
,Ketidakpastian Berat Molekul Sukrosa,,,,,,,g/mol,,rect.,,,#REF!,,,1.7320508075688772,,50,,#REF!,,,#REF!,,#REF!,,,#REF!,,,,#REF!,,,,,,,,,,,,
,Ketidakpastian Baku Daya Baca Alat yang dikalibrasi,,,,,,,%Brix,,rect.,,,5e-05,,,1.7320508075688772,,50,,2.8867513459481293e-05,,,1,,2.8867513459481293e-05,,,8.333333333333336e-10,,,,1.3888888888888897e-20,,,,,,,,,,,,
,Ketidakpastian Temperature,,,,,,,%Brix,,rect.,,,-0.00045000000000006146,,,1.7320508075688772,,50,,-0.00025980762113536707,,,1,,-0.00025980762113536707,,,6.750000000001844e-08,,,,9.112500000004979e-17,,,,,,,,,,,,
,Ketidakpastian Baku Pengulangan Pembacaan,,,,,,,%Brix,,t-student,,,#DIV/0!,,,5,,4,,#DIV/0!,,,1,,#DIV/0!,,,#DIV/0!,,,,#DIV/0!,,,,,,,,,,,,
,Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,#REF!,,,,,,,,,,,,
,"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,
,"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,
,"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,
,"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,n20D,,,,,,,,,,,,
