ref,nama,alamat,kota,provinsi
jbk-121,PT. Cipta Guna Adyadarma (Figorex Indonesia),"Jl. Jababeka XVI Blok V 69 C, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-122,PT. Cipta Pesona Agung,"Jl. Jababeka XII Blok W 12, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-123,PT. Cipta Piranti Tehnik,"Jl. Jababeka XI Blok H, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-124,PT. Conitex Sonoco Indonesia,"Jl. Jababeka XII Blok V 3-5, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-125,PT. Cosmindo Warna Sejati,"Jl. Jababeka XIB Blok K 10 B, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-126,PT. CSR Prima Karya Plasterboard,"Jl. Jababeka XI Blok L 3-5, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-127,PT. Dae Young Indonesia,"Jl. Jababeka VIIB Blok K 2 K,L, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-128,PT. Daelim Indonesia,"Jl. Jababeka Raya Blok E 6-8, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-129,PT. Daewoo Electronics Indonesia,"Jl. Industri Selatan 2 Blok LL 4-6, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-130,PT. Dairygold Indonesia,"Jl. Jababeka III Blok C 18 C, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-131,PT. Daxen Indonesia,"Jl. Jababeka VIIA Blok B 11 B, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-132,PT. Daya Komponen Prolog qq,"Jl. Industri Selatan 2 Blok MM 16, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-133,PT. Dempoo Mandiri Indonesia,"Jl. Jababeka VIID Blok K 1 K, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-134,PT. Der Ruey Electronics Indonesia,"Jl. Industri Selatan 2 Blok MM 12, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-135,PT. Design Shop Prima International,"Jl. Industri Selatan Blok HH 7, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-136,PT. Dharma Electrindo Manufacturing,"Jl. Jababeka III H Blok C 17 W, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-137,PT. Difan Prima Paint,"Jl. Jababeka VIIA Blok B 11 N, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-138,PT. Dinamika Inti Surya Cemerlang,"Jl. Jababeka IX A Blok P 2 F, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-139,PT. Dinamika Wijaya Kusuma,"Jl. Jababeka Blok C/17 DA, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-140,PT. DMC Teknologi Indonesia,"Jl. Jababeka II Blok C 17 AA, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-141,PT. Dongsan Indonesia,"Jl. Jababeka III-G Blok C Unit 17-AS, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-142,PT. Dongwoo Environmental Indonsia,"Jl. Jababeka IXF Blok P 3 F, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-143,PT. Doowon Precision Indonesia,"Jl. Jababeka IV Blok C 2 E, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-144,PT. Durachem Indonesia,"Jl. Jababeka XIVA Blok J 5 Q, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-145,PT. Duta Firza,"Jl. Jababeka XIA Blok K 8 C, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-146,PT. Dwitunggal Eka Tama,"Jl. Jababeka VII Blok K 5 B, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-147,PT. Dyno Oil Field Chemicals Indonesia,"Jl. Jababeka XVIIE Blok U 27 A, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-148,PT. Eagle Burgmann Indonesia,"Jl. Jababeka Blok J Unit 6- E, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-149,PT. Ecolab Indonesia,"Jl. Jababeka XVIIB Blok U 35 A, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-150,PT. Emson-Ongko Indonesia,"Jl. Jababeka VIIA Blok B 11 U, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-151,PT. Endelica,"Jl. Jababeka XIA Blok K 9 B, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-152,PT. Enfandy Dharma,"Jl. Jababeka III Blok C 18 F, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-153,PT. Essence Indonesia,"Jl. Jababeka V Blok U 14-17, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-154,PT. Este Komindo,"Jl. Industri Selatan 1 Blok OO 3 H, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-155,PT. Etona Abadi /Top Food Indonesia,"Jl. Jababeka XIA Blok K 8 B, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-156,PT. Fashion Indonesia Art,"Jl. Industri Selatan 1 Blok OO 3 F, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-157,PT. Fastindo Piranti Kabel,"Jl. Jababeka IXF Blok P 3 G, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-158,PT. Federal Superior Chain MFG,"Jl. Industri Utara 2 Blok BB 5-7, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-159,PT. Ferron Par Pharma Ceutical,"Jl. Jababeka VI Blok J3, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-160,PT. Festo,"Jl. Jababeka VIIG Blok R 1 F, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-161,PT. Foodex Inti Ingredientas,"Jl. Jababeka VI Blok J 4 B, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-162,PT. Foodindo Dwi Vastamas,"Jl. Industri Selatan IV Blok GG 5, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-163,PT. Foster Isolasi Buana,"Jl. Jababeka XIIB Blok V 7, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-164,PT. Frigorex Indonesia,"Jl. Jababeka VI Blok P 1, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-165,PT. Fuches Indonesia/ Interkimia Mekar Jaya,"Jl. Jababeka VI Blok J 6 K, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-166,PT. Fuji Gravure Cyllnders,"Jl. Jababeka Raya Blok F35, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-167,PT. Fuji Lin Indo Enterprise,"Jl. Jababeka IIIG Blok C 17 O, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-168,PT. Fuji Selimitsu Indonesia,"Jl. Industri Selatan Blok RR 10, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-169,PT. Fukoku Indonesia,"Jl. Industri Selatan 2 Blok MM 19, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-170,PT. Futurinsan Sonsindo,"Jl. Jababeka XIV Blok J 12 A, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-171,PT. Garitcindo Cipta Prima,"Jl. Jababeka XVII Blok 92-93, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-172,PT. Geasindo Teknik Pratama,"Jl. Jababeka IIB Blok C 12 F, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-173,PT. General Teknik,"Jl. Jababeka IIIH Blok C Unit 17 GT, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-174,"PT. Geoservices, Ltd QQ","Jl. Industri Utara 1 Blok SS 15, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-175,PT. Global Steel Indonesia,"Jl. Jababeka IVE Blok V 81 C, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-176,PT. Golden Time Co. Ltd.,"Jl. Jababeka XIVA Blok J 5 F, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-177,PT. Good Food Indonesia,"Jl. Jababeka VII SBF Blok K 56, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-178,PT. Grace Specialty Chemicals Indonesia,"Jl. Jababeka Raya Blok C 32, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-179,PT. Grafindo Mitrasemesta,"Jl. Jababeka XVIB Blok U 8 D, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-180,PT. Grafitecindo Cipta Prima,"Jl. Jababeka XVII Blok V Kav. 92-93, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-181,PT. Grahatama Wira Kontrindo,"Jl. Jababeka IIG Blok CC 19, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-182,PT. Gunungsari Widiatama Jaya,"Jl. Jababeka IIID Blok C 18 U, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-183,PT. Haluan Cipta Maju,"Jl. Industri Selatan 1 Blok OO 2 C, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-184,PT. Harapan Mandiri Utama,"Jl. Jababeka VIIG Blok R 2 A, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-185,PT. Harnessindo Tunggal,"Jl. Jababeka IXA Blok P 2 G, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-186,PT. Harsa Wira Sakti,"Jl. Jababeka VIIA Blok B 11 X, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-187,PT. Hatada Masindo,"Jl. Jababeka IVC Blok T 2 E, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-188,PT. Hayashi Unggul Industry,"Jl. Jababeka II Blok C 12 A, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-189,PT. Hcl Converting Equipment,"Jl. Jababeka IV Blok C 4-5, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-190,PT. Hendra Setiadi,"Jl. Jababeka IVC Blok T 2 C, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-191,PT. Henoch Jaya,"Jl. Jababeka V Blok H 1, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-192,PT. Hibex Indonesia,"Jl. Jababeka II Blok C 18 E, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-193,PT. Hinodhika Gurinda Jaya,"Jl. Jababeka XI Blok K 9 F, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-194,PT. Hioe Masuki Kusuma,"Jl. Jababeka IIH Blok CC 8, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-195,PT. Hoe Leong Corp,"Jl. Industri Selatan Blok RR 8-9, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-196,PT. Hokuriku United Forging Industry,"Jl. Jababeka XI Blok H 12-15, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-197,PT. Hoppecke Indonesia,"Jl. Jababeka II Blok C 24, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-198,PT. Hume Concrete Indonesia,"Jl. Jababeka V Blok G 1-3, 36 38, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-199,PT. Humpuss Trading,"Jl. Jababeka XIV Blok J 10 C, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-200,PT. Hung Brothers Makmur,"Jl. Jababeka Raya Blok K 1 B, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-201,PT. Hunter Douglas Indonesia,"Jl. Jababeka XIV Blok J 11 E, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-202,PT. Hyop Woo Dunia,"Jl. Industri Selatan 2 Blok MM 7, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-203,PT. Hyop Woo Indonesia,"Jl. Industri Selatan 2 Blok MM 6, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-204,PT. ICI Paints Indonesia,"Jl. Jababeka IV Blok V 64, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-205,PT. ICI Surfactans {Uniqema Indonesia},"Jl. Jababeka IV Blok V 74-75, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-206,PT. Ihaka Kharisma,"Jl. Jababeka XIB Blok K 10 D, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-207,PT. Ik Precision Indonesia,"Jl. Jababeka XVIIF Blok U 23 D, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-208,PT. Ikimura Indotools Center,"Jl. Jababeka VIIA Blok B 11 H, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-209,PT. Indoexpress Corporation,"Jl. Jababeka XVI Blok V 41, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-210,PT. Indoktor Indnesia,"Jl. Jababeka IIIH Blok C 17 K, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-211,"PT. Indonesian Marine Corp, Ltd","Jl. Jababeka XIV Blok J 11 D, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-212,PT. Induk Sarana Kemasindo,"Jl. Jababeka IIA Blok C 11 D, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-213,PT. Inkomas Lestari,"Jl. Jababeka X Blok G 34-35, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-214,PT. Inmac Sejahtera,"Jl. Jababeka VI Blok J 5 A, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-215,PT. Intaglo Jakarta,"Jl. Jababeka IIIG Blok C 17 P, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-216,PT. Intan Jaya Medika Solusi,"Jl. Jababeka XVI Blok W 44, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-217,PT. International Coatings,"Jl. Industri Selatan 2 Blok MM 5, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-218,PT. Inti Marindo Primacon,"Jl. Jababeka III Blok C 18 M, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-219,PT. Inti Presisi Toolsindo,"Jl. Jababeka II-E Blok C Unit 15-F, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-220,PT. Intidana Adimandiri,"Jl. Jababeka VIID Blok K 1 E, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-221,PT. Intipraja Tekno Industri,"Jl. Jababeka X Blok F 10, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-222,PT. Intraparr Nusantara,"Jl. Jababeka VIIA Blok B 11 P, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-223,"PT. IPD Indonesia/Hsin Yi Su, Mr,","Jl. Jababeka XVIIC Blok V 90 A, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-224,"PT. Isolite Insulting Product, Co, Ltd","Jl. Jababeka XIIB Blok V 8, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-225,PT. Istana Warna Cat Indah,"Jl. Jababeka VIII A Blok B No. 11 A, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-226,PT. Jaeil Indonesia,"Jl. Industri Selatan 2 Blok MM 9, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-227,PT. Jaindo Metal Industries,"Jl. Jababeka Raya Blok E 1-5, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-228,PT. Jakarta Food Industri,"Jl. Jababeka IX F Blok P3, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-229,PT. JIT Electronics Ltd.,"Jl. Industri Selatan 2 Blok JJ 16, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-230,PT. Kaiden Multi Rekatama,"Jl. Jababeka II Blok C 27-28, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-231,PT. Kalimasada Pusaka,"Jl. Industri Selatan 1 Blok OO 2 A, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-232,PT. Kamiba Indojaya,"Jl. Jababeka IIG Blok C 16 W, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-233,PT. Kao Indonesia,"Jl. Jababeka VI Blok N 2-5, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-234,PT. Karang Buana Indah,"Jl. Jababeka XII Blok W 5, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-235,PT. Karsa Indira Makarya,"Jl. Jababeka VIIB Blok K 2 J, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-236,PT. Karya Pratama Dunia,"Jl. Jababeka IIC Blok C 11 I, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-237,PT. Karya Tunas Mustika,"Jl. Jababeka IIB Blok C 12 E, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-238,PT. Kastraco Engineering,"Jl. Jababeka XIA Blok K 9 D, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-239,PT. Katstraco Engineering,"Jl. Jababeka XII Blok I, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-240,PT. KATSUSHIRO INDONESIA,"Jl. Jababeka XII Blok I, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-241,PT. Katup Mas Kompresotama,"Jl. Jababeka IIJ Blok CC 28, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-242,PT. KMK Plastic Indonesia,"Jl. Jababeka XII Blok W 14, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-243,PT. Knorr Indonesia,"Jl. Jababeka II Blok C 9-10, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
