ref,nama,alamat,kota,provinsi
jbk-28,PT. Avery Denison Indonesia,"Jl. Jababeka IV D Blok V 81 D, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-29,PT. Avesta Welding Products,"Jl. Industri Selatan 2 Blok JJ 7, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-30,PT. Aviesta Wedding Produc,"Jl. Industri Selatan 2 Blok JJ 7,8, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-31,PT. Ayumas Saddasa,"Jl. Jababeka IIIH Blok C 17 T, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-32,PT. Ayumas Saddesa,"Jl. Jababeka IIIH Blok C 17 T, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-33,PT. Bali Asri Nusa,"Jl. Jababeka XII Blok W 9, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-34,PT. Bangkit Maju Wijaya (Rudi Julianto Kuswandi),"Jl. Industri Selatan 1 Blok OO 2 E, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-35,PT. Bank Negara Indonesia 46,"Jl. Jababeka Raya Blok A 1 B, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-36,PT. Banshu Electric Indonesia,"Jl. Jababeka VI Blok U 9 B, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-37,PT. Banshu Plastic Indonesia,"Jl. Jababeka XIV Blok J 12 B, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-38,PT. Batawell,"Jl. Industri Selatan 2 Blok MM 5, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-39,PT. Belivingindo Sejahtera,"Jl. Jababeka IIE Blok C 15 L, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-40,PT. Berlei Indonesia,"Jl. Jababeka XIIB Blok W 39, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-41,PT. Bernadi Patria Selaras,"Jl. Jababeka VI A Blok J 6 A, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-42,PT. Bernadi Utama,"Jl. Jababeka II Blok C 26, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-43,PT. Bernard M. H. Yeo,"Jl. Jababeka XVIID Blok U 28 D, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-44,PT. Bestarindo Mandiri (Primasakti Globalindo),"Jl. Jababeka VIIB Blok K 2 M, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-45,PT. Betso Tech Indonesia (Putra Kandaga Lestari),"Jl. Industri Selatan 1 Blok OO 2 B, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-46,PT. Bigjoe Chemicals Indonesia,"Jl. Jababeka XIVA Blok J 3 B, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-47,PT. Bina Jaya Optimal,"Jl. Jababeka III H Blok C 17 W, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-48,PT. Bina Mentari Tunggal,"Jl. Industri Utama Blok RR 2 F, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-49,PT. Bina Niaga Multiusaha,"Jl. Industri Selatan 4 Blok PP 4, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-50,PT. Bina Reksi Utama,"Jl. Jababeka VII Blok K 21, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-51,PT. Binkomara Huma,"Jl. Jababeka II C Blok C 14 E K, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-52,PT. Binkorama Huma,"Jl. Jababeka IIC Blok C 14 E, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-53,PT. Bintang Abadi Sejahtera,"Jl. Jababeka IIIH Blok C 17 AT, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-54,PT. Birotika Semesta,"Jl. Jababeka IXA Blok P 2 B, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-55,PT. Block Buster Besrati,"Jl. Industri Selatan I Blok 004 B, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-56,PT. Block Buster Bestari (Pro Millenium Media),"Jl. Industri Selatan 1 Blok OO 4 B, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
