ref,nama,alamat,kota,provinsi
idn-30,PT. Citra Menara Mas,"Jl. Paseh-Kamojang No.KM, RW.2, Cibeet, Kec. Majalaya, Kabupaten Bandung, Jawa Barat 40384, Kota Bandung, Jawa Barat",Kota Bandung,Jawa Barat
idn-31,PT. Catur Jaya Anugerah,"JL. Putra Bangsa Anggaswangi, Sukodono, 61258, Kabupaten Sidoarjo, Jawa Timur",Kabupaten Sidoarjo,Jawa Timur
idn-32,PT. Hastin Multi Teknik,"Jl. Pesona Ontario BLok UG 5 No. 15 RT.02 RW.019 Kota Wisata, Desa Limus Nunggal, Kecamatan Cileungsi, kab Bogor - Jawa Barat, Kabupaten Bogor, Jawa Barat",Kabupaten Bogor,Jawa Barat
idn-33,CV. Zulindo Jaya Mandiri,"JL. Condrokusumo Raya No. 21-D, Kel. Bongsari, Kec. Semarang Barat, 50148, Kota Semarang, Jawa Tengah",Kota Semarang,Jawa Tengah
idn-34,PT. Jatika Nusa,"Jl. Holis No. 402 Caringin Bandung Kulon Kota Bandung, Kota Bandung, Jawa Barat",Kota Bandung,Jawa Barat
idn-35,PT. Denko Wahana Sakti,"Kawasan Industri De Prima Terra, Jl. Raya Sapan, RT.01/RW.01 Blok E2/11, Tegalluar, Bojongsoang, Bandung Regency, Jawa Barat Kota Bandung Jawa Barat, Kota Bandung, Jawa Barat",Kota Bandung,Jawa Barat
idn-36,Pusat Besi Surabaya,"Surabaya, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-37,PT. Hand Lift Indonesia Surabaya,"Jl. Gotong Royong Kp. Kalurahan Kelurahan Pabuaran Kecamatan Gunung Sindur, Kabupaten Bogor, Jawa Barat",Kabupaten Bogor,Jawa Barat
idn-38,Hi Steel,"Jl. Wibawa Mukti No. 69, Jatiasih, Bekasi, Jawa Barat, Indonesia, 17146, Kota Bekasi, Jawa Barat",Kota Bekasi,Jawa Barat
idn-39,PT. Hand Lift Indonesia,"Jl. Gotong Royong No. 39 KP. Kalurahan RT. 004/004, Pabuaran Gunung Sindur, Kab. Bogor, Kabupaten Bogor, Jawa Barat",Kabupaten Bogor,Jawa Barat
idn-40,CV. Dua Putra Petir,"Office: , , 📍 Bukit Palma Blok C5 No. 33 Citraland Utara Kec. Pakal, 60197, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-41,CV. Dua Putra Petir,"Bukit Palma Blok C5 No. 33 Citraland Utara Kec. Pakal, 60197 Surabaya, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-42,CV. Dua Putra Petir,"Bukit Palma Blok C5 No. 33 Citraland Utara Kec. Pakal, 60197, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-43,PT. Zahra Inti Retsuna,"Ruko Pasar modern unit R.01 , Jalan Boulevard Harapan Indah , Tarumajaya , Kabupaten Bekasi 17214, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-44,PT. Berkah Buana Putra,"Jl. Boulevard Raya Ruko, Jl. Coco Garden No. 19 Blok RA2, Klapanunggal, Kabupaten Bogor, Jawa Barat",Kabupaten Bogor,Jawa Barat
idn-45,PT. Sanshui Water Asia,"Komplek Perkantoran Kemang Permai Blok B No 1 Jalan Raya Siliwangi Km 0,5 Rawa Panjang- Sepanjang jaya Kota Bekasi- Jawa Barat 17114. , , Warehouse-Gunung Putri, Kabupaten Bogor (Jl. Riverside Golf Club, Kampung Cikuda No. 60, Bojong Nangka-Gunung Putri), Kota Bekasi, Jawa Barat",Kota Bekasi,Jawa Barat
idn-46,CV. Maju Jaya,"Kantor Pusat : 📍 Jl. Kaliagung 1 Blok F-17 (Komplek Kaliagung Megah), Nyamplungan, Pabean Cantikan - 60162, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-47,JN Chemical,"Jl. Sumpah Pemuda No. 142, Mojosongo, Surakarta, Kota Surakarta, Jawa Tengah",Kota Surakarta,Jawa Tengah
idn-48,CV. Atap Rumah Kita,"Ruko RB3, Jl. Kemuning Raya Perum Bojong Menteng Indah, RT.001/RW.013, Bojong Menteng, Kec. Rawalumbu, Kota Bks, Jawa Barat 17117, Kota Bekasi, Jawa Barat",Kota Bekasi,Jawa Barat
idn-49,PT. Atap Puri Sakti,"JL. Krukut No. 43 Limo, Kota Depok, Jawa Barat",Kota Depok,Jawa Barat
idn-50,PT. Cipta Surya Mulia,"Ruko Graha Mustika Media Jl. Raya Setu Blok AA No. 12A Lubang Buaya,Setu, Kecamatan Cibitung Kab.Bekasi Jawa Barat Indonesia 17320, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-51,PT. Anshell Jaya,"Ruko Kingstown, JL. Citra Raya, Blok KK No.02, Kel. Sambikerep, Kec. Sambikerep, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-52,CV. Bintang Jaya Makmur,"Jl. Rinjani Raya, No. 9, Kaliabang Tengah, Bekasi Utara, Kota Bekasi, Jawa Barat, Kota Bekasi, Jawa Barat",Kota Bekasi,Jawa Barat
idn-53,PT. MAJU JAYA BERSAMA,"Mega Regency Blok B2 No.12 RT.004/RW/021 Kel.Sukaragam Kec,Serang Baru, Bekasi, Jawa Barat, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-54,PT. Alpha Austenite,"Kawasan Industri Menara Permai Jl. Raya Narogong KM-23,8, 16820, Kabupaten Bogor, Jawa Barat",Kabupaten Bogor,Jawa Barat
idn-55,PT. Indofast Agro Nusantara,"Jl. Marwoto No.5, Dusun Wadungdolah, Kaligondo, Kec. Genteng, Kabupaten Banyuwangi, Jawa Timur",Kabupaten Banyuwangi,Jawa Timur
idn-56,PT. Anugerah Jaya Petindo Sejahtera,"Pergudangan Center Poin A6-7, Kec. Balongbendo, Sidoarjo, Jawa Timur., Kabupaten Sidoarjo, Jawa Timur",Kabupaten Sidoarjo,Jawa Timur
idn-57,CV. Tri Utama,"Pergudangan Tritan Taman Blok C-35 Jl. Raya Sawunggaling, Taman, 61212, Kabupaten Sidoarjo, Jawa Timur",Kabupaten Sidoarjo,Jawa Timur
idn-58,Freddo Cooling Specialist,"F32, Jl. Ahmad Yani No.41-43, Congkop, Keboansikep, Gedangan, Sidoarjo Regency, East Java 61254, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-59,PT. Deus Digital Transformasi Universal,"Jl. Darmo Indah Timur X Blok Q No. 12 Surabaya, Jawa Timur, 60117, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-60,PT. Mardika Sarana Engineering,"Jl. Raya Tenggilis Mejoyo No. 121/AA-1 Rungkut, 60293, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-61,CV. Asstraco,"Margomulyo permai blok AH-22 AsemRowo, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-62,CV. Surya Box,"JL. Banyu Urip No. 153, Kel. Banyu Urip, Kec. Sawahan, 60254, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-63,CV. Surabaya Cool,"JL. Wiguna Tengah IX No. 25, Kel. Gunung Anyar Tambak, Kec. Gunung Anyar, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-64,PT. Tenda Raider Indonesia,"Jl. Raya Setu No. 99, Lubang Buaya, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-65,CV. Dua Cahaya Steel,"JL. Raya Jogoloyo Peterongan KM. 70, Sumobito, 61483, Kabupaten Jombang, Jawa Timur",Kabupaten Jombang,Jawa Timur
idn-66,CV. Sinar Mas Container,"JL. Kalianak Barat No. 73-B, Kel. Kalianak, Kec. Asem Rowo, 60183, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-67,UD. Sumber Sejahtera,"Jl. Kusuma Bangsa No. 55-B Kapasari, Kec. Genteng, 60273, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-68,CV. Beta Construction,"JL. H. Syukur VI A, Kel. Sedati Gede, Kec. Sedati, 61253, Kabupaten Sidoarjo, Jawa Timur",Kabupaten Sidoarjo,Jawa Timur
idn-69,PT. Semeru Inti Sukses,"JL. Raden Saleh No. 8, Kel. Bubutan, Kec. Bubutan, 60174, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-70,CV. Anugrah Niaga Sejahtera,"Gudang Asri , , 📍 Jl. Pratama Indah No. 5 Blok B3 No. 3 RT. 001, RW. 001, Pelem Watu, Menganti, 61174, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-71,PT. Carcentro Teknik Indonesia,"Jl. BTN Pabuaran Indah, Pabuaran, Kec. Cibinong, Kabupaten Bogor, jawa Barat 16916, Kota Bogor, Jawa Barat",Kota Bogor,Jawa Barat
idn-72,Dunia Pemadam Indonesia,"Cibubur Point Blok-A No. 2 Jl. Transyogi KM 1 Alternatif Cibubur, RT. 005, RW. 009, Kel. Harjamukti, Kec. Cimanggis, 16454, Kota Depok, Jawa Barat",Kota Depok,Jawa Barat
idn-73,CV. Alaweru Sedulana Wangi,"JL. Tambak Osowilangun No. 26, Kel. Tambak Osowilangun, Kec. Benowo, 60191, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-74,PT. Tanki Abadi Perkasa,"Dsn. Wonoayu No. 13, RT. 027, RW. 006, Kel. Kalipuro, Kec. Pungging, 61384, Kabupaten Mojokerto, Jawa Timur",Kabupaten Mojokerto,Jawa Timur
idn-75,PT. Cepat Maju Jaya Makmur,"JL. Raya Lidah Wetan No. 14-15, Kel. Lidah Wetan, Kec. Lakarsantri, 60213, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-76,PT. Zahra Inti Retsuna,"Ruko Pasar Modern Unit R 01, Jln. Boulevard Harapan Indah, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-77,PT. Vacpack Indonesia,"Jl. Intan 2 No.88, RT.004/001, Curug, Kabupaten Bogor, Jawa Barat",Kabupaten Bogor,Jawa Barat
idn-78,PT. Nusantara Mandiri Resource,"Hive Mataram No. W73 - W75 Jl. Mataram Cibatu Lippo Cikarang, Cikarang, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-79,PT. Glosamani,"Kawasan Niaga Citra Gran R-12 No. 17 Jl. Alternative Transyogi, Cibubur, 17434, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-80,Panca Jaya Equipment,"OFFICE : Jl. Ambengan 1 P (Kompleks Pertokoan Ambengan Indah) - Kel. Ketabang, Kec. Genteng SHOWROOM : Jl. Ambengan 1 Q (Kompleks Pertokoan Ambengan Indah) - Kel. Ketabang, Kec. Genteng, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-81,PT. Kreasi Mandiri Perkasa,"Representative Office : , Jl. Muhtarudin Raya Blok A No. 15, RT 002/008, Kujang Sari, Bandung Kidul, Bandung - Jawa Barat, , Head Office :, D'Aroem Village Blok B No.5, Rangkapan Jaya Baru, Kota Depok, Jawa Barat",Kota Depok,Jawa Barat
idn-82,PT. Maju Jaya Prima Perkasa,"Mega Regency Blok B2 No. 12, RT. 04, RW. 21, Kel. Sukaragam, Kec. Serang Baru - 17334, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-83,PT. Mandiri Niagamas Cemerlang,"Jl. Tirta Kencana 2 No. 67 Cluster Cibiru, Cibatu, Cikarang Selatan, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-84,PT. Teknindo Global Jaya,"Jl. Kalibaru Barat Kp. Rawa Bebek No. 14, RT 001 RW 015 Kel. Kotabaru, Bekasi Barat., Kota Bekasi, Jawa Barat",Kota Bekasi,Jawa Barat
idn-85,PT. Setiawan Jaya Usaha,"Jl. Krenekan RT. 04, RW. 08, Ceper, 57465, Kabupaten Klaten, Jawa Tengah",Kabupaten Klaten,Jawa Tengah
idn-86,UD. Tiga Berkah Engineering,"Citra Harmoni F4/16 Sidodadi, Taman, Kabupaten Sidoarjo, Jawa Timur",Kabupaten Sidoarjo,Jawa Timur
idn-87,CV. Riki Utama Mandiri Seafood,"Surabaya - Sidoarjo, Kabupaten Sidoarjo, Jawa Timur",Kabupaten Sidoarjo,Jawa Timur
idn-88,Semesta Garda Mandiri Production,"JL. Raya Desa Heuleut, Kec. Leuwimunding, Kabupaten Majalengka, Jawa Barat",Kabupaten Majalengka,Jawa Barat
idn-89,PT. Cortico Mulia Sejahtera,"Jl. Darmo Surabaya, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-90,PT. Anugerah Santosa Abadi,"Jl. Kutisari Selatan 2 No. 80 C-D - 60291, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-91,CV. Artha Kharisma,"Jl. Sidotopo Kidul 61 Surabaya, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-92,PT. Kaliber Mitra Sakti,"Pergudangan Sinar Buduran III/A-58. JL. LIngkar Timur, Sidoarjo, Kabupaten Sidoarjo, Jawa Timur",Kabupaten Sidoarjo,Jawa Timur
idn-93,CV. JATIM TRONIK - Surabaya - Jawa Timur - Indonesia,"Jl. Raya Merak No.53 Rewwin Waru, Kabupaten Sidoarjo, Jawa Timur",Kabupaten Sidoarjo,Jawa Timur
idn-94,CV. Berlian Saka Perkasa Engineering,"Jl. Karangmalang Batursari Tlogo, RT.02 / RW.08, Batursari, Mranggen, 59567, Kabupaten Demak, Jawa Tengah",Kabupaten Demak,Jawa Tengah
idn-95,PT. Gamkonora Permata Teknindo,"JL. Karangmalang Batursari Tlogo, RT. 02, RW. 08, Kel. Batursari, Kec. Mranggen, Kabupaten Demak, Jawa Tengah",Kabupaten Demak,Jawa Tengah
idn-96,PT. Mega Jaya Logam,"KANTOR PUSAT, 📍 Jl. Bakalan Baru RT. 02, RW. 02, Kecamatan Ceper - 57465, Kabupaten Klaten, Jawa Tengah",Kabupaten Klaten,Jawa Tengah
idn-97,PT. Vava Enviro Utama Fiberglass,"Perumahan Green Mansion Residence Blok J - 03 Jl. Ambengambeng Selatan, Ngingas - 61256, Kabupaten Sidoarjo, Jawa Timur",Kabupaten Sidoarjo,Jawa Timur
idn-98,CV. Kreasi Indah Abadi,"Graha Juanda Blok i No. 26 Damarsi Buduran, Kabupaten Sidoarjo, Jawa Timur",Kabupaten Sidoarjo,Jawa Timur
idn-99,CV. Berkah Anugerah Nathanurang,"Vila Mutiara Gading 3 Blok A10 No.3 Kebalen bekasi, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-100,PT. Kon Hwa,"Kantor Pusat : , , 📍 Jl. Kembang Jepun 27/I - 60161, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-101,PT. Sipatuo Indonesia,"Jln. Binong, Komplek IKM No. 14, jatireja, Cikarang Timur, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-102,PT. PERLONINDO TEXTILE,"KOMP. SUMBER SARI. JL. SUMBER ASIH 5-16, Kota Bandung, Jawa Barat",Kota Bandung,Jawa Barat
idn-103,SUKSES GLOBAL ELEKTRIK MANDIRI,"Jl. Srikaya 2. Blok.D9. No.1. Komplek Graha Indah Jatiasih Bekasi, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-104,PT. Rizki Jaya Abadi Transportasi,"JL. Raya By Pass Krian KM 30 Ruko Keraton Residence Superblock No. 9 Krian, 61262, Kabupaten Sidoarjo, Jawa Timur",Kabupaten Sidoarjo,Jawa Timur
idn-105,CV. Cipta Produk Fibertech,"Jl. Lurah Namat Gg Lembur VI, RT.01 RW.03 Kel. Jatirangga, Kec. Jatisampurna, Kota Bekasi, Jawa Timur",Kota Bekasi,Jawa Timur
idn-106,CV. Cahaya Semesta,"Jl. Pagesangan Timur No. 58, Kel. Pagesangan, Kec. Jambangan, 60233, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-107,PT. Berkah Jaya Prakoso,"Jl. Jemursari III, No. 25 Kec. Wonocolo, 60237, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-108,PT. Surya Mitra Panel,"Jl.industri bojong Rt/02/04 Ds Tarikolot Citeureup-Bogor, Kabupaten Bogor, Jawa Barat",Kabupaten Bogor,Jawa Barat
idn-109,Bianglala Souvenir,"Jl. Cibadak, Pelita 1 No. 32 Bandung - Indonesia (Tidak jauh dari rumah sakit paru-paru Cibadak atau Balai Besar Kesehatan Paru Masyarakat (BBKPM) Bandung), Kota Bandung, Jawa Barat",Kota Bandung,Jawa Barat
idn-110,CV. Lim Corporation,"Prima Garden Estate A7-01, Kel. Kebonagung, Kec. Sukodono, 61258, Kabupaten Sidoarjo, Jawa Timur",Kabupaten Sidoarjo,Jawa Timur
idn-111,CV. Agis Jaya Steel,"JL. Desa Selasari, Dsn. Cipeundeuy No. 05, RT. 27, RW. 09, Kec. Kawali, Kab. Ciamis, Jawa Barat, 46253, Kabupaten Ciamis, Jawa Barat",Kabupaten Ciamis,Jawa Barat
idn-112,CV. Flindex Kreasindo Utama,"Intiland Tower Level 3, Jl. Panglima Sudirman KAV 101 - 103, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-113,CV. Asia Perdana Abadi,"Jl. Wisma Gunung Anyar (Wiguna) 1 No. 57, Gunung Anyar - 60294, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-114,PT. Menembus Cakrawala Kesatuan,"Jl. Cimanuk No. 43, 60241, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-115,PT. Harum Citra Engineering,"Jl. Raya Setu Blok A No 32, Ds. Cibuntu, Kec. Cibitung, Kab. Bekasi 17520, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-116,PT. Pangestu Putra Indonesia,"Jl. Majapahit No. 76 Semarang, 50167, Kota Semarang, Jawa Tengah",Kota Semarang,Jawa Tengah
idn-117,CV. Humia Destindo,"Jl. Kutisari Utara III No. 37, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-118,PT. Sinar Indah Jaya Abadi,"Jl. Inti III Blok C6 No.12A, Sukaresmi, Cikarang Selatan, Bekasi Regency, West Java 17550, Kota Bekasi, Jawa Barat",Kota Bekasi,Jawa Barat
idn-119,CV. Samudera Teknikindo Selaras,"Ruko Emerald Green BSB City Blok C-6 Kawasan Industri Bukit, Jl. Raya Semarang - Boja, Jatibarang, Kecamatan Mijen, Kota Semarang, Jawa Tengah",Kota Semarang,Jawa Tengah
idn-120,Utomo Indotech,"Pergudangan Central Square Blok F No. 29, JL. A. Yani No. 41-43, Kec. Gedangan, Kabupaten Sidoarjo, Jawa Timur",Kabupaten Sidoarjo,Jawa Timur
idn-121,Findo Karya Utama,"Jl. Mandar Perum Bappenas, No. 7-D, Kranggan Tengah, Jati Raden, Jati Sampoerna - 17433, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-122,Ali Karya Nusantara,"Jalan Wadas III No.15 RT.08 RW.04 Jati Cempaka Bekasi 17411, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-123,PT. Resya Gemilang Mandiri,"Jl. Pahlawan Sanja, Desa Sanja Kecamatan Citereup, Kabupaten Bogor, Jawa Barat",Kabupaten Bogor,Jawa Barat
idn-124,PT. Quinratu Karya Prisma,"Komplek dosen IKIP Blok 2. No.43,Jati BeningEmail : [email protected], Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-125,PT. Fedito Bahtera Abadi,"JL H. IBROHIM No.75B RT004/RW008 Jatikramat-Jatiasih, Kota Bekasi, Jawa Barat",Kota Bekasi,Jawa Barat
idn-126,CV. Avodamitra Indotech,"JL. Nugroho Bumi Loka I No. 82, Kel. Gunung Anyar Tambak, Kec. Gunung Anyar, 60294, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-127,PT. Clarizza Eston Indonesia,"Jl. Antilop Raya, Ruko Pasar Bersih Blok B-7 Kawasan Industri Jababeka II (Pintu 11) Cikarang-Jawa Barat Indonesia 17530, Kota Bekasi, Jawa Barat",Kota Bekasi,Jawa Barat
idn-128,CV. SAMUDERA TEKNIKINDO SELARAS,"Jl. Antilop Raya, Ruko Pasar Bersih Blok B-7 Kawasan Industri Jababeka II (Pintu 11) Cikarang-Jawa Barat Indonesia 17530, Kota Bekasi, Jawa Barat",Kota Bekasi,Jawa Barat
idn-129,CV. SAMUDERA TEKNIKINDO SELARAS,"Ruko Emerald Green BSB City Blok C-6 Kawasan Industri Bukit, Jl. Raya Semarang - Boja, Jatibarang, Kecamatan Mijen, Kota Semarang, Jawa Tengah",Kota Semarang,Jawa Tengah
idn-130,PT. Mitra Sinergi Solusi Utama,"GRAHA MISITAMA : Ruko Emerald Commercial Blok UG-02, Summarecon - Bekasi Workshop : Jl M. Tabrani No. 3 Kel. Perwira - Kec. Bekasi Utara - Kota Bekasi 17122, Kota Bekasi, Jawa Barat",Kota Bekasi,Jawa Barat
idn-131,CV. Dipola Teknika Abadi,"Komplek Samudera Indonesia C2 No. 6 JL. Tole Iskandar, 16431, Kota Depok, Jawa Barat",Kota Depok,Jawa Barat
