Reference:  https://blueskypharmacy.wordpress.com/2022/12/07/sterilisasi-media-kultur-difco/,,,,,,,,,,
1 pound,6.89475728,kPa,,,,,,,,Grafik Hubungan Pressure dan Temp
Pounds,Pressure (kPa),Pressure (MPa),Temp (oC),,,,,,,
5,34.4737864,0.034473786400000005,109,,,,,,,
10,68.9475728,0.06894757280000001,115,,,,,,,
15,103.42135920000001,0.10342135920000001,121,,,,,,,
20,137.8951456,0.13789514560000002,126,,,,,,,
25,172.368932,0.172368932,130,,,,,,,
30,206.84271840000002,0.20684271840000001,135,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Interpolasi nilai suhu,Tekanan (Mpa),,,,,,,,
,118,0.08618446600000007,,,,,,,,
,,#N/A,,,,,,,,
,,#N/A,,,,,,,,
,,#N/A,,,,,,,,
,,#N/A,,,,,,,,
,,#N/A,,,,,,,,
,,#N/A,,,,,,,,
