Name,:,Infrared Tachometer,,,,
Manufacturer,:,NKTECH,,,,
Accuration,:,0.1,,,,
Serial Number,:,1186.01.23-1,rpm,,,
Calibration Date ,:,2025-07-04T00:00:00,,,,
,,,,,,
,,,,,,
,No.,Nominal STD,UUT,Koreksi,Uncertainty,
,1,60,60.2,-0.20000000000000284,0.21,GIN
,2,100,100.2,-0.20000000000000284,,
,3,200,200.2,-0.19999999999998863,0.2,
,4,300,300.2,-0.19999999999998863,1.5,
,5,500,500.2,-0.19999999999998863,,
,6,2000,2000.3,-0.2999999999999545,,
,7,5000,5000.4,-0.3999999999996362,1.6,
,8,7000,7000.5,-0.5,,
,9,10000,10001,-1,,
,10,15000,15001,-1,3.1,
,11,20000,20001,-1,,
,12,25000,25001,-1,,
,13,30000,30002,-2,,
,,,,,,
,15,,,,,
,16,,,,,
,17,,,,,
,18,,,,,
