TABEL BUDGET KETIDAKPASTIAN INSTRUMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ketelitian Baca,,,,:,1,,%LEL,,,,,,,,,,,,,,,,,,,,,,,,,,
Point Ukur,:,50,%LEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Component,,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,
Ketidakpastian Baku Pengulangan Pembacaan,,,,,,,%LEL,,t-student,,,0.5773502691896258,,,1.7320508075688772,,2,,0.33333333333333337,,,1,,0.33333333333333337,,,0.11111111111111113,,,,0.006172839506172842,,,
Resolui Alat,,,,,,,%LEL,,rect.,,,0.5,,,1.7320508075688772,,60,,0.2886751345948129,,,1,,0.2886751345948129,,,0.08333333333333336,,,,0.00011574074074074081,,,
Ketidakpastian Baku Sertifikat Kalibrasi Calibrator,,,,,,,%LEL,,Normal,,,2.5,,,2,,200,,1.25,,,1,,1.25,,,1.5625,,,,0.01220703125,,,
Ketidakpastian Pengaruh Suhu,,,,,,,0C,,rect.,,,0.09999999999999787,,,1.7320508075688772,,200,,0.057735026918961346,,,0.17,,0.009814954576223429,,,9.633333333332923e-05,,,,4.64005555555516e-11,,,
Ketidakpastian Pengaruh Tekanan,,,,,,,kPa,,rect.,,,0.07000000000000454,,,5,,200,,0.03130495168499909,,,0.49,,0.015339426325649554,,,0.00023529800000003057,,,,2.7682574402007194e-10,,,
Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7572760757777777,,,,0.01849561182013988,,,
"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,1.325622901046062,,,,,,,
"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,,166.9595597339689,,,,,,,
"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,,1.9743577636580343,,,,,,,
"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,2.617253866363179,,,,%LEL,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,CMC Laboratory,0,,,,%LEL,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Uncertainty sertifikat,2.617253866363179,,,,%LEL,,,
,Nama Alat,,,,:,Multi Gas Detector,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jenis Gas,,,,:,O2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,,,:,30,,%,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ketelitian Baca,,,,:,0.1,,%,,,,,,,,,,,,,,,,,,,,,,,,,,
Point Ukur,:,17.9,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Component,,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,
Ketidakpastian Baku Pengulangan Pembacaan,,,,,,,%,,t-student,,,0.0577350269189634,,,1.7320508075688772,,2,,0.03333333333333381,,,1,,0.03333333333333381,,,0.001111111111111143,,,,6.172839506173193e-07,,,
Resolui Alat,,,,,,,%,,rect.,,,0.05,,,1.7320508075688772,,60,,0.02886751345948129,,,1,,0.02886751345948129,,,0.0008333333333333335,,,,1.1574074074074079e-08,,,
Ketidakpastian Baku Sertifikat Kalibrasi Calibrator,,,,,,,%,,Normal,,,0.895,,,2,,200,,0.4475,,,1,,0.4475,,,0.20025625,,,,0.0002005128283203125,,,
Ketidakpastian Pengaruh Suhu,,,,,,,0C,,rect.,,,0.09999999999999787,,,1.7320508075688772,,200,,0.057735026918961346,,,0.06086,,0.0035137537382879873,,,1.2346465333332805e-05,,,,7.621760311359436e-13,,,
Ketidakpastian Pengaruh Tekanan,,,,,,,kPa,,rect.,,,0.07000000000000454,,,5,,200,,0.03130495168499909,,,0.17542,,0.0054915146245825405,,,3.0156732872003922e-05,,,,4.54714268756701e-12,,,
Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2022431976426498,,,,0.0002011416916543226,,,
"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,0.4497145735270871,,,,,,,
"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,,203.35073577395218,,,,,,,
"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,,1.9717188484634527,,,,,,,
"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,0.886710701052061,,,,%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,CMC Laboratory,0,,,,%,,,
