,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Certificate Number ,,,:,0817-CAL-726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Page  ,,,:,1,of,1,,,,,,,Owner,,,:,[NAMA PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,DON’T ERASE !!!,,,,,,,,,,
,Order Number,,,:,2607.59.W,,,,,,,,,Address,,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,,,
,Received Date,,,:,2026-07-31T00:00:00,,,,,,,,,,,,,,,,,,,,,,MPE Check for Viscometer,,,,,,,,,,
,Equipment Name,,,:,Viscometer,,,,,,,,,Calibration Location,,,:,Insitu (Lab. QC),,,,,,,,,,,,,,,,,,,
,Manufacturer,,,:,Brookfield,,,,,,,,,Calibration  Date,,,:,2026-07-31T00:00:00,,,,,,,,,Calculating full scale of viscometer:,,,,,,,,,,
,Model/Type,,,:,DV Plus,,,,,,,,,Calibration Method,,,:,SIDIK-IK-CAL-0517_Rev.3,,,,,,,,,,,,,,,,,,,
,Viscosity Standard Solution 3000 cP,,,,,,,Paragon Scientific/N1400,,,,,,,2241502068,,,,,Paragon Scientific Limited,,,,,,,,,,,,,,,,,
,False,,,,,,,#N/A,,,,,,,#N/A,,,,,#N/A,,,,,,,,,,,,,,,,,
,False,,,,,,,#N/A,,,,,,,#N/A,,,,,#N/A,,,,,,,,,,,,,,,,,
,Termometer & Sensor Std.,,,,,,,Yokogawa/CA 150 Handy Cal,,,,,,,23P1005,,,,,LK-285-IDN,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Point 60000cP,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,TK =,1,,,,,,,,,
,Issuence Date   :,,,,,,,,,,,,,,,,,,,,,,,,,,SMC =,0.64,,,,,,,,,
,2026-08-04T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,Fullscale (60000cP)=,,#DIV/0!,cP,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,MPE (60000cP) =,,#REF!,cP,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Point 100000cP,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,TK =,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,SMC =,0.64,,,,,,,,,
,Alex Misramto,,,,,,,,,,,,,,,,,,,,,,,,,,Fullscale (100000cP)=,,#DIV/0!,cP,,,,,,,
,Technical Manager,,,,,,,,,,,,,,,,,,,,,,,,,,MPE (100000cP) =,,#DIV/0!,cP,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SIDIK-FM-CAL-2403_Rev. 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
