 COMMON DATA ,,,,,,,,,,,,,,,SPECIFIC DATA,,,,,,,,,,,,Reminder Recalibration,,,TOTAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,Analog,2,year,730
,,,,,,,,,,,,,,,,No,Jenis UTM,CMC (pH),,,,,,,,,Digital,1,year,365
,,,,,,,,,,,,,,,,,,,,,,,,,,,,365,,
,,,,,,,,,,,,,,,,1,4 pH,0.023,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,7 pH,0.021,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3,10 pH,0.031,,,,,,,,,,,,
4,TH-4,20.25,20.2,0.05000000000000071,1.8,29.75,30,-0.25,4.7,General Lab. Room,2024-06-17 00:00:00,2024-06-17 00:00:00,LK-285-IDN,,,,,,,,,,,,,,,,,
,,25.22,25.1,0.11999999999999744,,50.19,50,0.18999999999999773,4.5,,,,,,,,,,,,,,,,,,,,,
,,30.4,30.3,0.09999999999999787,,60.54,60,0.5399999999999991,4.5,,,,,,,,,,,,,,,,,,,,,
,,40.13,40,0.13000000000000256,,80.53,80,0.5300000000000011,4.5,,,,,,,,,,,,,,,,,,,,,
,,50.23,50.1,0.12999999999999545,,84.68,85,-0.3199999999999932,4.5,,,,,,,,,,,,,,,,,,,,,
5,TH-5,21.51,20.6,0.9100000000000001,1.8,29.8,31,-1.1999999999999993,4.7,Inlab (Flowmeter Instalation),2024-06-17 00:00:00,2024-06-17 00:00:00,LK-285-IDN,,,,,,,,,,,,,,,,,
,,26.61,25.8,0.8099999999999987,,49.5,50,-0.5,4.5,,,,,,,,,,,,,,,,,,,,,
,,31.71,30.9,0.8100000000000023,,59.41,60,-0.5900000000000034,4.5,,,,,,,,,,,,,,,,,,,,,
,,40.46,40,0.46000000000000085,,79.52,80,-0.480000000000004,4.5,,,,,,,,,,,,,,,,,,,,,
,,51.24,50.8,0.44000000000000483,,84.81,85,-0.18999999999999773,4.5,,,,,,,,,,,,,,,,,,,,,
6,TH-6,21.35,21.1,0.25,1.8,30.98,31,-0.019999999999999574,4.7,Insitu (Outsite),2024-06-17 00:00:00,2024-06-17 00:00:00,LK-285-IDN,,,,,,,,,,,,,,,,,
,,26.5,26.2,0.3000000000000007,,50.48,50,0.4799999999999969,4.5,,,,,,,,,,,,,,,,,,,,,
,,31.71,31.3,0.41000000000000014,,60.57,60,0.5700000000000003,4.5,,,,,,,,,,,,,,,,,,,,,
,,40.28,39.8,0.480000000000004,,80.78,81,-0.21999999999999886,4.5,,,,,,,,,,,,,,,,,,,,,
,,51.07,50.6,0.46999999999999886,,85.36,85,0.35999999999999943,4.5,,,,,,,,,,,,,,,,,,,,,
7,TH-7,20.25,19.9,0.3500000000000014,1.8,29.65,30,-0.3500000000000014,4.7,Insitu (Outsite),2024-06-17 00:00:00,2024-06-17 00:00:00,LK-285-IDN,,,,,,,,,,,,,,,,,
,,25.22,24.9,0.3200000000000003,,50.09,50,0.09000000000000341,4.5,,,,,,,,,,,,,,,,,,,,,
,,30.4,30.1,0.29999999999999716,,60.48,60,0.4799999999999969,4.5,,,,,,,,,,,,,,,,,,,,,
,,40.13,39.8,0.3300000000000054,,80.45,80,0.45000000000000284,4.5,,,,,,,,,,,,,,,,,,,,,
,,50.23,50,0.22999999999999687,,84.04,84,0.04000000000000625,4.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Jenis Pengukuran,"Metode Kalibrasi
(Latest IK)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Enclosure,SIDIK-IK-CAL-0501_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TITS,SIDIK-IK-CAL-0502_Rev.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TIDS,SIDIK-IK-CAL-0503_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Pressure Gauge,SIDIK-IK-CAL-0504_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Timbangan,SIDIK-IK-CAL-0505-Rev.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,pH Meter,SIDIK-IK-CAL-0506_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Conductivity Meter,SIDIK-IK-CAL-0507_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Spectrophotometer,SIDIK-IK-CAL-0508_Rev.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Timer & Stopwatch,SIDIK-IK-CAL-0509_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Volumetrik,SIDIK-IK-CAL-0510_Rev.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Centrifuge & Tachometer,SIDIK-IK-CAL-0511_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
