Budget Ketidakpastian Micrometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Componen,,,,,,,Satuan,,u,,,Disivsor,,,vi,,,ui,,ci,,uici,,,(uici)2,,( uici )4/ vi,,,,,,,,,
,repeatability,,,,,,,µm,,0.316227766016101,,,3.1622776601683795,,,9,,,0.09999999999976694,,1,,0.09999999999976694,,,0.009999999999953388,,1.111111111100753e-05,,,,,,,,,
,Resolusi,,,,,,,µm,,0.5,,,1.7320508075688772,,,200,,,0.2886751345948129,,1,,0.2886751345948129,,,0.08333333333333336,,3.472222222222224e-05,,,,,,,,,
,Standard balok ukur,,,,,,,µm,,0.25,,,2,,,200,,,0.125,,1,,0.125,,,0.015625,,1.220703125e-06,,,,,,,,,
,Perubahan suhu terhadap suhu acuan 200c,,,,,,,/⁰C,,0.5500000000000007,,,1.7320508075688772,,,200,,,0.3175426480542946,,0.000499999,,0.00015877100648449926,,,2.5208232500100906e-08,,3.1772749288957175e-18,,,,,,,,,
,Koefisien muai thermal,,,,,,,/⁰C,,1e-05,,,1.7320508075688772,,,200,,,5.773502691896259e-06,,27.499945000000032,,0.00015877100648449926,,,2.5208232500100906e-08,,3.1772749288957175e-18,,,,,,,,,
,Drift standard,,,,,,,µm/tahun,,0.08503261464992405,,,1.7320508075688772,,,200,,,0.04909360295803137,,1,,0.04909360295803137,,,0.0024101818514008265,,2.9044882784109578e-08,,,,,,,,,
,Lapisan wringing,,,,,,,µm,,0.1118033988749895,,,1.7320508075688772,,,200,,,0.06454972243679029,,1,,0.06454972243679029,,,0.0041666666666666675,,8.680555555555559e-08,,,,,,,,,
,Kesalahan Geometri,,,,,,,µm,,0.5,,,1.7320508075688772,,,200,,,0.2886751345948129,,1,,0.2886751345948129,,,0.08333333333333336,,3.472222222222224e-05,,,,,,,,,
,Selisih suhu mikrometer dengan balok ukur,,,,,,,⁰C,,0,,,1.7320508075688772,,,200,,,0,,0.000499999,,0,,,0,,0,,,,,,,,,
,Uc2 (hasil penjumlahan semua elemen pada kolom ui),,,,,,,,,,,,,,,,,,,,,,,,,0.1988685656011526,,8.189210911879803e-05,,,,,,,,,
,Uc (akar kuadrat dari Uc2),,,,,,,,,,,,,,,,,,,,,,0.44594681925219803,,,Veff,,482.93671771095796,,,,,,,,,
,k (Faktor cakupan),,,,,,,,,,,,,,,,,,,,,,1.9648978809134752,,,,,,,,,,,,,,
,U95 (Ketidakpastian Bentangan),,,,,,,,,,,,,,,,,,,,,,0.8762399601487485,,,µm,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,CMC,0.87,,,µm,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,U95 Sertif.,,0.0008762399601487485,,,mm,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
