,,,CTE,2e-05,,L20,9.99997,mm
,,,,,,,,
Spesimen,Balok Ukur 10mm,,t (oC),L (mm),,,,
,,,20,99.9999,,,,
,,,25,100.00989999,,,,
,,,,,,,,
,,,Koefisien sensitivitas ,,0.0019999979999994364,,,
