CALIBRATION BUDGET UNCERTAINTY,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Nama Alat,:,Flowmeter,,,,,,,,,,
,Rentang Ukur,:,#VALUE!,LPM,,,,,,,,,
,Ketelitian Baca UUT,:,0.0016666666666666668,LPM,,,,,,,,,
,,,,,,,,,,,,,
,Temperature (UTemperature),,,,,,,,,,,,
,a. U95% Thermometer Certificate (oC),,,,c. Ut-water (oC),,,,,,,,
,    U95% Thermometer (Constant),:,0.34,,    (Tmax-Tmin)Water,,:,0,,,,,
,    k,:,2,,    2√3,,:,3.4641016151377544,,,,,
,    Utemp. (oC),:,0.17,,    Ut-water (oC),,:,0,,,,,
,b. U95% Sensor Certificate (oC),,,,d. UTemperature (oC),,=,,,,,,
,    U95% Sensor (Type K),:,0.44,,,,=,0.2780287754891569,,,,,
,    k,:,2,,,,,,,,,,
,    Utemp. (oC),:,0.22,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Point 1,,,,,,,,,,,,
,Component,Unit,Distribution,U,Divisor,vi,ui,ci,uici,(uici)2,(uici)4/vi,,
,Point 3,,,,,,,,,,,,
,Component,Unit,Distribution,U,Divisor,vi,ui,ci,uici,(uici)2,(uici)4/vi,,
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,
,Ketidakpastian Standar Timbangan,kg,normal,0.00017,2,60,8.5e-05,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
,Resolusi Alat yang dikalibrasi,kg/m,rectangular,0.0008333333333333334,1.73,50,0.00048169556840077076,1,0.00048169556840077076,2.3203062061694163e-07,1.076764178077662e-15,,
,Kestabilan Aliran,kg/m,rectangular,0.0387000000000004,1.73,50,0.022369942196532024,1,0.022369942196532024,0.000500414313876184,5.008289710643439e-09,,
,Ketidakpastian Standar Stopwatch,min,normal,0.0023333333333333335,2,60,0.0011666666666666668,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
,Pengulangan Pembacaan,kg/m,T-Student,0,1.7320508075688772,2,0,1,0,0,0,,
,Koreksi Bouyancy,kg/m,rectangular,0,1.73,50,0,1,0,0,0,,
,Water Density uncertainty,kg/L,normal,0.0005,2,60,0.00025,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
,Ketidakpastian densitas karena pengaruh perbedaan suhu,oC,normal,0.2780287754891569,2,60,0.13901438774457844,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
,Ketidakpastian Drift Timbangan Standar,kg,rectangular,4.25e-05,1.73,50,2.456647398843931e-05,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
,Ketidakpastian Drift Suhu & Sensor Standar,oC,rectangular,0.03,1.73,50,0.017341040462427744,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
,Ketidakpastian Drift Stopwatch Standar,min,rectangular,0.00015,1.73,50,8.670520231213873e-05,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
,Sum,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,
,"Uncertainty Combination, uc",,,,,,,,#DIV/0!,,,,
,Veff,,,,,,,,#DIV/0!,,,,
,K Factor & Confident Level 95%,,,,,,,,#DIV/0!,,,,
,"Expanded Uncertainty, U = k.Uc",,,,,,,,#DIV/0!,,,,
,,,,,,,,,CMC,,,,
,,,,,,,,,U95% sert,#DIV/0!,lpm,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
