,Nama Alat,:,Temperature Calibrator,,,Tanggal Kalibrasi ,,:,2025-08-12 00:00:00,,,,
,Merek,:,Yokogawa,,,Due Date Kalibrasi,,:,2026-08-12 00:00:00 [=J2+[6]DATABASE!AF3],,,,
,Type,:,CA 150 Handy Cal,,,Tertelusur,,:,LK-202-IDN,,,,
,S/N,:,23P1005,,,,,,,,,,
,Mode,:,Measure (Indikator),,,,,,,,,,
,Sensor,:,PRT PT100 [=[6]DATABASE!R22],,,,,,,,,,
,,,Injeksi Tahanan,"Konversi Satuan Standart
(Standart Indication)","Pembacaan Alat
(UUT)",Correction,"Uncertainty
,,,,,200,-200 [=E90-F90],,,,,,,
,,,,,300,-300 [=E91-F91],,,,,,,
,,,,,400,-400 [=E92-F92],,,,,,,
,Mode,:,Measure (Indikator),,,,,,,,,,
,Sensor,:,Thermocouple Type R,,,,,,,,,,
,,,Injeksi Tegangan,"Konversi Satuan Standart
(Standart Indication)","Pembacaan Alat
(UUT)",Correction,"Uncertainty
U95%",,,,,,
,,,mV,oC,oC,oC,oC,,,,,,
,,,,,0,0 [=E98-F98],,,,,,,
,,,,,25,#REF! [=[6]Interpolasi!#REF!],,,,,,,
,,,,,50,-50 [=E100-F100],,,,,,,
,,,,,100,-100 [=E101-F101],,,,,,,
,,,,,200,-200 [=E102-F102],,,,,,,
,,,,,300,#REF! [=[6]Interpolasi!#REF!],,,,,,,
,,,,,400,-400 [=E104-F104],,,,,,,
,,,,,500,#REF! [=[6]Interpolasi!#REF!],,,,,,,
,,,,,600,-600 [=E106-F106],,,,,,,
,,,,,700,#REF! [=[6]Interpolasi!#REF!],,,,,,,
,,,,,800,-800 [=E108-F108],,,,,,,
,,,,,900,#REF! [=[6]Interpolasi!#REF!],,,,,,,
,,,,,1000,-1000 [=E110-F110],,,,,,,
,,,,,1200,-1200 [=E111-F111],,,,,,,
,Mode,:,Measure (Indikator),,,,,,,,,,
,Sensor,:,Thermocouple Type S,,,,,,,,,,
,,,Injeksi Tegangan,"Konversi Satuan Standart
(Standart Indication)","Pembacaan Alat
(UUT)",Correction,"Uncertainty
U95%",,,,,,
,,,mV,oC,oC,oC,oC,,,,,,
,,,,,0,0 [=E117-F117],,,,,,,
,,,,,25,#REF! [=[6]Interpolasi!#REF!],,,,,,,
,,,,,50,-50 [=E119-F119],,,,,,,
,,,,,100,-100 [=E120-F120],,,,,,,
,,,,,200,-200 [=E121-F121],,,,,,,
,,,,,300,#REF! [=[6]Interpolasi!#REF!],,,,,,,
,,,,,400,-400 [=E123-F123],,,,,,,
,,,,,500,#REF! [=[6]Interpolasi!#REF!],,,,,,,
,,,,,600,-600 [=E125-F125],,,,,,,
,,,,,700,#REF! [=[6]Interpolasi!#REF!],,,,,,,
,,,,,800,-800 [=E127-F127],,,,,,,
,,,,,900,#REF! [=[6]Interpolasi!#REF!],,,,,,,
,,,,,1000,-1000 [=E129-F129],,,,,,,
,,,,,1200,-1200 [=E130-F130],,,,,,,
,Mode,:,Measure (Indikator),,,,,,,,,,
,Sensor,:,Thermocouple Type J,,,,,,,,,,
,,,Injeksi Tegangan,"Konversi Satuan Standart
(Standart Indication)","Pembacaan Alat
(UUT)",Correction,"Uncertainty
U95%",,,,,,
,,,mV,oC,oC,oC,oC,,,,,,
,,,,-100,-99.9,-0.09999999999999432 [=E136-F136],0.28,,,,,,
,,,,-20,-19.9,-0.10000000000000142 [=E137-F137],0.28,,,,,,
,,,,0,0,0 [=E138-F138],0.28,,,,,,
,,,,,25,0 [=[6]Interpolasi!K33],0.28,,,,,,
,,,,,50,0 [=[6]Interpolasi!K34],0.28,,,,,,
,,,,100,100,0 [=E141-F141],0.26,,,,,,
,,,,200,200,0 [=E142-F142],0.26,,,,,,
,,,,,300,-0.05000000000001137 [=[6]Interpolasi!K35],0.26,,,,,,
,,,,400,400.1,-0.10000000000002274 [=E144-F144],0.26,,,,,,
,,,,,500,-0.1500000000000341 [=[6]Interpolasi!K36],0.26,,,,,,
,,,,600,600.2,-0.20000000000004547 [=E146-F146],0.27,,,,,,
,,,,,700,-0.20000000000004547 [=[6]Interpolasi!K37],0.27,,,,,,
,,,,800,800.2,-0.20000000000004547 [=E148-F148],0.26,,,,,,
,,,,,900,-0.25 [=[6]Interpolasi!K38],0.26,,,,,,
,,,,1000,1000.3,-0.2999999999999545 [=E150-F150],0.26,,,,,,
,,,,1100,1100.4,-0.40000000000009095 [=E151-F151],0.27,,,,,,
,Mode,:,Measure (Indikator),,,,,,,,,,
,Sensor,:,Thermocouple Type E,,,,,,,,,,
,,,Injeksi Tegangan,"Konversi Satuan Standart
(Standart Indication)","Pembacaan Alat
(UUT)",Correction,"Uncertainty
U95%",,,,,,
,,,mV,oC,oC,oC,oC,,,,,,
,,,,-100,-99.8,-0.20000000000000284 [=E157-F157],0.37,,,,,,
,,,,-20,-19.9,-0.10000000000000142 [=E158-F158],0.36,,,,,,
,,,,0,0,0 [=E159-F159],0.36,,,,,,
,,,,,25,-0.02499999999999858 [=[6]Interpolasi!N33],0.36,,,,,,
,,,,,50,-0.04999999999999716 [=[6]Interpolasi!N34],0.36,,,,,,
,,,,100,100.1,-0.09999999999999432 [=E162-F162],0.36,,,,,,
,,,,200,200.1,-0.09999999999999432 [=E163-F163],0.36,,,,,,
,,,,,300,-0.14999999999999147 [=[6]Interpolasi!N35],0.36,,,,,,
,,,,400,400.2,-0.19999999999998863 [=E165-F165],0.38,,,,,,
,,,,,500,-0.29999999999998295 [=[6]Interpolasi!N36],0.38,,,,,,
,,,,600,600.4,-0.39999999999997726 [=E167-F167],0.38,,,,,,
,,,,,700,-0.44999999999998863 [=[6]Interpolasi!N37],0.38,,,,,,
,,,,800,800.5,-0.5 [=E169-F169],0.38,,,,,,
,,,,900,900.6,-0.6000000000000227 [=E170-F170],0.38,,,,,,
