Budget Ketidakpastian Jangka Sorong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Outside Measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Componen,,,,,,,Satuan,Disrtribusi,u,,,Disivsor,,,vi,,,ui,,ci,,uici,,,(uici)2,,( uici )4/ vi,,,,,,,,,
,Efek Mekanik,,,,,,,mm,rect.,0.0005,,,1.7320508075688772,,,60,,,0.0002886751345948129,,1,,0.0002886751345948129,,,8.333333333333334e-08,,1.1574074074074076e-16,,,,,,,,,
,Sums,,,,,,,,,,,,,,,,,,,,,,,,,0.0002836280306216277,,5.361657389487676e-10,,,,,,,,,
,"Ketidakpastian baku gabungan, uc",,,,,,,,,,,,,,,,,,,,,,,,,0.016841259769436123,,,,,,,,,,,
,"Derajat kebebasan efektif, neff",,,,,,,,,,,,,,,,,,,,,,,,,150.03729986930352,,,,,,,,,,,
,"Faktor cakupan, k-student’s untuk neff dan CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,1.9759053308966197,,,,,,,,,,,
,"Ketidak pastian bentangan, U = kuc",,,,,,,,,,,,,,,,,,,,,,,,,0.03327673495744361,,,,,mm,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,CMC,,,,,,mm,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,U95% Sertif.,0.03327673495744361,,,,,mm,,,,,,
,Depth Measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Componen,,,,,,,Satuan,Disrtribusi,u,,,Disivsor,,,vi,,,ui,,ci,,uici,,,(uici)2,,( uici )4/ vi,,,,,,,,,
,repeatability,,,,,,,mm,t-student,0,,,3.1622776601683795,,,9,,,0,,1,,0,,,0,,0,,,,,,,,,
,Resolusi,,,,,,,mm,rect.,0.025,,,1.7320508075688772,,,1000000000,,,0.014433756729740645,,1,,0.014433756729740645,,,0.00020833333333333337,,4.3402777777777793e-17,,,,,,,,,
,Standard balok ukur,,,,,,,mm,normal,0.00025,,,2,,,60,,,0.000125,,1,,0.000125,,,1.5625e-08,,4.069010416666667e-18,,,,,,,,,
