,IDENTITAS ALAT,,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,:,Hydrometer [='INPUT DATA'!$E$10],,,,,,,,Nama Custromer,,,:,[NAMA PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,,,,
,Merk,,:,Alla France [='INPUT DATA'!$E$11],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,,:,L50- ISO 650 [='INPUT DATA'!$E$12],,,,,,,,Alamat Customer,,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,,,,
,No. Seri,,:,350015 [='INPUT DATA'!$E$13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,:,0.600-0.650 [='INPUT DATA'!$E$14],g/ml [='INPUT DATA'!$G$15],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kapasitas Max.,,:,0.65 [='INPUT DATA'!$E$15],g/ml [='INPUT DATA'!$G$15],"0.65 [=IF('INPUT DATA'!$G$15="""","""",IF('INPUT DATA'!$G$15=""g/ml"",E8*DATABASE!W20,IF('INPUT DATA'!$G$15=""kg/m3"",E8*DATABASE!W21,""pilih satuan"")))]",g/ml,,,,,Tanggal Terima ,,,:,2025-09-01 00:00:00 [='INPUT DATA'!Q15],,,,,,,,,,,,,,,,,,,,
,Resolusi Alat,,:,0.0005 [='INPUT DATA'!$E$16],g/ml [='INPUT DATA'!$G$16],"0.0005 [=IF('INPUT DATA'!$G$15="""","""",IF('INPUT DATA'!$G$15=""g/ml"",E9*DATABASE!W20,IF('INPUT DATA'!$G$15=""kg/m3"",E9*DATABASE!W21,""pilih satuan"")))]",g/ml,,,,,Tanggal Kalibrasi,,,:,2025-09-04 00:00:00 [='INPUT DATA'!Q16],,,,,,,,,,,,,,,,,,,,
,Temperature,,:,20 [='INPUT DATA'!$E$17],oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KONDISI LINGKUNGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
