,,tr,:,15 [='INPUT DATA'!E34],oC,,,(Suhu Acuan Hydrometer),,,,Max,0.71 [=MAX(N26:P26)],Min,0.708 [=MIN(N26:P26)],,,,,,,= [=],Isothermal compressibility coefficient of the fluid (1/Pa),,,,,,2.5e-11 [=2.5/100000000000],Versi.1,,,,,,,
,,Px,:,1013.25 [='INPUT DATA'!E35*10],hPa,,,(Suhu Acuan Hydrometer),,,,,,,,,,,,,,= [=],Tekanan aktual (hPa),,,,,,933.1500000000001 [=G18],Tekanan air dalam beaker glass dg disc temp. standar,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,= [=],Tekanan acuan (hPa),,,,,,1013.25 [=101.325*10],,,,,,,,
,2. Measurement,,,*All data are converted to gr/ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,= [=],,,,,,,1.0000000020025 [=1-(AD27*(AD28-AD29))],,,,,,,,
,,Actual Weight (g) (Mactual BT),,,,,,,,,,Apparent Weight (g),,,,,,,,,,,,,,,,,,,,,,,,,
,,Point of Calibration,,,g/ml [=H8],"0.61 [=IF('INPUT DATA'!G40="""","""",IF('INPUT DATA'!$G$15=""g/ml"",'INPUT DATA'!G40*DATABASE!$W$20,IF('INPUT DATA'!$G$15=""kg/m3"",'INPUT DATA'!G40*DATABASE!$W$21,""pilih satuan"")))]","0.625 [=IF('INPUT DATA'!H40="""","""",IF('INPUT DATA'!$G$15=""g/ml"",'INPUT DATA'!H40*DATABASE!$W$20,IF('INPUT DATA'!$G$15=""kg/m3"",'INPUT DATA'!H40*DATABASE!$W$21,""pilih satuan"")))]","0.65 [=IF('INPUT DATA'!I40="""","""",IF('INPUT DATA'!$G$15=""g/ml"",'INPUT DATA'!I40*DATABASE!$W$20,IF('INPUT DATA'!$G$15=""kg/m3"",'INPUT DATA'!I40*DATABASE!$W$21,""pilih satuan"")))]","[=IF('INPUT DATA'!J40="""","""",IF('INPUT DATA'!$G$15=""g/ml"",'INPUT DATA'!J40*DATABASE!$W$20,IF('INPUT DATA'!$G$15=""kg/m3"",'INPUT DATA'!J40*DATABASE!$W$21,""pilih satuan"")))]","[=IF('INPUT DATA'!K40="""","""",IF('INPUT DATA'!$G$15=""g/ml"",'INPUT DATA'!K40*DATABASE!$W$20,IF('INPUT DATA'!$G$15=""kg/m3"",'INPUT DATA'!K40*DATABASE!$W$21,""pilih satuan"")))]",,Point of Calibration,,,g/ml [=F33],0.61 [=G33],0.625 [=H33],0.65 [=I33],"[=IF('INPUT DATA'!T40="""","""",IF('INPUT DATA'!$G$15=""g/ml"",'INPUT DATA'!T40*DATABASE!$W$20,IF('INPUT DATA'!$G$15=""kg/m3"",'INPUT DATA'!T40*DATABASE!$W$21,""pilih satuan"")))]","[=IF('INPUT DATA'!U40="""","""",IF('INPUT DATA'!$G$15=""g/ml"",'INPUT DATA'!U40*DATABASE!$W$20,IF('INPUT DATA'!$G$15=""kg/m3"",'INPUT DATA'!U40*DATABASE!$W$21,""pilih satuan"")))]",2. Penentuan nilai faktor koreksi densitas cairan terhadap perubahan suhu,,,,,,,,,,,,,,,,
,,Weight of Hydrometer (g),,,,21.2727 [='INPUT DATA'!G41],22.7483 [='INPUT DATA'!H41],25.4602 [='INPUT DATA'!I41],0 [='INPUT DATA'!J41],0 [='INPUT DATA'!K41],,Weight of Hydrometer (g),,,,47.26892797531525 [=$E$24*(1-(G63/$J$91))],47.26892797531525 [=$E$24*(1-(H63/$J$91))],47.26907188952836 [=$E$24*(1-(I63/$J$91))],#VALUE! [=$E$24*(1-(J63/$J$91))],#VALUE! [=$E$24*(1-(K63/$J$91))],,,,,,,,,,,,,,,,,
,,,,,,21.2726 [='INPUT DATA'!G42],22.7446 [='INPUT DATA'!H42],25.4608 [='INPUT DATA'!I42],0 [='INPUT DATA'!J42],0 [='INPUT DATA'!K42],,,,,,47.26892797531525 [=$E$24*(1-(G64/$J$91))],47.26892797531525 [=$E$24*(1-(H64/$J$91))],47.26907188952836 [=$E$24*(1-(I64/$J$91))],#VALUE! [=$E$24*(1-(J64/$J$91))],#VALUE! [=$E$24*(1-(K64/$J$91))],,,,,,,,,,,,,,,,,
,,,,,,21.2856 [='INPUT DATA'!G43],22.7491 [='INPUT DATA'!H43],25.4621 [='INPUT DATA'!I43],0 [='INPUT DATA'!J43],0 [='INPUT DATA'!K43],,,,,,47.26892797531525 [=$E$24*(1-(G65/$J$91))],47.26892797531525 [=$E$24*(1-(H65/$J$91))],47.26907188952836 [=$E$24*(1-(I65/$J$91))],#VALUE! [=$E$24*(1-(J65/$J$91))],#VALUE! [=$E$24*(1-(K65/$J$91))],,,,,,,,,,,,,,,,,
,,AVERAGE,,,,21.276966666666667 [=AVERAGE(G34:G36)],22.74733333333333 [=AVERAGE(H34:H36)],25.461033333333333 [=AVERAGE(I34:I36)],0 [=AVERAGE(J34:J36)],0 [=AVERAGE(K34:K36)],,AVERAGE,,,,47.26892797531525 [=AVERAGE(Q34:Q36)],47.26892797531525 [=AVERAGE(R34:R36)],47.26907188952836 [=AVERAGE(S34:S36)],#VALUE! [=AVERAGE(T34:T36)],#VALUE! [=AVERAGE(U34:U36)],α,= [=],koefisien ekspansi volumetrik bahan (1/oC),,,,,,1e-05 [=J83],Koefisien muai bahan hydrometer,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,= [=],Suhu aktual (oC),,,,,,20.6 [='PERHITUNGAN (2)'!G42],suhu aktual cairan media kalibrasi,,,,,,,
,,Weigh Corrected Value (g),,,,,,,,,,,,,,,,,,,,= [=],Suhu acuan (oC),,,,,,20 [=E10],"   tref : 20 atau 27.5, atau 15 sesuai informasi suhu acuan yg tertera pada alat",,,,,,,
,,Point of Calibration,,,g/ml [=F33],0.61 [=G33],0.625 [=H33],0.65 [=I33],[=J33],[=K33],,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Weight of Hydrometer (g),,,,-25.99935733772919 [=(((G34-$AF$84)*(1-($J$78/$AF$85)))-$AF$86-($AF$87-$AF$88))-Q34],-24.523960537502514 [=(((H34-$AF$84)*(1-($J$78/$AF$85)))-$AF$86-($AF$87-$AF$88))-R34],-21.81257789808678 [=(((I34-$AF$84)*(1-($J$78/$AF$85)))-$AF$86-($AF$87-$AF$88))-S34],#VALUE! [=(((J34-$AF$84)*(1-($J$78/$AF$85)))-$AF$86-($AF$87-$AF$88))-T34],#VALUE! [=(((K34-$AF$84)*(1-($J$78/$AF$85)))-$AF$86-($AF$87-$AF$88))-U34],,,,,,,,,,,,= [=],,,,,,,1.000006 [=1+(AD37*(AD38-AD39))],,,,,,,,
,,,,,,-25.999457323958534 [=(((G35-$AF$84)*(1-($J$78/$AF$85)))-$AF$86-($AF$87-$AF$88))-Q35],-24.52766002798831 [=(((H35-$AF$84)*(1-($J$78/$AF$85)))-$AF$86-($AF$87-$AF$88))-R35],-21.811977980710704 [=(((I35-$AF$84)*(1-($J$78/$AF$85)))-$AF$86-($AF$87-$AF$88))-S35],#VALUE! [=(((J35-$AF$84)*(1-($J$78/$AF$85)))-$AF$86-($AF$87-$AF$88))-T35],#VALUE! [=(((K35-$AF$84)*(1-($J$78/$AF$85)))-$AF$86-($AF$87-$AF$88))-U35],,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-25.98645911414358 [=(((G36-$AF$84)*(1-($J$78/$AF$85)))-$AF$86-($AF$87-$AF$88))-Q36],-24.523160647667748 [=(((H36-$AF$84)*(1-($J$78/$AF$85)))-$AF$86-($AF$87-$AF$88))-R36],-21.81067815972921 [=(((I36-$AF$84)*(1-($J$78/$AF$85)))-$AF$86-($AF$87-$AF$88))-S36],#VALUE! [=(((J36-$AF$84)*(1-($J$78/$AF$85)))-$AF$86-($AF$87-$AF$88))-T36],#VALUE! [=(((K36-$AF$84)*(1-($J$78/$AF$85)))-$AF$86-($AF$87-$AF$88))-U36],,,,,,,,,,,3. Penentuan Densitas Air (media kalibrasi),,,,,,,,,,,,,,,,
,,AVERAGE,,,,-25.995091258610433 [=AVERAGE(G41:G43)],-24.524927071052858 [=AVERAGE(H41:H43)],-21.811744679508895 [=AVERAGE(I41:I43)],#VALUE! [=AVERAGE(J41:J43)],#VALUE! [=AVERAGE(K41:K43)],,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dari tabel densitas air vs suhu,,,,,
,,Temperature ,,,,,,,,,,,,,,,,,,,,= [=],densitas cairan referensi pada kondisi suhu T dan tekanan P standar (g/cm3),,,,,,,,0.9980761251005233 [=G59],,,,,,
,,Point of Calibration,,,g/ml [=F33],0.61 [=G33],0.625 [=H33],0.65 [=I33],[=J33],[=K33],,,,,,,,,,,,= [=],kesalahan densitas karena (kurangnya) stabilitas nilai densitas referensi (g/cm3),,,,,,,,0.0002,,,,,,
,,Temperature (°C),,,,"20.6 [=IF('INPUT DATA'!G47="""","""",'INPUT DATA'!G47)]","20.6 [=IF('INPUT DATA'!H47="""","""",'INPUT DATA'!H47)]","20.7 [=IF('INPUT DATA'!I47="""","""",'INPUT DATA'!I47)]","[=IF('INPUT DATA'!J47="""","""",'INPUT DATA'!J47)]","[=IF('INPUT DATA'!K47="""","""",'INPUT DATA'!K47)]",,,,,,,,,,,,= [=],,,,,,,,,0.9978701386783387 [=(AF47/AD41*AD31)-AF48],,,,,,
,,,,,,"20.6 [=IF('INPUT DATA'!G48="""","""",'INPUT DATA'!G48)]","20.6 [=IF('INPUT DATA'!H48="""","""",'INPUT DATA'!H48)]","20.7 [=IF('INPUT DATA'!I48="""","""",'INPUT DATA'!I48)]","[=IF('INPUT DATA'!J48="""","""",'INPUT DATA'!J48)]","[=IF('INPUT DATA'!K48="""","""",'INPUT DATA'!K48)]",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"20.6 [=IF('INPUT DATA'!G49="""","""",'INPUT DATA'!G49)]","20.6 [=IF('INPUT DATA'!H49="""","""",'INPUT DATA'!H49)]","20.7 [=IF('INPUT DATA'!I49="""","""",'INPUT DATA'!I49)]","[=IF('INPUT DATA'!J49="""","""",'INPUT DATA'!J49)]","[=IF('INPUT DATA'!K49="""","""",'INPUT DATA'!K49)]",T max,Tmin,,,,,,,,,4. Penentuan nilai ,,,πDɣxg-1 dan πDɣLg-1 ,,,,,,,,,,,,,
