,,,,,,,,,,,,,
,Nama Alat,:,Thermocouple ,,,Tanggal Kalibrasi ,,:,2025-02-14T00:00:00,,,,Link calculator : https://www.fluke.com/en-us/learn/tools-calculators/pt100-calculator?srsltid=AfmBOoqPe_j-N87lgotXxrFrPdjOLAJ5b_2mxDXIuBjJ08XiQ4F74QBR
,Type,:,PRT PT100,,,Due Date Kalibrasi,,:,2027-02-15T00:00:00,,,,
,S/N,:,SH1/20,,,Tertelusur,,:,LK-070-IDN,,,,
,For t ≥0 oC :,,,,,,,For t≤0 oC :,,,,,
,,,,,,,,,,,,0,
,,,,,,,,,,,,,
Lama:,,Terbaru :,,,,,,,,,,,
,,,,,0.003878,,,A,0.00390954,,,,
A,0.003878,0.00390954,A,,,,,B,-6.70888e-07,,,,
B,-5.861e-07,-6.70888e-07,B,,,,,C,6.32935e-12,,,,
,,,,,,,,,,,,,
Set point (0C),Rt,R0,Rt/R0,1-Rt/R0,-4B*,A2,A2-4B*,Akar,-A+akar,2B,-A+akar/2B(UUT) 0C,Koreksi (0C),
100,138.819954,100.285707,1.384244656120338,-0.3842446561203381,-1.0311405154210455e-06,1.52845030116e-05,1.4253362496178955e-05,0.0037753625648643276,-0.0001341774351356728,-1.341776e-06,99.9998771297689,0.00012287023109536221,
105,140.711345,100.285707,1.4031046817070352,-0.4031046817070352,-1.0817523748042777e-06,1.52845030116e-05,1.4202750636795725e-05,0.003768653690218262,-0.00014088630978173824,-1.341776e-06,104.99987313958384,0.00012686041615950217,
110,142.599371,100.285707,1.4219311531602403,-0.4219311531602403,-1.1322741899254693e-06,1.52845030116e-05,1.4152228821674532e-05,0.0037619448190629448,-0.00014759518093705563,-1.341776e-06,109.99986654781098,0.00013345218901861244,
115,144.484033,100.285707,1.4407240804514647,-0.4407240804514647,-1.182705987543689e-06,1.52845030116e-05,1.4101797024056313e-05,0.003755235947854184,-0.00015430405214581638,-1.341776e-06,114.99985999586845,0.0001400041315520184,
120,146.365331,100.285707,1.4594834635807075,-0.45948346358070746,-1.2330477676589347e-06,1.52845030116e-05,1.4051455243941067e-05,0.0037485270765916933,-0.00016101292340830716,-1.341776e-06,119.99985348396987,0.00014651603012794112,
125,148.243265,100.285707,1.4782093025479692,-0.47820930254796923,-1.283299530271208e-06,1.52845030116e-05,1.4001203481328794e-05,0.003741818205275183,-0.00016772179472481722,-1.341776e-06,124.99984701233083,0.00015298766916771456,
130,150.117835,100.285707,1.49690159735325,-0.49690159735325,-1.3334612753805088e-06,1.52845030116e-05,1.3951041736219492e-05,0.003735109333904363,-0.00017443066609563757,-1.341776e-06,129.99984058116823,0.0001594188317710632,
135,151.989041,100.285707,1.5155603479965494,-0.5155603479965494,-1.383533002986836e-06,1.52845030116e-05,1.3900970008613165e-05,0.003728400462478939,-0.00018113953752106138,-1.341776e-06,134.9998341907005,0.00016580929948872836,
140,153.856883,100.285707,1.534185554477868,-0.534185554477868,-1.4335147130901915e-06,1.52845030116e-05,1.385098829850981e-05,0.003721691590998616,-0.00018784840900138442,-1.341776e-06,139.99982784114817,0.00017215885182508828,
145,155.721361,100.285707,1.5527772167972052,-0.5527772167972052,-1.4834064056905734e-06,1.52845030116e-05,1.3801096605909428e-05,0.003714982719463097,-0.00019455728053690332,-1.341776e-06,144.99982153273223,0.00017846726777293043,
