STANDAR METER/INDIKATOR,,,,,,,,,,,,,,,,,,,,,,,TABEL RECORD DRIFT,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Std Mode:,Measure,,,,,,,,
,Type,:,PRT PT100,,,Due Date Kalibrasi,,:,2027-02-15T00:00:00,,,Type,:,Type K,,,Due Date Kalibrasi,,:,2026-09-06T00:00:00,,,Type,:,Type N,,,Due Date Kalibrasi,,:,2026-09-06T00:00:00,
,S/N,:,SH1/20,,,Tertelusur,,:,LK-070-IDN,,,S/N,:,KJ25-01 ~ 16,,,Tertelusur,,:,LK-202-IDN,,,S/N,:,3~12,,,Tertelusur,,:,LK-064-IDN,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABEL KOREKSI SENSOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Titik Kalibrasi (oC),Correction oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PRT PT100,Type K,,,,,,,,,,,,,,,,Type N,,,,,,,,,,,No,,
,,,TCK-01,TCK-02,TCK-03,TCK-04,TCK-05,TCK-06,TCK-07,TCK-08,TCK-09,TCK-10,TCK-11,TCK-12,TCK-13,TCK-14,TCK-15,TCK-16,TCN3,TCN4,TCN5,TCN6,TCN7,TCN8,TCN9,TCN10,TCN11,TCN12,,1,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,,2,,
,-20,0.003969163676529774,,,,,,,,,,,,,,,,,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,,3,,
,0,0,-0.27,-0.27,-0.27,-0.27,-0.27,-0.27,-0.27,-0.27,-0.27,-0.27,-0.27,-0.27,-0.27,0,0,0,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,,4,,
,25,2.9007059112018396e-05,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,,5,,
,50,5.956705609122537e-05,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,0,0,0,0.04999999999999999,0.04999999999999999,0.04999999999999999,0.04999999999999999,0.04999999999999999,0.04999999999999999,0.04999999999999999,0.04999999999999999,0.04999999999999999,0.04999999999999999,,6,,
,100,0.00012287023109536221,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0,0,0,0.16499999999999998,0.16499999999999998,0.16499999999999998,0.16499999999999998,0.16499999999999998,0.16499999999999998,0.16499999999999998,0.16499999999999998,0.16499999999999998,0.16499999999999998,,7,,
,150,0.00018473432362497988,0.45499999999999996,0.45499999999999996,0.45499999999999996,0.45499999999999996,0.45499999999999996,0.45499999999999996,0.45499999999999996,0.45499999999999996,0.45499999999999996,0.45499999999999996,0.45499999999999996,0.45499999999999996,0.45499999999999996,0,0,0,0.07499999999999996,0.07499999999999996,0.07499999999999996,0.07499999999999996,0.07499999999999996,0.07499999999999996,0.07499999999999996,0.07499999999999996,0.07499999999999996,0.07499999999999996,,8,,
,200,0.0002532953911043023,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0,0,0,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,,9,,
,300,#REF!,-0.05500000000000001,-0.05500000000000001,-0.05500000000000001,-0.05500000000000001,-0.05500000000000001,-0.05500000000000001,-0.05500000000000001,-0.05500000000000001,-0.05500000000000001,-0.05500000000000001,-0.05500000000000001,-0.05500000000000001,-0.05500000000000001,0,0,0,0.6950000000000001,0.6950000000000001,0.6950000000000001,0.6950000000000001,0.6950000000000001,0.6950000000000001,0.6950000000000001,0.6950000000000001,0.6950000000000001,0.6950000000000001,,10,,
,400,#REF!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,,11,,
,500,,,,,,,,,,,,,,,,,,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,,12,,
,600,,,,,,,,,,,,,,,,,,1.4900000000000002,1.4900000000000002,1.4900000000000002,1.4900000000000002,1.4900000000000002,1.4900000000000002,1.4900000000000002,1.4900000000000002,1.4900000000000002,1.4900000000000002,,13,,
,700,,,,,,,,,,,,,,,,,,1.755,1.755,1.755,1.755,1.755,1.755,1.755,1.755,1.755,1.755,,14,,
,800,,,,,,,,,,,,,,,,,,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,,15,,
,900,,,,,,,,,,,,,,,,,,2.285,2.285,2.285,2.285,2.285,2.285,2.285,2.285,2.285,2.285,,16,,
,1000,,,,,,,,,,,,,,,,,,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,,17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABEL U95% SENSOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Titik Kalibrasi (oC),Correction oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PRT PT100,Type K,,,,,,,,,,,,,,,,Type N,,,,,,,,,,,,,
,,,KJ25-01,KJ25-02,KJ25-03,KJ25-04,KJ25-05,KJ25-06,KJ25-07,KJ25-08,KJ25-09,KJ25-10,KJ25-11,KJ25-12,KJ25-13,KJ25-14,KJ25-15,KJ25-16,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,,,,
,-20,0.08,,,,,,,,,,,,,,,,,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,,,,
,0,0.06,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,,,,
,25,0.06,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,,,,
,50,0.06,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,,,,
,100,0.06,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,,,,
,150,0.06,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,,,,
,200,0.06,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,,,,
,300,#REF!,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,,,,
,400,#REF!,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,,,,
,500,,,,,,,,,,,,,,,,,,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,,,,
,600,,,,,,,,,,,,,,,,,,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,,,,
,700,,,,,,,,,,,,,,,,,,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,,,,
,800,,,,,,,,,,,,,,,,,,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,,,,
,900,,,,,,,,,,,,,,,,,,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,,,,
,1000,,,,,,,,,,,,,,,,,,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
