,,,200,200.00041,0.00040999999998803105,0.00039,,,,,,M2 G,140000,140005.80000000002,5.800000000017462,8086.544040773717,0.41727990705674745,
,,,200*,200.00047,0.00047000000000707587,0.00039,,,,,,M2 H,160000,160003.30000000002,3.3000000000174623,9783.600315621432,2.062006486410757,
,,,500,500.0011,0.0011000000000080945,0.0015,,,,,,M2 I,180000,180004.30000000002,4.300000000017462,11583.600315621432,0.7247189254003702,
,,,1,0.999996,-4.000000000004e-06,3.8e-05,,,,,,M2 J,200000,200005.90000000002,5.900000000023283,13480.966911722458,0.923183080433779,
,,,,,,,,,,,,,,,,,,
,Nama Alat,:,Anak Timbangan,,,Tanggal Kalibrasi ,,:,2024-09-18T00:00:00,,,,,,,,,
,Kapasitas,:,"1,2,5 kg",,,Due Date Kalibrasi,,:,2026-09-19T00:00:00,,,LATEST RECORD DRIFT of WEIGHING,,,,,,
,Type,:,F2,,,Tertelusur,,:,LK-279-IDN,,,No,Max Index Standar (g),Kelompok Standar ,Udrift (g),,,
,S/N,:,A 3659/60/61,,,No. Sertif,,:,,,,1,200,E2 0.1-200g,2.915618859430557e-05,,,
,,,,,,,,,,,,2,500,F1 0.1-500g,0.00012990381056787585,,,
,,,Massa Nominal,Massa Konvensional,Koreksi AT,Ketidakpastian,,,,,,3,1000,F2 1-5kg,0.0014433756730055703,,,
,,,g,g,g,g,,,,,,4,10000,F1 10kg,0.0023094010767038932,,,
,,F21,1000,1000.003,0.0030000000000427463,0.006,,,,,,5,20000,M2 20kg,3.4707411432332127,,,
,,F22,2000,2000.004,0.0039999999999054126,0.012,,,,,,,,,,,,
,,F25,5000,5000.01,0.010000000000218279,0.032,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Nama Alat,:,Anak Timbangan,,,Tanggal Kalibrasi ,,:,2024-09-18T00:00:00,,,,,,,,,
,Kapasitas,:,20 kg,,,Due Date Kalibrasi,,:,2026-09-19T00:00:00,,,,,,,,,
,Type,:,M2,,,Tertelusur,,:,LK-279-IDN,,,,,,,,,
,S/N,:,A-J,,,No. Sertif,,:,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,"c
o
m
b
I
n
e
d",Massa Nominal,Massa Konvensional,Koreksi AT,Ketidakpastian,,,,,,,,,,,,
,,,g,g,g,g,,,,,,,,,,,,
,,,20000,19999.7,-0.2999999999992724,0.0006,,,,,,,,,,,,
,,,40000,40001.3,1.3000000000029104,0.000848528137423857,,,,,,,,,,,,
,,,60000,60002.200000000004,2.2000000000043656,0.0010392304845413263,,,,,,,,,,,,
,,,80000,80002.90000000001,2.900000000008731,0.0012,,,,,,,,,,,,
,,,100000,100003.90000000001,3.900000000008731,0.0013416407864998738,,,,,,,,,,,,
,,,120000,120006.30000000002,6.300000000017462,0.0014696938456699067,,,,,,,,,,,,
,,,140000,140005.80000000002,5.800000000017462,0.0015874507866387542,,,,,,,,,,,,
,,,160000,160003.30000000002,3.3000000000174623,0.0016970562748477138,,,,,,,,,,,,
,,,180000,180004.30000000002,4.300000000017462,0.0017999999999999997,,,,,,,,,,,,
,,,200000,200005.90000000002,5.900000000023283,0.0018973665961010274,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Massa Nominal,Massa Konvensional,Koreksi AT,Ketidakpastian,,,,,,,,,,,,
,,,g,g,g,g,,,,,,,,,,,,
,,A,20000,20001.6,1.5999999999985448,0.0006,,,,,,,,,,,,
,,B,20000,20000.9,0.9000000000014552,0.0006,,,,,,,,,,,,
,,C,20000,20000.7,0.7000000000007276,0.0006,,,,,,,,,,,,
,,D,20000,20001,1,0.0006,,,,,,,,,,,,
,,E,20000,19999.7,-0.2999999999992724,0.0006,,,,,,,,,,,,
,,F,20000,20002.4,2.400000000001455,0.0006,,,,,,,,,,,,
,,G,20000,19999.5,-0.5,0.0006,,,,,,,,,,,,
,,H,20000,19997.5,-2.5,0.0006,,,,,,,,,,,,
,,I,20000,20001,1,0.0006,,,,,,,,,,,,
,,J,20000,20001.6,1.5999999999985448,0.0006,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Nama Alat,:,Anak Timbangan,,,Tanggal Kalibrasi ,,:,2024-10-21T00:00:00,,,,,,,,,
,Kapasitas,:,10 kg,,,Due Date Kalibrasi,,:,2026-10-22T00:00:00,,,,,,,,,
,Type,:,F1,,,Tertelusur,,:,LK-279-IDN,,,,,,,,,
,S/N,:,4321,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Massa Nominal,Massa Konvensional,Koreksi AT,Ketidakpastian,,,,,,,,,,,,
,,,g,g,g,Mg,,,,,,,,,,,,
,,,10000,10000.007,0.006999999999607098,15,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
