,,,50,50,0,0.011,,,,,,E2,0.2*,0.200000225,2.250000000003638e-07,3.7e-05,9.670617009124194e-09,
,,,100,99.999984,-1.6000000002236447e-05,0.032,,,,,,E2,0.5,0.50000124,1.239999999995689e-06,0.00025,0,AT hilang
,,,200,200.000184,0.000183999999990192,0.037,,,,,,F1,0.0001,0.00010001,9.999999999996122e-09,6e-09,4.0414518843234103e-10,
,,,200*,200.000225,0.0002250000000003638,0.037,,,,,,F1,0.001,0.000999996,-4.0000000000040005e-09,3.8e-08,7.361215931978789e-10,
,,,500,500.00124,0.001239999999995689,0.25,,,,,,F1,0.0005,0.0005000187,1.8700000000038132e-08,0,8.660254037772925e-10,
,,,,,,,,,,,,F1,0.005,0.00500002,2.0000000000131023e-08,6.2e-08,2.59807621120368e-09,
,,,,,,,,,,,,F1,0.01,0.010000076,7.599999999996499e-08,9.2e-08,1.4433756744577917e-10,
,Nama Alat,:,Anak Timbangan,,,Tanggal Kalibrasi ,,:,2024-09-18T00:00:00,,,F1,0.02,0.01999999,-9.999999999621423e-09,1.0000000000000001e-07,5.484827557298918e-09,
,Kapasitas,:,100 mg - 500 gr,,,Due Date Kalibrasi,,:,2026-09-19T00:00:00,,,F1,0.02*,0.02000003,2.999999999886427e-08,1.0000000000000001e-07,1.2990381054736424e-09,
,Type,:,F1,,,Tertelusur,,:,LK-279-IDN,,,F1,0.05,0.05000011,1.0999999999938837e-07,1.3999999999999998e-07,9.381941873207056e-09,
,S/N,:,113106,,,No. Sertif,,:,,,,F1,0.1,0.10000048,4.799999999960391e-07,2.1e-07,2.5980762113575167e-08,
,,,,,,,,,,,,F1,0.2,0.20000041,4.0999999998803105e-07,3.8999999999999997e-07,2.742413778700738e-08,
,,,Massa Nominal,Massa Konvensional,Koreksi AT,Ketidakpastian,,,,,,F1,0.2*,0.20000047,4.7000000000707585e-07,3.8999999999999997e-07,1.0969655114802952e-07,
,,,,,,,,,,,,F1,0.5,0.5000011,1.1000000000080945e-06,1.5e-06,1.0969655114802952e-07,
,,,gr,gr,gr,g,,,,,,F1,10,10.000007,6.999999999607099e-06,0.015,2.3094010767038932e-06,
,,,0.1,0.10001,9.999999999996123e-06,6e-06,,,,,,F21,1,1.000003,3.0000000000427464e-06,6e-06,5.773502692087918e-08,
,,,0.2,0.2000183,1.8299999999998873e-05,,*same as prevoius,,,,,F22,2,2.000004,3.9999999999054125e-06,1.2e-05,1.2990381056787584e-07,
,,,0.5,0.5000187,1.870000000003813e-05,,,,,,,F25,5,5.0000100000000005,1.000000000021828e-05,3.2e-05,5.484827557893755e-07,
,,,5,5.00002,2.0000000000131024e-05,6.2e-05,,,,,,M2 A,20,19.9997,-0.0002999999999993008,0.6,0.003470741143233213,
,,,10,10.000076,7.599999999996498e-05,9.2e-05,,,,,,M2 B,40,40.0013,0.001300000000000523,1.448528137423857,0.0023910961398486753,
,,,20,19.99999,-9.999999999621423e-06,0.0001,,,,,,M2 C,60,60.0022,0.002200000000001978,2.487758621965183,0.0011649485056573548,
,,,20*,20.00003,2.999999999886427e-05,0.0001,,,,,,M2 D,80,80.00290000000001,0.002900000000011005,3.6877586219651826,0.001102161663882794,
,,,50,50.00011,0.00010999999999938836,0.00014,,,,,,M2 E,100,100.00390000000002,0.0039000000000157797,5.029399408465056,0.0011238122989776149,
,,,100,100.00048,0.00047999999999603915,0.00021,,,,,,M2 F,120,120.00630000000002,0.006300000000024397,6.499093254134963,0.001704771007349886,
,,,200,200.00041,0.00040999999998803105,0.00039,,,,,,M2 G,140,140.00580000000002,0.00580000000002201,8.086544040773717,0.0004172799070567474,
,,,200*,200.00047,0.00047000000000707587,0.00039,,,,,,M2 H,160,160.00330000000002,0.0033000000000242835,9.783600315621431,0.0020620064864107566,
,,,500,500.0011,0.0011000000000080945,0.0015,,,,,,M2 I,180,180.00430000000003,0.004300000000029058,11.583600315621432,0.0007247189254003702,
,,,1,0.999996,-4.000000000004e-06,3.8e-05,,,,,,M2 J,200,200.00590000000003,0.005900000000025329,13.480966911722458,0.0009231830804337789,
,,,,,,,,,,,Akumulasi,M2 AA,300,300.00980000000004,0.00980000000004111,18.510366320187515,0.003470741143233213,
,Nama Alat,:,Anak Timbangan,,,Tanggal Kalibrasi ,,:,2024-09-18T00:00:00,,,M2 AB,400,400.0137000000001,0.01370000000008531,23.539765728652572,0.003470741143233213,
,Kapasitas,:,"1,2,5 kg",,,Due Date Kalibrasi,,:,2026-09-19T00:00:00,,,M2 AC,500,500.01570000000004,0.015700000000038017,28.56916513711763,0.003470741143233213,
,Type,:,F2,,,Tertelusur,,:,LK-279-IDN,,,M2 AD,600,600.0196000000001,0.01960000000008222,33.59856454558268,0.003470741143233213,
,S/N,:,A 3659/60/61,,,No. Sertif,,:,,,,M2 AE,700,700.0216,0.021600000000034925,38.627963954047736,0.003470741143233213,
,,,,,,,,,,,,M2 AF,800,800.0255000000001,0.025500000000079126,43.65736336251279,0.003470741143233213,
,,,Massa Nominal,Massa Konvensional,Koreksi AT,Ketidakpastian,,,,,,M2 AG,900,900.0294000000001,0.029400000000123327,48.68676277097784,0.003470741143233213,
,,,gr,gr,gr,g,,,,,,M2 AH,1000,1000.0333000000002,0.03330000000016753,53.7161621794429,0.003470741143233213,
,,F21,1000,1000.003,0.0030000000000427463,0.006,,,,,,M2 AI,1100,1100.0353000000002,0.03530000000023392,58.74556158790795,0.003470741143233213,
,,F22,2000,2000.004,0.0039999999999054126,0.012,,,,,,M2 AJ,1200,1200.0392000000002,0.03920000000016444,63.774960996373004,0.003470741143233213,
,,F25,5000,5000.01,0.010000000000218279,0.032,,,,,,M2 AK,1300,1300.0431000000003,0.043100000000322325,68.80436040483806,0.003470741143233213,
,,,,,,,,,,,, M2 AL,1400,1400.0470000000003,0.04700000000025284,73.83375981330312,0.003470741143233213,
,,,,,,,,,,,,M2 AM,1500,1500.0490000000002,0.049000000000205546,78.86315922176817,0.003470741143233213,
,,,,,,,,,,,,M2 AN,1600,1600.0529000000001,0.05290000000013606,83.89255863023322,0.003470741143233213,
,Nama Alat,:,Anak Timbangan,,,Tanggal Kalibrasi ,,:,2024-09-18T00:00:00,,,M2 AO,1700,1700.0549,0.05490000000008877,88.92195803869828,0.003470741143233213,
,Kapasitas,:,20 kg,,,Due Date Kalibrasi,,:,2026-09-19T00:00:00,,,M2 AP,1800,1800.0588000000002,0.058800000000246655,93.95135744716333,0.003470741143233213,
,Type,:,M2,,,Tertelusur,,:,LK-279-IDN,,,M2 AQ,1900,1900.0627000000004,0.06270000000040454,98.98075685562839,0.003470741143233213,
,S/N,:,A-J,,,No. Sertif,,:,,,,M2 AR,2000,2000.0647000000004,0.06470000000035725,104.01015626409344,0.003470741143233213,
,,,,,,,,,,,,,,,,,,
,,"c
o
m
b
I
n
e
d",Massa Nominal,Massa Konvensional,Koreksi AT,Ketidakpastian,,,,,,,,,,,,
,,,gr,gr,gr,kg,,,,,,LATEST RECORD DRIFT,,,,,,
,,,20000,19999.7,-0.2999999999992724,0.0006,,,,,,No,Max Index Standar (kg),Standar ,Udrift (kg),,,
,,,40000,40001.3,1.3000000000029104,0.000848528137423857,,,,,,1,0.2,E2 0.1-200g,2.915618859430557e-08,,,
,,,60000,60002.200000000004,2.2000000000043656,0.0010392304845413263,,,,,,2,0.5,F1 0.1-500g,1.2990381056787584e-07,,,
,,,80000,80002.90000000001,2.900000000008731,0.0012,,,,,,3,1,F2 1-5kg,1.4433756730055703e-06,,,
,,,100000,100003.90000000001,3.900000000008731,0.0013416407864998738,,,,,,4,10,F1 10kg,2.3094010767038932e-06,,,
,,,120000,120006.30000000002,6.300000000017462,0.0014696938456699067,,,,,,5,20,M2 20kg,0.003470741143233213,,,
,,,140000,140005.80000000002,5.800000000017462,0.0015874507866387542,,,,,,,,,,,,
,,,160000,160003.30000000002,3.3000000000174623,0.0016970562748477138,,,,,,,,,,,,
,,,180000,180004.30000000002,4.300000000017462,0.0017999999999999997,,,,,,,,,,,,
,,,200000,200005.90000000002,5.900000000023283,0.0018973665961010274,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Massa Nominal,Massa Konvensional,Koreksi AT,Ketidakpastian,,,,,,,,,,,,
,,,gr,gr,gr,kg,,,,,,,,,,,,
,,A,20000,20001.6,1.5999999999985448,0.0006,,,,,,,,,,,,
,,B,20000,20000.9,0.9000000000014552,0.0006,,,,,,,,,,,,
,,C,20000,20000.7,0.7000000000007276,0.0006,,,,,,,,,,,,
,,D,20000,20001,1,0.0006,,,,,,,,,,,,
,,E,20000,19999.7,-0.2999999999992724,0.0006,,,,,,,,,,,,
,,F,20000,20002.4,2.400000000001455,0.0006,,,,,,,,,,,,
,,G,20000,19999.5,-0.5,0.0006,,,,,,,,,,,,
,,H,20000,19997.5,-2.5,0.0006,,,,,,,,,,,,
,,I,20000,20001,1,0.0006,,,,,,,,,,,,
,,J,20000,20001.6,1.5999999999985448,0.0006,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Nama Alat,:,Anak Timbangan,,,Tanggal Kalibrasi ,,:,2024-10-21T00:00:00,,,,,,,,,
,Kapasitas,:,10 kg,,,Due Date Kalibrasi,,:,2026-10-22T00:00:00,,,,,,,,,
,Type,:,F1,,,Tertelusur,,:,LK-022-IDN,,,,,,,,,
,S/N,:,4321,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Massa Nominal,Massa Konvensional,Koreksi AT,Ketidakpastian,,,,,,,,,,,,
,,,gr,gr,gr,Mg,,,,,,,,,,,,
,,,10000,10000.007,0.006999999999607098,15,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
