 COMMON DATA ,,,,,,,,,,,,,,,SPECIFIC DATA,,,,,,,,,,,,,Reminder Recalibration,,,TOTAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Analog,2,year,730
,,,,,,,,,,,,,,,,No,Jenis Timbangan,Range,CMC,,,,,,,,,Digital,1,year,365
,,39.64,40.2,-0.52,,77.06,80,-2.94,4.8,,,,,,,,,,,,,,,,,,,,,,
,,50.14,50.3,-0.2,,86.28,90,-3.32,4.8,,,,,,,,,,,,,,,,,,,,,,
4,TH-4,14.39,15,-0.65,1.7,28.77,30,-0.83,4.9,Inlab (Lab. Suhu),2025-09-11T00:00:00,2027-09-12T00:00:00,LK-285-IDN,,,,,,,,,,,,,,,,,,
,,19.37,20,-0.59,,47.1,50,-2.5,4.8,,,,,,,,,,,,,,,,,,,,,,
,,29.14,30,-0.82,,69.18,70,-1.22,4.8,,,,,,,,,,,,,,,,,,,,,,
,,39.63,40,-0.41,,78.4,80,-1.8,4.8,,,,,,,,,,,,,,,,,,,,,,
,,50.13,50,0.13000000000000256,,87.26,85,-2.34,4.8,,,,,,,,,,,,,,,,,,,,,,
5,TH-5,21.51,20.6,0.9100000000000001,1.8,29.8,31,-1.1999999999999993,4.9,Inlab (Flowmeter Instalation),2024-06-17T00:00:00,2026-06-18T00:00:00,LK-285-IDN,,,,,,,,,,,,,,,,,,
,,26.61,25.8,0.8099999999999987,,49.5,50,-0.5,4.8,,,,,,,,,,,,,,,,,,,,,,
,,31.71,30.9,0.8100000000000023,,59.41,60,-0.5900000000000034,4.8,,,,,,,,,,,,,,,,,,,,,,
,,40.46,40,0.46000000000000085,,79.52,80,-0.480000000000004,4.8,,,,,,,,,,,,,,,,,,,,,,
,,51.24,50.8,0.44000000000000483,,84.81,85,-0.18999999999999773,4.8,,,,,,,,,,,,,,,,,,,,,,
6,TH-6,14.64,15,-0.32,1.7,28.67,30,-1.3299999999999983,4.9,Insitu (Outsite),2025-09-11T00:00:00,2027-09-12T00:00:00,LK-285-IDN,,,,,,,,,,,,,,,,,,
,,19.33,19.6,-0.23,,46.83,50,-3.1700000000000017,4.8,,,,,,,,,,,,,,,,,,,,,,
,,29.75,29.4,0.3500000000000014,,67.23,69,-2.17,4.8,,,,,,,,,,,,,,,,,,,,,,
,,39.34,39.1,0.2,,76.79,80,-2.81,4.8,,,,,,,,,,,,,,,,,,,,,,
,,49.95,49.2,0.73,,86.52,89,-2.88,4.8,,,,,,,,,,,,,,,,,,,,,,
7,TH-7,15.32,15,0.36,1.7,29.27,30,-0.7300000000000004,4.9,Inlab (Lab. Gaya),2025-09-11T00:00:00,2027-09-12T00:00:00,LK-285-IDN,,,,,,,,,,,,,,,,,,
,,20.36,20,0.4,,48.72,50,-0.88,4.8,,,,,,,,,,,,,,,,,,,,,,
,,30.27,30,0.31,,69.06,70,-0.54,4.8,,,,,,,,,,,,,,,,,,,,,,
,,40.78,40,0.7800000000000011,,77.54,80,-2.06,4.8,,,,,,,,,,,,,,,,,,,,,,
,,50.49,50,0.51,,86.4,89,-2.2,4.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Jenis Pengukuran,"Metode Kalibrasi
(Latest IK)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Enclosure,SIDIK-IK-CAL-0501_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TITS,SIDIK-IK-CAL-0502_Rev.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
