,Sum,,,,,,,,9.975621952048375,46.33226718563435,30.17399586886023,,,Mencari ketidakpastian koefisien sensitifitas Densitas Air,,,,,,Jika totalizernya dalam bentuk massa (kg/ton) maka gunakan rumus ini untuk mencari koefisien sensitifitas,,,,,,,
,"Uncertainty Combination, uc",,,,,,,,6.806780970887366,,,,,,,,,,,,,,,,,,
,Veff,,,,,,,,71.14334448412902,,,,,,,,,,,,,,,,,,
,K Factor & Confident Level 95%,,,,,,,,1.9939433678456266,,,,,,,,,,,,,,,,,,
,"Expanded Uncertainty, U = k.Uc",,,,,,,,13.57233577327868,,,,,,,,,,,,,,,,,,
,,,,,,,,,CMC,,,,,,,,,,,,,,,,,,
,,,,,,,,,U95% sert,13.57233577327868,L,,,,,,,,,,,,,,,,
,,,,,,,,,,1.35105027058947,,,,,,,,,,,,,,,,,
,Point 2,,,,,,,,,,,,,,,,,,,,,,,,,,
,Component,Unit,Distribution,U,Divisor,vi,ui,ci,uici,(uici)2,(uici)4/vi,,,,,,,,,,,,,,,,
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,,,,,,,,,,,,
,Ketidakpastian Standar Flowmeter Ultrasonik (FU),L,normal,24.703874000000003,2,60,12.351937000000001,1,12.351937000000001,152.57034765196903,387.96184971071153,,,,,,,,,,,,,,,,
,Resolusi Alat yang dikalibrasi,L,rectangular,0.005,1.73,50,0.0028901734104046246,1,0.0028901734104046246,8.353102342209898e-06,1.3954863747886498e-12,,,,,,,,,,,,,,,,
,Ketidakpastian Pengukuran temperature fluida,oC,Normal,0.2780287754891569,2,2,0.13901438774457844,0.39804063071856555,0.05533337457680723,0.003061782342057257,4.687255555066811e-06,,,,,,,,,,,,,,,,
,Pengulangan Pembacaan,L,T-Student,0.22204804284957327,1.7320508075688772,2,0.12819949731223068,1,0.12819949731223068,0.016435111111108642,0.00013505643861724337,,,,,,,,,,,,,,,,
,Ketidakpastian cross sectional area,mm2,rectangular,0.883253086081929,2,50,0.4416265430409645,1.1253167920023348,0.4969697646779392,0.24697894700404624,0.0012199720052645496,,,,,,,,,,,,,,,,
,velocity profile,L,rectangular,2.0722636,1.73,50,1.1978402312138727,1,1.1978402312138727,1.434821219514504,0.04117423863938177,,,,,,,,,,,,,,,,
,Geometry factor,L,rectangular,5.651628,1.73,50,3.266836994219653,1,3.266836994219653,10.672223946802097,2.2779272794139227,,,,,,,,,,,,,,,,
,Drift Ufm standar,L,rectangular,0.24703874000000003,1.73,50,0.14279695953757227,1,0.14279695953757227,0.02039097165317505,8.315834499211768e-06,,,,,,,,,,,,,,,,
,Sum,,,,,,,,17.642803994948483,164.96426798349836,390.28231926030026,,,,,,,,,,,,,,,,
,"Uncertainty Combination, uc",,,,,,,,12.843841636500287,,,,,,,,,,,,,,,,,,
,Veff,,,,,,,,69.72698574434142,,,,,,,,,,,,,,,,,,
,K Factor & Confident Level 95%,,,,,,,,1.9949454151072357,,,,,,,,,,,,,,,,,,
,"Expanded Uncertainty, U = k.Uc",,,,,,,,25.622762985099662,,,,,,,,,,,,,,,,,,
,,,,,,,,,CMC,,,,,,,,,,,,,,,,,,
,,,,,,,,,U95% sert,25.622762985099662,L,,,,,,,,,,,,,,,,
,,,,,,,,,,#DIV/0!,1.346605626111084,%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point 3,,,,,,,,,,,,,,,,,,,,,,,,,,
,Component,Unit,Distribution,U,Divisor,vi,ui,ci,uici,(uici)2,(uici)4/vi,,,,,,,,,,,,,,,,
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,,,,,,,,,,,,
,Ketidakpastian Standar Flowmeter Ultrasonik (FU),L,normal,#N/A,2,200,#N/A,1,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,
,Resolusi Alat yang dikalibrasi,L,rectangular,0.005,1.73,50,0.0028901734104046246,1,0.0028901734104046246,8.353102342209898e-06,1.3954863747886498e-12,,,,,,,,,,,,,,,,
,Ketidakpastian Pengukuran temperature fluida,oC,Normal,0.2780287754891569,2,50,0.13901438774457844,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,
,Pengulangan Pembacaan,L,T-Student,0,1.7320508075688772,2,0,1,0,0,0,,,,,,,,,,,,,,,,
