,,,,Awal,Akhir,,,,Average,,,,,Lokasi Kalibrasi,,,:,Insitu,,,,,,,Jenis Timbangan,,:,Tak Bertingkat,,,,,,,
,Standar Deviasi tahun yang lalu (s)          =,,,,,,kg,,,,,,,,,,,,,m3',=,30,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,20,,z4,=,0,,,,,,,,,,,,,
,4. REPEATABILITY,,,,,,,,,,,,,,,,,20,,m4,=,40.02,,,,,,,,,,,,,
,No.,Middle Capacity,,,Maximum Capacity,,,,,,,,,,,,,,,m4',=,40.02,,,,,,,,,,,,,
,,50,,,100,,,,,,,,,,,,,20,,z5,=,0,,,,,,,,,,,,,
,,Zero (kg),Reading (kg),,Zero (kg),,,Reading (kg),,,,,,,,,,20,,m5,=,50.02,,,,,,,,,,,,,
,,(zi),(mi) ,,(zi),,,(mi) ,,,,,,,,,,10,,m5',=,50.02,,,,,,,,,,,,,
,,1,2,,1,,,2,,,,,,,,,,20,,z6,=,0,,,,,,,,,,,,,
,1,0,50.02,,0,,,100.02,,,,,,,,,,20,,m6,=,60.02,,,,,,,,,,,,,
,2,0,50.02,,0,,,100.02,,,,,,,,,,20,,m6',=,60.02,,,,,,,,,,,,,
,3,0,50.02,,0,,,100.02,,,,,,,,,,20,10,z7,=,0,,,,,,,,,,,,,
,4,0,50.04,,0,,,100.02,,,,,,,,,,20,,m7,=,70.02,,,,,,,,,,,,,
,5,0,50.02,,0,,,100.02,,,,,,,,,,20,,m7',=,70.02,,,,,,,,,,,,,
,6,0,50.02,,0,,,100.02,,,,,,,,,,20,20,z8,=,0,,,,,,,,,,,,,
,7,0,50.02,,0,,,100.02,,,,,,,,,,20,,m8,=,80.04,,,,,,,,,,,,,
,8,0,50.02,,0,,,100.04,,,,,,,,,,20,,m8',=,80.04,,,,,,,,,,,,,
,9,0,50.02,,0,,,100.02,,,,,,,,,,10,20,z9,=,0,,,,,,,,,,,,,
,10,0,50.02,,0,,,100.02,,,,,,,,,,20,20,m9,=,90.04,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,20,,m9',=,90.04,,,,,,,,,,,,,
,5. LOADING INFLUENCE ON EACH POSITION,,,,,,,20,kg,,,,,,,,,20,20,z10,=,0,,,,,,,,,,,,,
,Position,Center,Front,,Back,,,Left,Right,,,,,,,,,20,20,m10,=,100.02,,,,,,,,,,,,,
,Reading,20,20,,20.02,,,20,20,,,,,,,,,20,,m11',=,100.02,,,,,,,,,,,,,
