,FORM VALIDASI MASTER OLAH DATA KALIBRASI,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Lingkup Kalibrasi                                                    :,,Massa,,,,,,,,,,,,,,,,,,,,
,Jenis/Type Pengukuran                                       :,,Timbangan (kg),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,No.,Master Name,Last Modified Date,Detail Modified,PIC,,CHECK,,VALIDATION,,Notes/Revision,,,,,,,,,,,,
,,,,,Position :,,Position :,Supervisor,Position :,,,,,,,,,,,,,,
,,,,,Date:,2023-01-11T00:00:00,Date:,2023-01-12T00:00:00,Date:,,,,,,,,,,,,,,
,6,Master Olda Timbangan kg,2023-02-27T00:00:00,"-Remove lokasi kalibrasi table on ""Database"" sheet
-Adding DR on pelaksana kalibrasi on ""Database"" sheet
-Changing jabatan according to latest SO on ""Database"" sheet
-Updating IK on ""Database"" sheet
-Adding ""- Calibration results are not to be announced and only apply to related tools -"" statement on ""Sertifikat"" sheet
-Adding calibrator status monitoring on ""Input Data"" sheets",HN,,,,,,Cek hasil RLK baru  terhadap CMC jika sudah terbit,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2023-02-27T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,7,Master Olda Timbangan kg,2023-05-12T00:00:00,"-Updating ""Database"" sheet:  TH-1 & TH-2 recalibration 2023",HN,,,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2023-05-12T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,8,Master Olda Timbangan kg,2023-07-04T00:00:00,"-Updating NEW CMC based on New RLK 2023
-Updating interval kalibrasi std. kalibrator based on schedule program kalibrasi berkala & uji antara",HN,,,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
