PERHITUNGAN U95%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Resolution Value :,,,,Divisor for Resolution:,,,,"Jika standar deviasi =0 (timbangan kasar) , maka STDEV = 0.82 X a",,,,,,,,Index AT used :,,20,,,,,,
,Digital,,:,0.01,,1.7320508075688772,,,a :,0.01,(jika digital),,→,0.008199999999999999,,,Max AT used :,,M2 20kg,,,,,,
,Mekanik,,:,0.002,,2.449489742783178,,,a :,0.002,(jika mekanik),,→,0.00164,,,,,,,,,,,
,,,,,,,,Max,,,,,,,For uncertainty (Ref: NMI Monograph 4) :,,,,,,,,,,
,,,,,,,S,,Sres MAX :,0.008199999999999999,→,U Max=,0.008199999999999999,,"Sr>Sres , standard uncertainty U= Sr/√n",,,,,,,,,,
,,,,,,,Sr,,,,,,,,"Sr=Sres, standartd uncertainty U=Sr",,,,,,,,,,
,,,,,,Note:,,,,,,,,,,,,,,,,,,,
,,,,,,S: stdev on n-repeat measurement,,,,,,,,,,,,,,,,,,,
,,,,,,Sr: stdev 1 cycle accuration measurement,,,,,,,,,,,,,,,,,,,
,Point 1,,,,,,,,,,,,,,,,,,,,,,,,
,Component,,,,,Unit,Distribution,,U,Divider,,Vi,,Ui,,Ci,(UiCi)²,,(UiCi)4/Vi,,,,,,
,"Coverage Factor, k for Veff & CL 95%",,,,,,,,,,,,,,,,1.9977296543176954,,,,,,,,
,"Stretch Uncertainty, U = k . Uc, g",,,,,,,,,,,,,,,,0.04675707627086861,,,,,,,,
,CMC,,,,,,,,,,,,,,,,0.033,,,,kg,,,,
,U95% Sertifikat,,,,,,,,,,,,,,,,0.04675707627086861,,,,kg,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Point 5,,,,,,,,,,,,,,,,,,,,,,,,
,Component,,,,,Unit,Distribution,,U,Divider,,Vi,,Ui,,Ci,(UiCi)²,,(UiCi)4/Vi,,,,,,
,Resolution,,,,,kg,Rectangular,,0.01,1.7320508075688772,,50,,0.005773502691896258,,1,3.3333333333333335e-05,,2.2222222222222225e-11,,,,,,
,Eccentricity,,,,,kg,Rectangular,,0.009999999999999787,Ö3,,50,,0.005773502691896135,,1,3.333333333333191e-05,,2.222222222222033e-11,,,,,,
,Uncertainty of Correction - Point 5,,,,,kg,Rectangular,,0.02193552455301858,Ö3,,50,,0.02193552455301858,,1,0.000481167237416081,,4.6304382072524655e-09,,,,,,
,Total,,,,,,,,,,,,,,,,0.0005478339040827462,,4.674882651696908e-09,,,,,,
,"Standard Uncertainty Combined, uc, g",,,,,,,,,,,,,,,,0.02340585191961075,,,,,,,,
,"Degrees of Effective Freedom, Veff",,,,,,,,,,,,,,,,64.19882782589292,,,,,,,,
,"Coverage Factor, k for Veff & CL 95%",,,,,,,,,,,,,,,,1.9977296543176954,,,,,,,,
,"Stretch Uncertainty, U = k . Uc, g",,,,,,,,,,,,,,,,0.04675856446437515,,,,,,,,
,CMC,,,,,,,,,,,,,,,,0.033,,,,kg,,,,
,U95% Sertifikat,,,,,,,,,,,,,,,,0.04675856446437515,,,,kg,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
