PERHITUNGAN U95% of CORRECTION,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,POINT 1 ,10.000007,,kg,,,,,,,,,,,,,,,,,,,
,"Degrees of Effective Freedom, Veff",,,,,,,,,,,,,,,,1488.4583759690072,,,,,,
,"Coverage Factor, k for Veff & CL 95%",,,,,,,,,,,,,,,,1.9615595283744562,,,,,,
,"Stretch Uncertainty, U = k . Uc, g",,,,,,,,,,,,,,,,0.020824835413955717,,,,,,
,CMC,,,,,,,,,,,,,,,,0.033,,,,kg,,
,U95% Sertifikat,,,,,,,,,,,,,,,,0.033,,,,kg,,
,,,,,,,,,,,,,,,,,,,,,,,
3,POINT 3,29.999707,,kg,,,,,,,,,,,,,,,,,,,
,AT Used (if std. mass are combined),,,,,,,,,,,,,,,,,,,,,,
,Mass 1,Mass 2,,Mass 3,,Mass 4,Mass 5,,Mass 6,,Sr,:,stdev dr n-kali pengulangan pengukuran,,,,For uncertainty (Ref: NMI Monograph 4) :,,,,,,
,20,10,,,,,,,,,Sres,:,0.82 *a,,,,"Sr>Sres , standard uncertainty U= Sr/√n , vi=9",,,,,,
,Drift / Instability of Each mass (kg),,,,,,,,,,Nilai,,,,,,"Sr=Sres, standartd uncertainty U=Sr, vi= 1000",,,,,,
,0.003470741143233213,2.3094010767038932e-06,,0,,0,0,,0,,Sr,=,0.0063245553203355,,,,"Sr=0, standartd uncertainty U=Sres, vi= 1000",,,,,,
,,,,,,,,,,,Sres,=,0.008199999999999999,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Component,,,,,Unit,Distribution,,U,Divider,,Vi,,Ui,,Ci,(UiCi)²,,(UiCi)4/Vi,,,,
,Weight Standard (Calibrated Mass),,,,,kg,Normal,,0.000615,2,,60,,0.0003075,,1,9.455625e-08,,1.4901474023437498e-16,,,,
,Mass Instability (Drift)-Mass 1,,,,,kg,Rectangular,,0.003470741143233213,Ö3,,50,,0.003470741143233213,,1,1.2046044083331789e-05,,2.9021435611514557e-12,,,,
,Mass Instability (Drift)-Mass 2,,,,,kg,Rectangular,,2.3094010767038932e-06,Ö3,,50,,2.3094010767038932e-06,,1,5.3333333330811016e-12,,5.688888888350794e-25,,,,
