,,,20,19.99999,-9.999999999621423e-06,0.0001,,,,,,M2 C,60,60.0022,0.002200000000001978,2.487758621965183,0.0011649485056573548,
,,,20*,20.00003,2.999999999886427e-05,0.0001,,,,,,M2 D,80,80.00290000000001,0.002900000000011005,3.6877586219651826,0.001102161663882794,
,,,50,50.00011,0.00010999999999938836,0.00014,,,,,,M2 E,100,100.00390000000002,0.0039000000000157797,5.029399408465056,0.0011238122989776149,
,,,100,100.00048,0.00047999999999603915,0.00021,,,,,,M2 F,120,120.00630000000002,0.006300000000024397,6.499093254134963,0.001704771007349886,
,,,200,200.00041,0.00040999999998803105,0.00039,,,,,,M2 G,140,140.00580000000002,0.00580000000002201,8.086544040773717,0.0004172799070567474,
,,,200*,200.00047,0.00047000000000707587,0.00039,,,,,,M2 H,160,160.00330000000002,0.0033000000000242835,9.783600315621431,0.0020620064864107566,
,,,500,500.0011,0.0011000000000080945,0.0015,,,,,,M2 I,180,180.00430000000003,0.004300000000029058,11.583600315621432,0.0007247189254003702,
,,,1,0.999996,-4.000000000004e-06,3.8e-05,,,,,,M2 J,200,200.00590000000003,0.005900000000025329,13.480966911722458,0.0009231830804337789,
,,,,,,,,,,,,,,,,,,
,Nama Alat,:,Anak Timbangan,,,Tanggal Kalibrasi ,,:,2024-09-18T00:00:00,,,,,,,,,
,Kapasitas,:,"1,2,5 kg",,,Due Date Kalibrasi,,:,2026-09-19T00:00:00,,,,,,,,,
,Type,:,F2,,,Tertelusur,,:,LK-279-IDN,,,LATEST RECORD DRIFT,,,,,,
,S/N,:,A 3659/60/61,,,No. Sertif,,:,,,,No,Max Index Standar (kg),Standar ,Udrift (kg),,,
,,,,,,,,,,,,1,0.2,E2 0.1-200g,2.915618859430557e-08,,,
,,,Massa Nominal,Massa Konvensional,Koreksi AT,Ketidakpastian,,,,,,2,0.5,F1 0.1-500g,1.2990381056787584e-07,,,
,,,gr,gr,gr,g,,,,,,3,1,F2 1-5kg,1.4433756730055703e-06,,,
,,F21,1000,1000.003,0.0030000000000427463,0.006,,,,,,4,10,F1 10kg,2.3094010767038932e-06,,,
,,F22,2000,2000.004,0.0039999999999054126,0.012,,,,,,5,20,M2 20kg,0.003470741143233213,,,
,,F25,5000,5000.01,0.010000000000218279,0.032,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Nama Alat,:,Anak Timbangan,,,Tanggal Kalibrasi ,,:,2024-09-18T00:00:00,,,,,,,,,
,Kapasitas,:,20 kg,,,Due Date Kalibrasi,,:,2026-09-19T00:00:00,,,,,,,,,
,Type,:,M2,,,Tertelusur,,:,LK-279-IDN,,,,,,,,,
,S/N,:,A-J,,,No. Sertif,,:,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,c,Massa Nominal,Massa Konvensional,Koreksi AT,Ketidakpastian,,,,,,,,,,,,
,,o,gr,gr,gr,kg,,,,,,,,,,,,
,,m,20000,19999.7,-0.2999999999992724,0.0006,,,,,,,,,,,,
,,b,40000,40001.3,1.3000000000029104,0.000848528137423857,,,,,,,,,,,,
,,i,60000,60002.200000000004,2.2000000000043656,0.0010392304845413263,,,,,,,,,,,,
,,n,80000,80002.90000000001,2.900000000008731,0.0012,,,,,,,,,,,,
,,a,100000,100003.90000000001,3.900000000008731,0.0013416407864998738,,,,,,,,,,,,
,,t,120000,120006.30000000002,6.300000000017462,0.0014696938456699067,,,,,,,,,,,,
,,i,140000,140005.80000000002,5.800000000017462,0.0015874507866387542,,,,,,,,,,,,
,,o,160000,160003.30000000002,3.3000000000174623,0.0016970562748477138,,,,,,,,,,,,
,,n,180000,180004.30000000002,4.300000000017462,0.0017999999999999997,,,,,,,,,,,,
,,,200000,200005.90000000002,5.900000000023283,0.0018973665961010274,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Massa Nominal,Massa Konvensional,Koreksi AT,Ketidakpastian,,,,,,,,,,,,
,,,gr,gr,gr,kg,,,,,,,,,,,,
,,A,20000,20001.6,1.5999999999985448,0.0006,,,,,,,,,,,,
,,B,20000,20000.9,0.9000000000014552,0.0006,,,,,,,,,,,,
,,C,20000,20000.7,0.7000000000007276,0.0006,,,,,,,,,,,,
,,D,20000,20001,1,0.0006,,,,,,,,,,,,
,,E,20000,19999.7,-0.2999999999992724,0.0006,,,,,,,,,,,,
,,F,20000,20002.4,2.400000000001455,0.0006,,,,,,,,,,,,
,,G,20000,19999.5,-0.5,0.0006,,,,,,,,,,,,
,,H,20000,19997.5,-2.5,0.0006,,,,,,,,,,,,
,,I,20000,20001,1,0.0006,,,,,,,,,,,,
,,J,20000,20001.6,1.5999999999985448,0.0006,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Nama Alat,:,Anak Timbangan,,,Tanggal Kalibrasi ,,:,2024-10-21T00:00:00,,,,,,,,,
,Kapasitas,:,10 kg,,,Due Date Kalibrasi,,:,2026-10-22T00:00:00,,,,,,,,,
,Type,:,F1,,,Tertelusur,,:,LK-022-IDN,,,,,,,,,
,S/N,:,4321,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Massa Nominal,Massa Konvensional,Koreksi AT,Ketidakpastian,,,,,,,,,,,,
,,,gr,gr,gr,Mg,,,,,,,,,,,,
,,,10000,10000.007,0.006999999999607098,15,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
