 COMMON DATA ,,,,,,,,,,,,,,,,,,,SPECIFIC DATA,,,,,,,,,,,,,,,Reminder Recalibration,,,TOTAL
,,34.7 [=D35+E35],35,-0.3,,70 [=H35+I35],70,0,,961.2 [=L35+M35],960,1.2,,,,,,,,1,Gelas Ukur,,,,,,,,,,,,,,,,
,,39.8 [=D36+E36],40,-0.2,,81.1 [=H36+I36],80,1.1,,971 [=L36+M36],970,1,,,,,,,,2,Labu Ukur,,,,,,,,,,,,,,,,
,,20.55,20.3,0.25 [=C37-D37],1.6,30.3,32,-1.6999999999999993 [=G37-H37],6.1,981.1 [=L37+M37],980,1.1,,,,,,,,3,Buret,,,,,,,,,,,,,,,,
,,25.89,25.6,0.28999999999999915 [=C38-D38],,50.5,52,-1.5 [=G38-H38],6.1,990.6 [=L38+M38],990,0.6,,,,,,,,4,Picnometer,,,,,,,,,,,,,,,,
,,30.79,30.5,0.28999999999999915 [=C39-D39],,60.3,62,-1.7000000000000028 [=G39-H39],6.1,1001 [=L39+M39],1000,1,,,,,,,,5,Pipet Volume,,,,,,,,,,,,,,,,
,,40.93,40.5,0.4299999999999997 [=C40-D40],,80.22,82,-1.7800000000000011 [=G40-H40],6.1,1006 [=L40+M40],1005,1,,,,,,,,6,Pipet Ukur,,,,,,,,,,,,,,,,
No,Jenis Pengukuran,"Metode Kalibrasi
(Latest IK)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Enclosure,SIDIK-IK-CAL-0501_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TITS,SIDIK-IK-CAL-0502_Rev.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TIDS,SIDIK-IK-CAL-0503_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Pressure Gauge,SIDIK-IK-CAL-0504_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Timbangan,SIDIK-IK-CAL-0505-Rev.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,pH Meter,SIDIK-IK-CAL-0506_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Conductivity Meter,SIDIK-IK-CAL-0507_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Spectrophotometer,SIDIK-IK-CAL-0508_Rev.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Timer & Stopwatch,SIDIK-IK-CAL-0509_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Volumetrik,SIDIK-IK-CAL-0510_Rev.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Centrifuge & Tachometer,SIDIK-IK-CAL-0511_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Kelistrikan,SIDIK-IK-CAL-0512_Rev.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Gaya (UTM),SIDIK-IK-CAL-0513_Rev.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Load Cell & Proving Ring,SIDIK-IK-CAL-0514_Rev.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Mikrometer,SIDIK-IK-CAL-0515_Rev.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Refractometer,SIDIK-IK-CAL-0516_Rev.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Viscometer,SIDIK-IK-CAL-0517_Rev.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Thermohygro,SIDIK-IK-CAL-0518_Rev.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Dial Indicator,SIDIK-IK-CAL-0519_Rev.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Jangka Sorong (Caliper),SIDIK-IK-CAL-0520_Rev.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Verifikasi Metode Kerja Kalibrasi,SIDIK-IK-CAL-0521_Rev.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"Micropipette,Dispenser, & Piston Buret",SIDIK-IK-CAL-0522_Rev.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Turbidy Meter,SIDIK-IK-CAL-0523_Rev.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Chlorine Meter,SIDIK-IK-CAL-0524_Rev.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Hydrometer,SIDIK-IK-CAL-0525_Rev.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Sieve Mesh,SIDIK-IK-CAL-0526_Rev.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Thermometer Glass,SIDIK-IK-CAL-0527_Rev.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Flowmeter,SIDIK-IK-CAL-0528_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Thermocouple,SIDIK-IK-CAL-0529_Rev.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,DO Meter,SIDIK-IK-CAL-0530_Rev.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Autoclave,SIDIK-IK-CAL-0531_Rev.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Differential Pressure,SIDIK-IK-CAL-0532_Rev.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Pressure Transmitter,SIDIK-IK-CAL-0533_Rev.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Vacuum Gauge,SIDIK-IK-CAL-0534_Rev.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Validasi,Jabatan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AM,Technical Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NR,Supervisor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DR,Data Analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,NS,Data Analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
