,,,,,,,70.79650000000001 [='INPUT DATA'!H39],,110.9023 [='INPUT DATA'!J39],,159.5042 [='INPUT DATA'!L39],,0 [='INPUT DATA'!N39],,0 [='INPUT DATA'!P39],,,10 [=H26],25.4 [='INPUT DATA'!I38],,,"25 [ARRAY:=INDEX(Index_Kalibrator,MATCH(MIN(ABS(Index_Kalibrator-T32)),ABS(Index_Kalibrator-T32),0))]","0.3249999999999979 [=VLOOKUP(W32,Koreksi_Meter_Suhu,2,0)]","2.9007059112018396e-05 [=VLOOKUP(W32,Koreksi_sensor_suhu,2,0)]",25.72502900705911 [=T32+X32+Y32],,,,
,,,,,,,70.8854 [='INPUT DATA'!H40],,111.0863 [='INPUT DATA'!J40],,159.48520000000002 [='INPUT DATA'!L40],,0 [='INPUT DATA'!N40],,0 [='INPUT DATA'!P40],,,,25.3 [='INPUT DATA'!I39],,,"25 [ARRAY:=INDEX(Index_Kalibrator,MATCH(MIN(ABS(Index_Kalibrator-T33)),ABS(Index_Kalibrator-T33),0))]","0.3249999999999979 [=VLOOKUP(W33,Koreksi_Meter_Suhu,2,0)]","2.9007059112018396e-05 [=VLOOKUP(W33,Koreksi_sensor_suhu,2,0)]",25.625029007059112 [=T33+X33+Y33],,,,
,,,,,AVERAGE,,70.82033333333334 [=AVERAGE(H31:I33)],,110.97753333333333 [=AVERAGE(J31:K33)],,159.47639999999998 [=AVERAGE(L31:M33)],,0 [=AVERAGE(N31:O33)],,0 [=AVERAGE(P31:Q33)],,,,25.4 [='INPUT DATA'!I40],,,"25 [ARRAY:=INDEX(Index_Kalibrator,MATCH(MIN(ABS(Index_Kalibrator-T34)),ABS(Index_Kalibrator-T34),0))]","0.3249999999999979 [=VLOOKUP(W34,Koreksi_Meter_Suhu,2,0)]","2.9007059112018396e-05 [=VLOOKUP(W34,Koreksi_sensor_suhu,2,0)]",25.72502900705911 [=T34+X34+Y34],,,,
,,,,,Weight of Destillate Water (g),,10.545099999999998 [=H31-H27],,50.689 [=J31-J27],,99.19879999999999 [=L31-L27],,0 [=N31-N27],,0 [=P31-P27],,,50 [=J26],25.4 [='INPUT DATA'!K38],,,"25 [ARRAY:=INDEX(Index_Kalibrator,MATCH(MIN(ABS(Index_Kalibrator-T35)),ABS(Index_Kalibrator-T35),0))]","0.3249999999999979 [=VLOOKUP(W35,Koreksi_Meter_Suhu,2,0)]","2.9007059112018396e-05 [=VLOOKUP(W35,Koreksi_sensor_suhu,2,0)]",25.72502900705911 [=T35+X35+Y35],,,,
,,,,,,,10.556500000000007 [=H32-H28],,50.644299999999994 [=J32-J28],,99.2572 [=L32-L28],,0 [=N32-N28],,0 [=P32-P28],,,,25.3 [='INPUT DATA'!K39],,,"25 [ARRAY:=INDEX(Index_Kalibrator,MATCH(MIN(ABS(Index_Kalibrator-T36)),ABS(Index_Kalibrator-T36),0))]","0.3249999999999979 [=VLOOKUP(W36,Koreksi_Meter_Suhu,2,0)]","2.9007059112018396e-05 [=VLOOKUP(W36,Koreksi_sensor_suhu,2,0)]",25.625029007059112 [=T36+X36+Y36],,,,
,,,,,,,10.642400000000002 [=H33-H29],,50.823299999999996 [=J33-J29],,99.23520000000002 [=L33-L29],,0 [=N33-N29],,0 [=P33-P29],,Max,,25.5 [='INPUT DATA'!K40],,,"25 [ARRAY:=INDEX(Index_Kalibrator,MATCH(MIN(ABS(Index_Kalibrator-T37)),ABS(Index_Kalibrator-T37),0))]","0.3249999999999979 [=VLOOKUP(W37,Koreksi_Meter_Suhu,2,0)]","2.9007059112018396e-05 [=VLOOKUP(W37,Koreksi_sensor_suhu,2,0)]",25.82502900705911 [=T37+X37+Y37],,,,
,,,,,AVERAGE,,10.581333333333335 [=AVERAGE(H35:I37)],,50.71886666666666 [=AVERAGE(J35:K37)],,99.23039999999999 [=AVERAGE(L35:M37)],,0 [=AVERAGE(N35:O37)],,0 [=AVERAGE(P35:Q37)],,99.23039999999999 [=MAX(H38:Q38)],100 [=L26],25.3 [='INPUT DATA'!M38],,,"25 [ARRAY:=INDEX(Index_Kalibrator,MATCH(MIN(ABS(Index_Kalibrator-T38)),ABS(Index_Kalibrator-T38),0))]","0.3249999999999979 [=VLOOKUP(W38,Koreksi_Meter_Suhu,2,0)]","2.9007059112018396e-05 [=VLOOKUP(W38,Koreksi_sensor_suhu,2,0)]",25.625029007059112 [=T38+X38+Y38],,,,
,,,,,STDEV,,0.05319157201412048 [=STDEV(H35:I37)],,0.09316256401223277 [=STDEV(J35:K37)],,0.029494406249326317 [=STDEV(L35:M37)],,0 [=STDEV(N35:O37)],,0 [=STDEV(P35:Q37)],,0.09316256401223277 [=MAX(H39:Q39)],,25.2 [='INPUT DATA'!M39],,,"25 [ARRAY:=INDEX(Index_Kalibrator,MATCH(MIN(ABS(Index_Kalibrator-T39)),ABS(Index_Kalibrator-T39),0))]","0.3249999999999979 [=VLOOKUP(W39,Koreksi_Meter_Suhu,2,0)]","2.9007059112018396e-05 [=VLOOKUP(W39,Koreksi_sensor_suhu,2,0)]",25.52502900705911 [=T39+X39+Y39],,,,
,,,,,Corrected Distilled Water Temperature  (°C),,25.72502900705911 [=Z32],,25.72502900705911 [=Z35],,25.625029007059112 [=Z38],,#VALUE! [=Z41],,#VALUE! [=Z44],,,,25.4 [='INPUT DATA'!M40],,,"25 [ARRAY:=INDEX(Index_Kalibrator,MATCH(MIN(ABS(Index_Kalibrator-T40)),ABS(Index_Kalibrator-T40),0))]","0.3249999999999979 [=VLOOKUP(W40,Koreksi_Meter_Suhu,2,0)]","2.9007059112018396e-05 [=VLOOKUP(W40,Koreksi_sensor_suhu,2,0)]",25.72502900705911 [=T40+X40+Y40],,,,
,,,,,,,25.625029007059112 [=Z33],,25.625029007059112 [=Z36],,25.52502900705911 [=Z39],,#VALUE! [=Z42],,#VALUE! [=Z45],,,0 [=N26],"#DIV/0! [=IF('INPUT DATA'!O38="""", ""#DIV/0!"", 'INPUT DATA'!O38)]",,,"#VALUE! [ARRAY:=INDEX(Index_Kalibrator,MATCH(MIN(ABS(Index_Kalibrator-T41)),ABS(Index_Kalibrator-T41),0))]","#VALUE! [=VLOOKUP(W41,Koreksi_Meter_Suhu,2,0)]","#VALUE! [=VLOOKUP(W41,Koreksi_sensor_suhu,2,0)]",#VALUE! [=T41+X41+Y41],,,,
,,,,,,,25.72502900705911 [=Z34],,25.82502900705911 [=Z37],,25.72502900705911 [=Z40],,#VALUE! [=Z43],,#VALUE! [=Z46],,,,"#DIV/0! [=IF('INPUT DATA'!O39="""", ""#DIV/0!"", 'INPUT DATA'!O39)]",,,"#VALUE! [ARRAY:=INDEX(Index_Kalibrator,MATCH(MIN(ABS(Index_Kalibrator-T42)),ABS(Index_Kalibrator-T42),0))]","#VALUE! [=VLOOKUP(W42,Koreksi_Meter_Suhu,2,0)]","#VALUE! [=VLOOKUP(W42,Koreksi_sensor_suhu,2,0)]",#VALUE! [=T42+X42+Y42],,,,
,,,,,AVERAGE,,25.691695673725775 [=AVERAGE(H40:I42)],,25.72502900705911 [=AVERAGE(J40:K42)],,25.625029007059112 [=AVERAGE(L40:M42)],,#VALUE! [=AVERAGE(N40:O42)],,#VALUE! [=AVERAGE(P40:Q42)],,,,"#DIV/0! [=IF('INPUT DATA'!O40="""", ""#DIV/0!"", 'INPUT DATA'!O40)]",,,"#VALUE! [ARRAY:=INDEX(Index_Kalibrator,MATCH(MIN(ABS(Index_Kalibrator-T43)),ABS(Index_Kalibrator-T43),0))]","#VALUE! [=VLOOKUP(W43,Koreksi_Meter_Suhu,2,0)]","#VALUE! [=VLOOKUP(W43,Koreksi_sensor_suhu,2,0)]",#VALUE! [=T43+X43+Y43],,,,
,,,,,STDEV,,0.05773502691896134 [=STDEV(H40:I42)],,0.09999999999999964 [=STDEV(J40:K42)],,0.09999999999999964 [=STDEV(L40:M42)],,#VALUE! [=STDEV(N40:O42)],,#VALUE! [=STDEV(P40:Q42)],,,0 [=P26],"#DIV/0! [=IF('INPUT DATA'!Q38="""", ""#DIV/0!"", 'INPUT DATA'!Q38)]",,,"#VALUE! [ARRAY:=INDEX(Index_Kalibrator,MATCH(MIN(ABS(Index_Kalibrator-T44)),ABS(Index_Kalibrator-T44),0))]","#VALUE! [=VLOOKUP(W44,Koreksi_Meter_Suhu,2,0)]","#VALUE! [=VLOOKUP(W44,Koreksi_sensor_suhu,2,0)]",#VALUE! [=T44+X44+Y44],,,,
,,,,,Density of Distilled Water (g/ml),,0.9968585224579511 [=0.99997495*(1-(H65*H66)/H67)],,0.9968585224579511 [=0.99997495*(1-(J65*J66)/J67)],,0.9968848164272448 [=0.99997495*(1-(L65*L66)/L67)],,#VALUE! [=0.99997495*(1-(N65*N66)/N67)],,#VALUE! [=0.99997495*(1-(P65*P66)/P67)],,,,"#DIV/0! [=IF('INPUT DATA'!Q39="""", ""#DIV/0!"", 'INPUT DATA'!Q39)]",,,"#VALUE! [ARRAY:=INDEX(Index_Kalibrator,MATCH(MIN(ABS(Index_Kalibrator-T45)),ABS(Index_Kalibrator-T45),0))]","#VALUE! [=VLOOKUP(W45,Koreksi_Meter_Suhu,2,0)]","#VALUE! [=VLOOKUP(W45,Koreksi_sensor_suhu,2,0)]",#VALUE! [=T45+X45+Y45],,,,
,,,,,,,0.9968848164272448 [=0.99997495*(1-(H68*H69)/H70)],,0.9968848164272448 [=0.99997495*(1-(J68*J69)/J70)],,0.9969110162739646 [=0.99997495*(1-(L68*L69)/L70)],,#VALUE! [=0.99997495*(1-(N68*N69)/N70)],,#VALUE! [=0.99997495*(1-(P68*P69)/P70)],,,,"#DIV/0! [=IF('INPUT DATA'!Q40="""", ""#DIV/0!"", 'INPUT DATA'!Q40)]",,,"#VALUE! [ARRAY:=INDEX(Index_Kalibrator,MATCH(MIN(ABS(Index_Kalibrator-T46)),ABS(Index_Kalibrator-T46),0))]","#VALUE! [=VLOOKUP(W46,Koreksi_Meter_Suhu,2,0)]","#VALUE! [=VLOOKUP(W46,Koreksi_sensor_suhu,2,0)]",#VALUE! [=T46+X46+Y46],,,,
,,,,,,,0.9968585224579511 [=0.99997495*(1-(H71*H72)/H73)],,0.9968321345421242 [=0.99997495*(1-(J71*J72)/J73)],,0.9968585224579511 [=0.99997495*(1-(L71*L72)/L73)],,#VALUE! [=0.99997495*(1-(N71*N72)/N73)],,#VALUE! [=0.99997495*(1-(P71*P72)/P73)],,,,,,,,,T max,"25.82502900705911 [ARRAY:=MAX(IFERROR(Z32:Z46, """"))]",,,,
,,,,,AVERAGE,,0.9968672871143823 [=AVERAGE(H45:I47)],,0.9968584911424401 [=AVERAGE(J45:K47)],,0.9968847850530534 [=AVERAGE(L45:M47)],,#VALUE! [=AVERAGE(N45:O47)],,#VALUE! [=AVERAGE(P45:Q47)],,,,,,,,,T min,"25.52502900705911 [ARRAY:=MIN(IFERROR(Z32:Z46, """"))]",,,,
,,,,,STDEV,,1.5180830249755992e-05 [=STDEV(H45:I47)],,2.634095652139583e-05 [=STDEV(J45:K47)],,2.6246922070383963e-05 [=STDEV(L45:M47)],,#VALUE! [=STDEV(N45:O47)],,#VALUE! [=STDEV(P45:Q47)],,,,,,Temperature of the Destillate Water ,,,,"25.680584562614666 [ARRAY:=AVERAGE(IFERROR(Z32:Z46, """"))]",,,,
