TABEL BUDGET KETIDAKPASTIAN INSTRUMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,,,:,Chlorine Meter,,,,,Temperature (UTemperature),,,,,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,,,:,0-4,,mg/L,,a.,U95% Thermometer Certificate (oC),,,,,,,b.,U95% Sensor Certificate (oC),,,,,,c.,UTemperature (oC),,,:,0.36124783736376886,,,,
,Ketelitian Baca,,,,:,0.01,,mg/L,,,U95% Thermometer,,,,:,0.72,,,U95% Sensor,,,:,0.06,,,,,,,,,,,
,,,,,,,,,,,k,,,,:,2,,,k,,,:,2,,,,,,,,,,,
,,,,,,,,,,,Utemp. (oC),,,,:,0.36,,,Utemp. (oC),,,:,0.03,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Faktor Pengenceran,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,a.,U Micropippete Certificate (ml),,,,,,,b.,U  Labu Ukur Certificate (ml),,,,,,c.,Uc Pengenceran (ml),,,:,0.01650599966678783,,,,
,,,,,,,,,,,U95% Micropippete,,,,:,0.0008900000000000001,,,U95% LU Certificate (ml),,,:,0.033,,,,,,,,,,,
,,,,,,,,,,,k,,,,:,2,,,k,,,:,2,,,,,,,,,,,
,,,,,,,,,,,U Micropippete (ml),,,,:,0.00044500000000000003,,,U Labu ukur (ml),,,:,0.0165,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ketidakpastian Baku Pengulangan Pembacaan,,,,,,,mg/L,,t-student,,,0,,,5,,4,,0.02449489742783176,,,1,,0.02449489742783176,,,0.0005999999999999991,,,,8.999999999999972e-08,,,
Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0015084224467774394,,,,9.40500001091502e-08,,,
"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,0.03883841457600245,,,,,,,
"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,,24.1928577916149,,,,,,,
"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,,2.0638985616280254,,,,,,,
"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,0.0801585479793244,,,,mg/L,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,CMC Laboratory,0.08,,,,mg/L,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Uncertainty sertifikat,0.0801585479793244,,,,mg/L,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point Ukur,:,0,mg/L,U95%,,:,0,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,
Component,,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,
Ketidakpastian Baku Sertifikat Kalibrasi Calibrator,,,,,,,mg/L,,normal,,,0,,,1,,200,,0,,,1,,0,,,0,,,,0,,,
Ketidakpastian Baku Daya Baca Alat yang dikalibrasi,,,,,,,mg/L,,rect.,,,0.005,,,1.7320508075688772,,1000000,,0.002886751345948129,,,1,,0.002886751345948129,,,8.333333333333334e-06,,,,6.944444444444445e-17,,,
Ketidakpastian Temperature,,,,,,,oC,,Normal,,,0.36124783736376886,,,2,,200,,0.18062391868188443,,,0,,0,,,0,,,,0,,,
Ketidakpastian Baku Pengulangan Pembacaan,,,,,,,mg/L,,t-student,,,0,,,5,,4,,0,,,1,,0,,,0,,,,0,,,
Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,,8.333333333333334e-06,,,,6.944444444444445e-17,,,
"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,0.002886751345948129,,,,,,,
"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0000000001,,,,,,,
"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,,1.9599663568095012,,,,,,,
"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,0.005657935518532878,,,,mg/L,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,CMC Laboratory,0,,,,mg/L,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Uncertainty sertifikat,0.005657935518532878,,,,mg/L,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
