STANDAR GAUGE BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,
Name :,Gauge block standard,,,,,,,,,,,,Tanggal Kalibrasi,2024-01-24T00:00:00,,,,,,,,,,,
No Seri,160006,,,,,,,,,,,,LK-410-IDN,,,,,,,,,,,,
Merk,Metrology,,,,,,,,,,,,,,,,,,,,,,,,
Tipe,GB-9122-0,,,,,,,,,,,,,,,,,,,,,,,,
Rentang Ukur,0.5-100 mm,,,,,,,,,,,,,,,,,,,,,,,,
Grade,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Lookup Table Nominal Standar,,,,,,,,,
Nomor Seri,"Nominal Gauge Block
(mm)",Koreksi (mm),Koreksi (µm),Nilai UUT(mm),Kerataan Permukaan (µm),U 95% (k=2) (µm),,Nomor Seri,"Nominal Gauge Block
(mm)",koreksi (mm),Koreksi (µm),nilai UUT(mm),Kerataan Permukaan (µm),U 95% (k=2) (µm),,Nominal GB (mm),Nilai UUT (mm),,,,,,,,
162652,17,-0.00011999999999999999,-0.12,16.99988,0.04,0.14,,157420,50,-0.0001,-0.1,49.9999,0.03,0.25,,,0,,,,,,,,
161850,,,,,,,,156167,60,0.00011999999999999999,0.12,60.00012,0.04,0.26,,,0,,,,,,,,
160938,,,,,,,,166361,70,-8.999999999999999e-05,-0.09,69.99991,0.03,0.26,,,0,,,,,,,,
156237,,,,,,,,160764,75,-0.0001,-0.1,74.9999,0.04,0.26,,,0,,,,,,,,
142147,19,0.00011,0.11,19.00011,0.05,0.14,,167195,80,0.00013000000000000002,0.13,80.00013,0.06,0.26,,,0,,,,,,,,
163875,,,,,,,,168632,90,0.00015,0.15,90.00015,0.07,0.26,,1.5,1.49996,,,,,,,,
165367,,,,,,,,169701,100,0.00011999999999999999,0.12,100.00012,0.06,0.26,,1.6,1.5999,,,,,,,,
,,,,,,,,,,,,,,,,1.7,1.70013,,,,,,,,
Name :,Gauge block standard 200mm,,,,,,,,,,,,Tanggal Kalibrasi,2022-11-15T00:00:00,,1.8,1.80011,,,,,,,,
No Seri,2098,,,,,,,,,,,,LK-054-IDN,,,1.9,1.9000899999999998,,,,,,,,
Merk,Metrology,,,,,,,,,,,,,,,,0,,,,,,,,
Tipe,-,,,,,,,,,,,,,,,2.5,2.50014,,,,,,,,
Rentang Ukur,200 mm,,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,,
Nomor Seri,"Nominal Gauge Block
(mm)",Koreksi (mm),Koreksi (µm),Nilai UUT(mm),Kerataan Permukaan (µm),U 95% (k=2) (µm),,,,,,,,,,,0,,,,,,,,
2098,200,0.00017,0.17,200.00017,-0.08,0.73,,,,,,,,,,,0,,,,,,,,
,,,,,,,,,,,,,,,,5,5.00009,,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,,,,,,,,,,,,6,6.00016,,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,,,,,,,,,,,,7.5,7.49989,,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,,,,,,,,,,,,9,8.99991,,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,,,,,,,,,,,,11,11.00014,,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,,,,,,,,,,,,13,13.00014,,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,,,,,,,,,,,,14,14.00009,,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,,
