PT. SIDIK,,,,"KALIBRASI
MICROMETER",,,,,,,,,,,,LK-285-IDN,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Calibrator Standard Status Monitoring :,,,,,,,,,,ALL STANDARDS ARE VALID,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Range,,:,D,,,,,,,,Certificate Number,,,:,003-UB.P-11-20,,,,,,,,,
,,,,,*Fill automatically by max capacity,,,,,,,,Order Number,,,:,003-UBPK-1120,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,IDENTITAS ALAT,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,DON'T ERASE ! THIS DATA ARE FOR CALCULATION ,,,,,
,,,,,,,,,,,,,,,,,,,,,Thermohygro used,,:,TH-3,,
,,Nama Alat,,:,Digital Outside Micrometer,,,,,,,Nama Custromer,,:,[NAMA PELANGGAN DIREDAKSI],,,,,,,,,,,
,,Merk,,:,Mitutoyo,,,,,,,,,,,,,,,,Teknisi,,:,NS,,
,,Type,,:,422-333-30,,,,,,,Alamat Customer,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,Metode Kalibrasi,,:,SIDIK-IK-CAL-0515_Rev.3,,
,,No. Seri,,:,67426681,,,,,,,,,,,,,,,,Satuan,,:,mm,,
,,Rentang Ukur,,:,75-100,,1,,,,,,,,,,,,,,,,,,,
,,Kapasitas Max.,,:,100,,mm,,,,,Tanggal Terima ,,:,2023-03-30T00:00:00,,,,,,,,,,,
,,Resolusi Alat,,:,0.001,,mm,,,,,Tanggal Kalibrasi,,:,2023-04-05T00:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Penandatangan,,:,Alex Misramto,,
,,KONDISI LINGKUNGAN,,,,,,,,,PENGERJAAN,,,,,,,,,,Posisi,,:,Technical Manager,,
,,,,,,,,,,,,,,,,,,,,,Dihitung oleh,,:,DR,,
,,,,,Awal,Akhir,,Average,,,,Lokasi Kalibrasi,,:,Lab. A,,,,,,,,,,,
