TABEL BUDGET KETIDAKPASTIAN INSTRUMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,,,:,TURBIDIMETER,,,,,Temperature (UTemperature),,,,,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,,,:,0-1000,,NTU,,a.,U95% Thermometer Certificate (oC),,,,,,,b.,U95% Sensor Certificate (oC),,,,,,c.,UTemperature (oC),,,:,0.36124783736376886,,,,
,,,,,,,,,,,U95% Thermometer,,,,:,0.72,,,U95% Sensor,,,:,0.06,,,,,,,,,,,
,,,,,,,,,,,k,,,,:,2,,,k,,,:,2,,,,,,,,,,,
,,,,,,,,,,,Utemp. (oC),,,,:,0.36,,,Utemp. (oC),,,:,0.03,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ketidakpastian Baku Daya Baca Alat yang dikalibrasi,,,,,,,NTU,,rect.,,,0.5,,,1.7320508075688772,,1000000,,0.2886751345948129,,,1,,0.2886751345948129,,,0.08333333333333336,,,,6.9444444444444484e-09,,,
Ketidakpastian Temperature,,,,,,,oC,,rect.,,,0.36124783736376886,,,1.7320508075688772,,200,,0.20856653614614212,,,0.9031195934094222,,0.18836052532311542,,,0.03547968750000001,,,,6.294041125488285e-06,,,
Ketidakpastian Baku Pengulangan Pembacaan,,,,,,,NTU,,t-student,,,0.5477225575051662,,,5,,4,,0.24494897427831783,,,1,,0.24494897427831783,,,0.06000000000000001,,,,0.0009000000000000003,,,
Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,,110.42881302083333,,,,60.776218800985575,,,
"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,10.508511455997626,,,,,,,
"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,,200.6462887255569,,,,,,,
"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,,1.9718962236339095,,,,,,,
"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,20.721694056095394,,,,NTU,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,CMC Laboratory,22,,,,NTU,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Uncertainty sertifikat,22,,,,NTU,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point Ukur,:,0,NTU,U95% Std,,:,0,#REF!,,Res :,0,NTU,,,,,,,,,,,,,,,,,,,,,,
Component,,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,
Ketidakpastian Baku Sertifikat Kalibrasi Calibrator,,,,,,,#REF!,,normal,,,0,,,1,,200,,0,,,1,,0,,,0,,,,0,,,
Ketidakpastian Baku Daya Baca Alat yang dikalibrasi,,,,,,,#REF!,,rect.,,,0,,,1.7320508075688772,,1000000,,0,,,1,,0,,,0,,,,0,,,
Ketidakpastian Temperature,,,,,,,oC,,rect.,,,0.36124783736376886,,,1.7320508075688772,,200,,0.20856653614614212,,,0.9031195934094222,,0.18836052532311542,,,0.03547968750000001,,,,6.294041125488285e-06,,,
Ketidakpastian Baku Pengulangan Pembacaan,,,,,,,#REF!,,t-student,,,0,,,5,,4,,0,,,1,,0,,,0,,,,0,,,
Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03547968750000001,,,,6.294041125488285e-06,,,
"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,0.18836052532311542,,,,,,,
"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,
"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,,1.9718962236339095,,,,,,,
"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,0.3714274085663507,,,,#REF!,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,CMC Laboratory,,,,,#REF!,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Uncertainty sertifikat,0.3714274085663507,,,,#REF!,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
