,,,,,,,,,,,,,
,Nama Alat,:,Temperature Calibrator,,,Tanggal Kalibrasi ,,:,2020-09-25T00:00:00,,,,
,Merek,:,Victor,,,Due Date Kalibrasi,,:,2021-09-25T00:00:00,,,,
,Type,:,Victor 14+,,,Tertelusur,,:,LK-202-IDN,,,,
,S/N,:,992613877,,,,,,,,,,
,,,,,,,,,,,,,
,Mode,:,Measure (Indikator),,,,,,,,,,
,Sensor,:,PRT PT100,,,,,,,,,,
,,,Injeksi Tahanan,"Konversi Satuan Standart
(Standart Indication)","Pembacaan Alat
(UUT)",Correction,"Uncertainty
U95%",,,,,,
,,,Ω,oC,oC,oC,oC,,,,,,
,,,,,,,,,,,,,
,Mode,:,Measure (Indikator),,,,,,,,,,
,Sensor,:,Thermocouple Type R,,,,,,,,,,
,,,Injeksi Tegangan,"Konversi Satuan Standart
(Standart Indication)","Pembacaan Alat
(UUT)",Correction,"Uncertainty
U95%",,,,,,
,,,mV,oC,oC,oC,oC,,,,,,
,,,-0.001,-0.13,0,-0.13,0.59,,,,,,
,,,,,25,0.05500000000000099,0.59,,,,,,
,,,0.298,50.24,50,0.240000000000002,0.59,,,,,,
,,,0.653,100.74,100,0.7399999999999949,0.59,,,,,,
,,,1.477,200.96,200,0.960000000000008,0.59,,,,,,
,,,,,300,1.0249999999999915,0.59,,,,,,
,,,3.419,401.09,400,1.089999999999975,0.59,,,,,,
,,,,,500,1.1400000000000148,0.59,,,,,,
,,,5.597,601.19,600,1.1900000000000546,0.59,,,,,,
,,,,,700,1.2100000000000364,0.59,,,,,,
,,,7.965,801.23,800,1.2300000000000182,0.59,,,,,,
,,,,,900,1.259999999999991,0.59,,,,,,
,,,10.523,1001.29,1000,1.2899999999999636,0.59,,,,,,
,,,13.246,1201.3,1200,1.2999999999999545,0.59,,,,,,
,,,,,,,,,,,,,
,Mode,:,Measure (Indikator),,,,,,,,,,
,Sensor,:,Thermocouple Type S,,,,,,,,,,
,,,Injeksi Tegangan,"Konversi Satuan Standart
(Standart Indication)","Pembacaan Alat
(UUT)",Correction,"Uncertainty
U95%",,,,,,
,,,mV,oC,oC,oC,oC,,,,,,
