,,,,,,,,,,,,,,,LATEST RECORD DRIFT,,,
,Type,:,Usscell/STI-C3-500kg [=DATABASE!S15],,,,,Tertelusur,,:,LK-057-IDN,,,,,,,
,S/N,:,LC-01-SDK [=DATABASE!T15],,,,,,,,,,,,,,,
,,Load Cell N & Indicator SONIC N (Tekan),,,,,,,,,,,,,,,,
,,No.,Set Point (kg),Set Point (kN),Correction (kg),Correction (kN),U95% (% reading),,Temp cal. Before,:,23.1,oC,,,,,,
,,1,0,0 [=D62*$E$18],0,0 [=F62*$E$18],0.4,,Temp cal. After,:,23.2,oC,,,,,,
,,2,50,0.4903325 [=D63*$E$18],0,0 [=F63*$E$18],0.4,,Temp cal. Certificate,:,23.15 [=AVERAGE(L61:L62)],oC,,,,,,
,,3,100,0.980665 [=D64*$E$18],0.04,0.000392266 [=F64*$E$18],0.4,,,,,,,,,,,
,,4,150,1.4709975 [=D65*$E$18],0.03,0.0002941995 [=F65*$E$18],0.4,,,,,,,,,,,
,,5,200,1.96133 [=D66*$E$18],0.08,0.000784532 [=F66*$E$18],0.4,,,,,,,,,,,
,,6,250,2.4516625 [=D67*$E$18],0.13,0.0012748645 [=F67*$E$18],0.4,,,,,,,,,,,
,,7,300,2.941995 [=D68*$E$18],0.14,0.0013729310000000002 [=F68*$E$18],0.4,,,,,,,,,,,
,,8,400,3.92266 [=D69*$E$18],0.26,0.002549729 [=F69*$E$18],0.4,,,,,,,,,,,
,,9,500,4.903325 [=D70*$E$18],0.37,0.0036284605 [=F70*$E$18],0.4,,,,,,,,,,,
,,Load Cell N & Indicator SONIC N (Tarik),,,,,,,,,,,,,,,,
,,No.,Set Point (kg),Set Point (kN),Correction (kg),Correction (kN),U95% (% reading),,,,,,,,,,,
,,1,0,0 [=D75*$E$18],0,0 [=F75*$E$18],0.4,,,,,,,,,,,
,,2,50,0.4903325 [=D76*$E$18],0.2,0.0019613300000000003 [=F76*$E$18],0.4,,,,,,,,,,,
,,3,100,0.980665 [=D77*$E$18],0.25,0.0024516625 [=F77*$E$18],0.4,,,,,,,,,,,
,,4,150,1.4709975 [=D78*$E$18],0.35,0.0034323275 [=F78*$E$18],0.4,,,,,,,,,,,
,,5,200,1.96133 [=D79*$E$18],0.31,0.0030400615 [=F79*$E$18],0.4,,,,,,,,,,,
,,6,250,2.4516625 [=D80*$E$18],0.41,0.004020726499999999 [=F80*$E$18],0.4,,,,,,,,,,,
,,7,300,2.941995 [=D81*$E$18],0.52,0.005099458 [=F81*$E$18],0.4,,,,,,,,,,,
,,8,400,3.92266 [=D82*$E$18],0.61,0.0059820565 [=F82*$E$18],0.4,,,,,,,,,,,
,,9,500,4.903325 [=D83*$E$18],0.56,0.005491724000000001 [=F83*$E$18],0.4,,,,,,,,,,,
