,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,:,Temperature Recorder,,,,,,,,,,,Tanggal Kalibrasi ,,:,2021-01-25T00:00:00,,,,,,,,,,,,,,,,,,,,,,,
,Type,:,"6100A (TYPE N,K)",,,,,,,,,,,Due Date Kalibrasi,,:,2022-01-25T00:00:00,,,,,,,,,,,,,,,,,,,,,,,
,S/N,:,253341,,,,,,,,,,,Tertelusur,,:,LK-202-IDN,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TABEL NILAI KOREKSI TEMPERATURE RECORDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Titik Kalibrasi,,Correction (oC) Type N,,,,,,,,,,,,,,,,Correction (oC) Type K,,,,,,,,,,,,,,,,,,,,,
,oC,,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,,,,,,
,oC,,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,,,,,,
,-20,,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,,,,,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,,,,,,,,,,
,0,,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,,,,,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,,,,,,,,,,
,25,,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,,,,,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,,,,,,,,,,
,50,,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,,,,,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,,,,,,,,,,
,100,,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,,,,,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,,,,,,,,,,
,150,,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,,,,,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,,,,,,,,,,
,200,,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,,,,,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,,,,,,,,,,
,300,,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,,,,,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,,,,,,,,,,
,400,,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,,,,,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,,,,,,,,,,
