,FORM VALIDASI MASTER OLAH DATA KALIBRASI,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Lingkup Kalibrasi                                                    :,,Suhu,,,,,,,,,,,,,,,,,,,,
,Jenis/Type Pengukuran                                       :,,Enclosure,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,No.,Master Name,Last Modified Date,Detail Modified,PIC,,CHECK,,VALIDATION,,Notes/Revision,,,,,,,,,,,,
,1,Master Olda Enclosure 3 SP,2022-02-17T00:00:00,Penambahan Set point dari 1 menjadi 3,NR,,,,,,-,,,,,,,,,,,,
,,,,,Position :,Supervisor,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2022-02-17T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,2,Master Olda Enclosure 3 SP,2022-03-10T00:00:00,Revisi Formula U95 untuk komponen sensor termokopel menjadi masing2 sesuai SN termokopel dan diambil data maksimalnya,NR,,,,,,-,,,,,,,,,,,,
,,,,,Position :,Supervisor,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2022-03-10T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,3,Master Olda Enclosure 5 SP,2022-03-11T00:00:00,Penambahan Set Point dari 3 menjadi 5,NR,,,,,,-,,,,,,,,,,,,
,,,,,Position :,Supervisor,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2022-03-11T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,4,Master Olda Enclosure 6 SP,2022-07-13T00:00:00,Penambahan Set Point dari 5 menjadi 6,HN,,,,,,Update TC type K new calibration new S/N,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2022-07-13T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,5,Master Olda Enclosure 6 SP,2022-07-25T00:00:00,"- Update calibration result New TC type K on ""Thermocouple Type K"" sheet, automaticcally connected with Tabel Nilai Koreksi Sensor Termocouple & Tabel U95% Thermocouple on ""Interpolasi"" and ""Standar_Kalibrator"" sheet.",HN,,NR,,,,"-Modifikasi ke referensi baru (SNSU/BSN)
",,,,,,,,,,,,
,,,,,Position :,,Position :,Supervisor,Position :,,,,,,,,,,,,,,
,,,,,Date:,2022-07-25T00:00:00,Date:,2022-08-04T00:00:00,Date:,,,,,,,,,,,,,,
,6,Master Olda Enclosure,2022-08-04T00:00:00,"-Modifying deviasi calculation,SS,KS,VK on ""Perhitungan FC"" sheet, list budget uncertainty on ""Perhitungan U95%"" sheet, report layout table on ""Sertifikat"" sheet, sensor picture on ""Drawing Enclosure"" sheet.
(*NEW REFERENCE)",HN,,NR,,,,"-Update TC type N new calibration new S/N 
",,,,,,,,,,,,
,,,,,Position :,,Position :,Supervisor,Position :,,,,,,,,,,,,,,
