,,,,,,,,,,,,,,,,,,
,,,,,Nama Alat,:,Thermocouple ,,,,,,Tanggal Kalibrasi ,,:,2024-09-06T00:00:00,,
,,,,,Type,:,Type N,,,,,,Due Date Kalibrasi,,:,2026-09-06T00:00:00,,
,,,,,S/N,:,"TCN-06,11",,,,,,Tertelusur,,:,LK-064-IDN,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,Titik Kalibrasi,,Correction (oC),,,,,,,,,,,
Tikal,TCN-06,TCN-11,AVERAGE,,oC,,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,TC15,,
-20,-0.24,-0.06,-0.15,,-20,,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,,
0,-0.18,-0.02,-0.09999999999999999,,0,,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,,
25,,,-0.03374999999999999,,25,,-0.03374999999999999,-0.03374999999999999,-0.03374999999999999,-0.03374999999999999,-0.03374999999999999,-0.03374999999999999,-0.03374999999999999,-0.03374999999999999,-0.03374999999999999,-0.03374999999999999,,
50,,,0.0325,,50,,0.0325,0.0325,0.0325,0.0325,0.0325,0.0325,0.0325,0.0325,0.0325,0.0325,,
100,0.12,0.21,0.16499999999999998,,100,,0.16499999999999998,0.16499999999999998,0.16499999999999998,0.16499999999999998,0.16499999999999998,0.16499999999999998,0.16499999999999998,0.16499999999999998,0.16499999999999998,0.16499999999999998,,
150,,,0.2975,,150,,0.2975,0.2975,0.2975,0.2975,0.2975,0.2975,0.2975,0.2975,0.2975,0.2975,,
200,0.42,0.44,0.43,,200,,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,,
300,0.72,0.67,0.6950000000000001,,300,,0.6950000000000001,0.6950000000000001,0.6950000000000001,0.6950000000000001,0.6950000000000001,0.6950000000000001,0.6950000000000001,0.6950000000000001,0.6950000000000001,0.6950000000000001,,
400,1.02,0.9,0.96,,400,,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,,
500,1.32,1.13,1.225,,500,,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,,
600,1.62,1.36,1.4900000000000002,,600,,1.4900000000000002,1.4900000000000002,1.4900000000000002,1.4900000000000002,1.4900000000000002,1.4900000000000002,1.4900000000000002,1.4900000000000002,1.4900000000000002,1.4900000000000002,,
700,1.92,1.59,1.755,,700,,1.755,1.755,1.755,1.755,1.755,1.755,1.755,1.755,1.755,1.755,,
800,2.22,1.82,2.02,,800,,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,,
900,2.52,2.05,2.285,,900,,2.285,2.285,2.285,2.285,2.285,2.285,2.285,2.285,2.285,2.285,,
1000,2.82,2.28,2.55,,1000,,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,,
U95%,,,,,U95% ± (oC),,<400,0.76,,>400,2.7,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
