,IDENTITAS ALAT,,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,:,Hidrometer [='INPUT DATA'!$E$10],,,,,,,,Nama Custromer,,,:,[NAMA PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,,,,
,Merk,,:,Alla France [='INPUT DATA'!$E$11],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,,:,Analog [='INPUT DATA'!$E$12],,,,,,,,Alamat Customer,,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,,,,
,No. Seri,,:,HYD-02 [='INPUT DATA'!$E$13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,:,1.800 - 2.000 [='INPUT DATA'!$E$14],g/ml [='INPUT DATA'!$G$15],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kapasitas Max.,,:,2 [='INPUT DATA'!$E$15],g/ml [='INPUT DATA'!$G$15],"2 [=IF('INPUT DATA'!$G$15="""","""",IF('INPUT DATA'!$G$15=""g/ml"",E8*DATABASE!W20,IF('INPUT DATA'!$G$15=""kg/m3"",E8*DATABASE!W21,""pilih satuan"")))]",g/ml,,,,,Tanggal Terima ,,,:,2025-10-31 00:00:00 [='INPUT DATA'!Q15],,,,,,,,,,,,,,,,,,,,
,Resolusi Alat,,:,0.001 [='INPUT DATA'!$E$16],g/ml [='INPUT DATA'!$G$16],"0.001 [=IF('INPUT DATA'!$G$15="""","""",IF('INPUT DATA'!$G$15=""g/ml"",E9*DATABASE!W20,IF('INPUT DATA'!$G$15=""kg/m3"",E9*DATABASE!W21,""pilih satuan"")))]",g/ml,,,,,Tanggal Kalibrasi,,,:,2025-11-03 00:00:00 [='INPUT DATA'!Q16],,,,,,,,,,,,,,,,,,,,
,Temperature,,:,20 [='INPUT DATA'!$E$17],oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KONDISI LINGKUNGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Awal,Akhir,Average,Indexed Value,Correction (C),,,Δ,C,U95% Std TH,U95% Sertifikat,,,,,,,,,,,,,,,,,,,,,,
