STANDAR METER/INDIKATOR,,,,,,,,,,,,,,,,,,,,,,,TABEL RECORD DRIFT,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Std Mode:,Measure,,,,,,,,
,Nama Alat,:,Temperature Calibrator,,,Tanggal Kalibrasi ,,:,2024-08-28T00:00:00,,,Nama Alat,:,Temperature Calibrator,,,Tanggal Kalibrasi ,,:,2025-08-12T00:00:00,,,Std Meter,,,,,,,,,
,Merek,:,Constant,,,Due Date Kalibrasi,,:,2025-08-28T00:00:00,,,Merek,:,Yokogawa,,,Due Date Kalibrasi,,:,2026-08-12T00:00:00,,,Constant,,Yokogawa,,,,,,,
,Type,:,40T,,,Tertelusur,,:,LK-202-IDN,,,Type,:,CA 150 Handy Cal,,,Tertelusur,,:,LK-241-IDN,,,Termocouple,Udrift,Termocouple,Udrift,,,,,,
,S/N,:,99875850,,,,,,,,,S/N,:,23P1005,,,,,,,,,PRT PT100,0.07956403269756011,PRT PT100,0.072,,,,,,
,TABEL KOREKSI TEMPERATURE KALIBRATOR,,,,,,,,,,TABEL KOREKSI TEMPERATURE KALIBRATOR,,,,,,,,,,,,Thermocouple Type N,0.3381471389645776,Thermocouple Type N,0.205,,,,,,
,Titik Kalibrasi (oC),Correction oC,,,,,,,,,,Titik Kalibrasi (oC),Correction oC,,,,,,,,,,Thermocouple Type K,0.12929155313351046,Thermocouple Type K,0.06,,,,,,
,,PT100,Type K,Type N,Type B,Type T,Type R,Type S,Type J,,,,PT100,Type K,Type N,Type B,Type T,Type R,Type S,Type J,,,,,,,,,,,,
,-100,0,0,0,,0.12999999999999545,,,,,,-100,0.14000000000000057,0,0,,,,,-0.09999999999999432,,,Sensor TC,,,,,,,,,
,-20,0.10000000000000142,0.1999999999999993,0.10000000000000142,,0.0739999999999991,,,,,,-20,-0.10000000000000142,0,-0.10000000000000142,,,,,-0.10000000000000142,,,Termocouple,Udrift,,,,,,,,
,0,0.1,0.1,0.1,,0.06,0.05,0.23,,,,0,0.30000000000000004,0,0,,,,,0,,,PRT PT100,0.502,,,,,,,,
,25,0.0999999999999993,0.050000000000001425,0.09999999999999859,,0.06500000000000014,-0.06499999999999986,0.22000000000000042,,,,25,0.3249999999999979,-0.02499999999999858,-0.02499999999999858,,,,,0,,,Thermocouple Type N,0.55,,,,,,,,
,50,0.09999999999999859,2.8449465006019636e-15,0.09999999999999716,,0.07000000000000028,-0.17999999999999972,0.21000000000000085,,,,50,0.34999999999999576,-0.04999999999999716,-0.04999999999999716,,,,,0,,,Thermocouple Type K,0.5,,,,,,,,
,100,0.09999999999999716,-0.09999999999999432,0.09999999999999432,,0.10999999999999943,-0.15000000000000568,0.18999999999999773,,,,100,0.3999999999999915,-0.09999999999999432,-0.09999999999999432,,,,,0,,,,,,,,,,,,
,200,0.09999999999999432,-0.09999999999999432,-0.09999999999999432,,0.12000000000000455,-0.12999999999999545,0.30000000000001137,,,,200,0.4000000000000057,-0.09999999999999432,-0.09999999999999432,,,,,0,,,Sumber: Excel Record Drift Standar Kalibrator,,,,,,,,,
