,TABEL BUDGET KETIDAKPASTIAN INSTRUMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
,"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,2.712003152654588,,,,cP,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,CMC Laboratory,2.1,,,,cP,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Uncertainty sertifikat,2.712003152654588,,,,cP,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,,,,,,,:,Viscometer,,,,,,,,,,U95% Standar :,,,,,135.7069,cP,,,,,,,,,,,
,Rentang Ukur,,,,,,,,:,-,,cP,,,,,,,,,,,,,,,,,,,,,,,,,
,Ketelitian Baca,,,,,,,,:,0.1,,cP,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,59003,cP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Component,,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,,,
,Ketidakpastian Baku Sertifikat Kalibrasi Calibrator,,,,,,,cP,,normal,,,135.7069,,,2,,200,,67.85345,,,1,,67.85345,,,4604.0906769025,,,,105988.25480570259,,,,,
,Ketidakpastian Baku Daya Baca Alat yang dikalibrasi,,,,,,,cP,,rect.,,,0.05,,,1.7320508075688772,,1000000,,0.02886751345948129,,,1,,0.02886751345948129,,,0.0008333333333333335,,,,6.944444444444447e-13,,,,,
,Ketidakpastian Temperature,,,,,,,oC,,rect.,,,0.36124783736376886,,,1.7320508075688772,,50,,0.20856653614614212,,,53.286765369936134,,11.11383607563978,,,123.51735231619222,,,,305.1307264640471,,,,,
,Ketidakpastian Baku Pengulangan Pembacaan,,,,,,,cP,,t-student,,,48.19436343252727,,,5,,4,,21.553174553492212,,,1,,21.553174553492212,,,464.5393333333042,,,,53949.198053437685,,,,,
,Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,,5192.148195885329,,,,160242.58358560433,,,,,
,"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,72.05656247619179,,,,,,,,,
,"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,,168.2349490679152,,,,,,,,,
,"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,,1.9754000802500271,,,,,,,,,
,"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,142.34053929801036,,,,cP,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,CMC Laboratory,140,,,,cP,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Uncertainty sertifikat,142.34053929801036,,,,cP,,,,,
,TABEL BUDGET KETIDAKPASTIAN INSTRUMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,,,,,,,:,Viscometer,,,,,,,,,,U95% Standar :,,,,,300,cP,,,,,,,,,,,
,Rentang Ukur,,,,,,,,:,-,,cP,,,,,,,,,,,,,,,,,,,,,,,,,
,Ketelitian Baca,,,,,,,,:,0.1,,cP,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Component,,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,,,
,Ketidakpastian Baku Sertifikat Kalibrasi Calibrator,,,,,,,cP,,normal,,,300,,,2,,60,,150,,,1,,150,,,22500,,,,8437500,,,,,
,Ketidakpastian Baku Daya Baca Alat yang dikalibrasi,,,,,,,cP,,rect.,,,0.05,,,1.7320508075688772,,50,,0.02886751345948129,,,1,,0.02886751345948129,,,0.0008333333333333335,,,,1.3888888888888894e-08,,,,,
,Ketidakpastian Temperature,,,,,,,cP,,rect.,,,#DIV/0!,,,1.7320508075688772,,50,,#DIV/0!,,,1,,#DIV/0!,,,#DIV/0!,,,,#DIV/0!,,,,,
,Ketidakpastian Baku Pengulangan Pembacaan,,,,,,,cP,,t-student,,,#DIV/0!,,,5,,4,,#DIV/0!,,,1,,#DIV/0!,,,#DIV/0!,,,,#DIV/0!,,,,,
,Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,#DIV/0!,,,,,
,"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,
,"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,
,"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,
,"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,cP,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,CMC Laboratory,0.08,,,,cP,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Uncertainty sertifikat,#DIV/0!,,,,cP,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
