Budget Ketidakpastian Micrometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Componen,,,,,,,Satuan,,u,,,Disivsor,,,vi,,,ui,,ci,,uici,,,(uici)2,,( uici )4/ vi,,,,,,,,,
,repeatability,,,,,,,µm,,0,,,3.1622776601683795,,,9,,,0,,1,,0,,,0,,0,,,,,,,,,
,Resolusi,,,,,,,µm,,0.127,,,1.7320508075688772,,,200,,,0.07332348418708248,,1,,0.07332348418708248,,,0.0053763333333333345,,1.4452480055555562e-07,,,,,,,,,
,Standard balok ukur,,,,,,,µm,,0.18439088914585774,,,2,,,200,,,0.09219544457292887,,1,,0.09219544457292887,,,0.0085,,3.6125000000000004e-07,,,,,,,,,
,Perubahan suhu terhadap suhu acuan 200c,,,,,,,/⁰C,,0.6499999999999986,,,1.7320508075688772,,,200,,,0.3752776749732559,,6.0001600000000005e-05,,2.2517260942675316e-05,,,5.070270403605312e-10,,1.2853820982837989e-21,,,,,,,,,
,Koefisien muai thermal,,,,,,,/⁰C,,1e-05,,,1.7320508075688772,,,200,,,5.773502691896259e-06,,3.9001039999999914,,2.2517260942675316e-05,,,5.070270403605312e-10,,1.2853820982837989e-21,,,,,,,,,
,Drift standard,,,,,,,µm/tahun,,0.3405658820490851,,,1.7320508075688772,,,200,,,0.19662580367784163,,1,,0.19662580367784163,,,0.03866170667195712,,7.473637813942268e-06,,,,,,,,,
,Lapisan wringing,,,,,,,µm,,0.1118033988749895,,,1.7320508075688772,,,200,,,0.06454972243679029,,1,,0.06454972243679029,,,0.0041666666666666675,,8.680555555555559e-08,,,,,,,,,
,Kesalahan Geometri,,,,,,,µm,,0.5,,,1.7320508075688772,,,200,,,0.2886751345948129,,1,,0.2886751345948129,,,0.08333333333333336,,3.472222222222224e-05,,,,,,,,,
,Selisih suhu mikrometer dengan balok ukur,,,,,,,⁰C,,0,,,1.7320508075688772,,,200,,,0,,6.0001600000000005e-05,,0,,,0,,0,,,,,,,,,
,Uc2 (hasil penjumlahan semua elemen pada kolom ui),,,,,,,,,,,,,,,,,,,,,,,,,0.14003804101934456,,4.278844039227562e-05,,,,,,,,,
,Uc (akar kuadrat dari Uc2),,,,,,,,,,,,,,,,,,,,,,0.3742165696750273,,,Veff,,458.31660964384776,,,,,,,,,
,k (Faktor cakupan),,,,,,,,,,,,,,,,,,,,,,1.9651570982780517,,,,,,,,,,,,,,
,U95 (Ketidakpastian Bentangan),,,,,,,,,,,,,,,,,,,,,,0.735394348190143,,,µm,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,CMC,cek range,,,µm,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,U95 Sertif.,,2.8952533393312717e-05,,,inch,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
