STANDAR METER/INDIKATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,TABEL RECORD DRIFT,,,,,,,,,
,Nama Alat,:,Temperature Calibrator,,,Tanggal Kalibrasi ,,:,2024-08-28T00:00:00,,,Nama Alat,:,Temperature Calibrator,,,Tanggal Kalibrasi ,,:,2025-08-12T00:00:00,,,Std Mode:,Source,,,,,,,,
,Merek,:,Constant,,,Due Date Kalibrasi,,:,2025-08-28T00:00:00,,,Merek,:,Yokogawa,,,Due Date Kalibrasi,,:,2026-08-12T00:00:00,,,TGL Update : ,2024-08-14T00:00:00,,,,,,,,
,Type,:,40T,,,Tertelusur,,:,LK-202-IDN,,,Type,:,CA 150 Handy Cal,,,Tertelusur,,:,LK-202-IDN,,,Constant,,Yokogawa,,,,,,,
,S/N,:,99875850,,,,,,,,,S/N,:,23P1005,,,,,,,,,Termocouple,Udrift,Termocouple,Udrift,,,,,,
,TABEL KOREKSI TEMPERATURE KALIBRATOR,,,,,,,,,,TABEL KOREKSI TEMPERATURE KALIBRATOR,,,,,,,,,,,,RTD,0.125,RTD,0.072,,,,,,
,Titik Kalibrasi (oC),Correction oC,,,,,,,,,,Titik Kalibrasi (oC),Correction oC,,,,,,,,,,Type N,0.38,Type N,0.024,,,,,,
,,PT100,Type K,Type N,Type B,Type T,Type R,Type S,Type J,,,,PT100,Type K,Type N,Type B,Type T,Type R,Type S,Type J,,,Type K,0.47,Type K,0.0010000000000001564,,,,,,
,-100,0,#REF!,#REF!,,-0.15000000000000568,,,,,,-100,0,0.060000000000002274,0.14000000000000057,,0.060000000000002274,,,0.04999999999999716,,,Type B,,Type J,0.027000000000000003,,,,,,
,-20,0,-0.10000000000000142,-0.10000000000000142,,-0.07000000000000113,,,,,,-20,0.16,0.010000000000001563,0.08999999999999986,,0.02800000000000046,,,0,,,Type T,0.07,Type T,0.046000000000000006,,,,,,
,0,0.2,-1,-0.20000000000000073,,-0.05,-0.1,0.09,,,,0,0.2,0.01,0.07,,0.02,0.09,0.18,0,,,Type S,0.235,Type S,0.05600000000000001,,,,,,
,25,0.2249999999999993,-0.8000000000000007,-0.20000000000000143,,-0.044999999999999575,-0.12499999999999929,0.16500000000000098,,,,25,0.24999999999999784,-0.0025000000000015617,0.06000000000000029,,0.005000000000000993,0.13999999999999885,0.1649999999999993,0,,,Type R,0.335,Type R,0.072,,,,,,
,50,0.24999999999999858,-0.6000000000000014,-0.20000000000000284,,-0.03999999999999915,-0.14999999999999858,0.240000000000002,,,,50,0.2999999999999957,-0.015000000000003125,0.05000000000000057,,-0.00999999999999801,0.18999999999999773,0.14999999999999858,-0.030000000000001137,,,,,,,,,,,,
,100,0.29999999999999716,-0.20000000000000284,-0.30000000000001137,,-0.01999999999999602,-0.12999999999999545,0.20000000000000284,,,,100,0.3999999999999915,-0.04000000000000625,0.030000000000001137,,-0.010000000000005116,0.18000000000000682,0.09999999999999432,0,,,,,,,,,,,,
