,,,,,,,,,,,,
,Nama Alat,:,Thermocouple ,,,Tanggal Kalibrasi ,,:,2022-09-19T00:00:00,,,
,Type,:,PRT PT100,,,Due Date Kalibrasi,,:,2024-09-19T00:00:00,,,
,S/N,:,SH1/20,,,Tertelusur,,:,LK-070-IDN,,,
,For t ≥0 oC :,,,,,,,For t≤0 oC :,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,0.003878,,,A,0.003501,,,
A,0.003878,,,,,,,B,-2.1e-05,,,
B,-5.861e-07,,,,,,,C,5e-09,,,
,,,,,,,,,,,,
Set point (0C),Rt,R0,Rt/R0,1-Rt/R0,-4B*,A2,A2-4B*,Akar,-A+akar,2B,-A+akar/2B(UUT) 0C,Koreksi (0C)
30,111.903826,100.28703,1.115835477429135,-0.11583547742913503,-2.715646932848641e-07,1.5038883999999999e-05,1.4767319306715135e-05,0.003842826994117109,-3.517300588289085e-05,-1.1722e-06,30.005976695863207,-0.005976695863207482
35,113.82984,100.28703,1.135040493272161,-0.13504049327216094,-3.165889324272541e-07,1.5038883999999999e-05,1.4722295067572746e-05,0.0038369643036615217,-4.103569633847823e-05,-1.1722e-06,35.00741881801589,-0.007418818015892725
40,115.752962,100.28703,1.1542166718866835,-0.15421667188668353,-3.615455655711409e-07,1.5038883999999999e-05,1.4677338434428858e-05,0.0038311014649091268,-4.6898535090873165e-05,-1.1722e-06,40.00898745169183,-0.008987451691830017
45,117.673193,100.28703,1.1733640232440825,-0.1733640232440825,-4.0643461609342703e-07,1.5038883999999999e-05,1.4632449383906572e-05,0.00382523847412244,-5.276152587755994e-05,-1.1722e-06,45.010685785326686,-0.01068578532668596
50,119.590532,100.28703,1.1924825373729784,-0.19248253737297838,-4.512560606172105e-07,1.5038883999999999e-05,1.4587627939382789e-05,0.0038193753336616173,-5.862466633838265e-05,-1.1722e-06,50.01251180547914,-0.012511805479142879
55,121.504981,100.28703,1.2115722342161295,-0.21157223421612947,-4.960099458962939e-07,1.5038883999999999e-05,1.4542874054103704e-05,0.003813512036706283,-6.448796329371672e-05,-1.1722e-06,55.01447133058925,-0.014471330589252318
60,123.416538,100.28703,1.2306330938307775,-0.23063309383077746,-5.406962251768747e-07,1.5038883999999999e-05,1.4498187774823125e-05,0.0038076485886729522,-7.035141132704769e-05,-1.1722e-06,60.01655973984618,-0.016559739846179866
65,125.325204,100.28703,1.2496651261883016,-0.2496651261883016,-5.853149218358543e-07,1.5038883999999999e-05,1.4453569078164145e-05,0.0038017849857881424,-7.621501421185752e-05,-1.1722e-06,65.01878025239509,-0.018780252395089292
70,127.230979,100.28703,1.2686683312887022,-0.26866833128870216,-6.298660358732333e-07,1.5038883999999999e-05,1.4409017964126765e-05,0.0037959212273342507,-8.207877266574928e-05,-1.1722e-06,70.02113348042081,-0.021133480420814976
75,129.133862,100.28703,1.2876426991605991,-0.28764269916059915,-6.743495439121087e-07,1.5038883999999999e-05,1.436453445608789e-05,0.003790057315673193,-8.794268432680673e-05,-1.1722e-06,75.02361740898033,-0.02361740898032849
80,131.033854,100.28703,1.3065882397753725,-0.30658823977537253,-7.187654693293834e-07,1.5038883999999999e-05,1.4320118530670615e-05,0.003784193247003992,-9.380675299600809e-05,-1.1722e-06,80.02623528067573,-0.026235280675734884
85,132.930956,100.28703,1.3255049631044016,-0.3255049631044016,-7.631138355019591e-07,1.5038883999999999e-05,1.427577016449804e-05,0.0037783290175020545,-9.967098249794547e-05,-1.1722e-06,85.0289903582541,-0.028990358254105786
90,134.825165,100.28703,1.344392839233548,-0.344392839233548,-8.0739457229913e-07,1.5038883999999999e-05,1.4231489427700868e-05,0.0037724646357124234,-0.00010553536428757658,-1.1722e-06,90.03187535196774,-0.031875351967741494
95,136.716484,100.28703,1.3632518980769497,-0.3632518980769497,-8.516077498516009e-07,1.5038883999999999e-05,1.4187276250148397e-05,0.0037666000916142394,-0.00011139990838576058,-1.1722e-06,95.0348988105789,-0.03489881057889477
100,138.604911,100.28703,1.3820821196918482,-0.38208211969184824,-8.95753321405569e-07,1.5038883999999999e-05,1.414313067859443e-05,0.003760735390664229,-0.00011726460933577081,-1.1722e-06,100.03805607897186,-0.03805607897186292
105,140.490447,100.28703,1.4008835140496232,-0.4008835140496232,-9.398313103379366e-07,1.5038883999999999e-05,1.4099052689662063e-05,0.0037548705290145574,-0.00012312947098544252,-1.1722e-06,105.04135043972234,-0.04135043972233632
110,142.373092,100.28703,1.4196560811502745,-0.41965608115027453,-9.838417166487035e-07,1.5038883999999999e-05,1.4055042283351296e-05,0.0037490055059110406,-0.0001289944940889593,-1.1722e-06,110.0447825362219,-0.04478253622190209
115,144.252846,100.28703,1.4383998209938016,-0.4383998209938016,-1.0277845403378685e-06,1.5038883999999999e-05,1.401109945966213e-05,0.003743140320594745,-0.0001348596794052549,-1.1722e-06,115.04835301591444,-0.04835301591444363
120,146.129709,100.28703,1.4571147335802046,-0.4571147335802046,-1.0716597814054316e-06,1.5038883999999999e-05,1.3967224218594567e-05,0.0037372749723019534,-0.0001407250276980465,-1.1722e-06,120.05206253032462,-0.05206253032461916
125,148.00368,100.28703,1.475800808938105,-0.47580080893810495,-1.1154674164744932e-06,1.5038883999999999e-05,1.3923416583525505e-05,0.0037314094633965735,-0.00014659053660342645,-1.1722e-06,125.05590906281049,-0.055909062810485466
130,149.87476,100.28703,1.4944580570388815,-0.49445805703888146,-1.1592074689219537e-06,1.5038883999999999e-05,1.3879676531078045e-05,0.0037255437899826175,-0.00015245621001738242,-1.1722e-06,130.05989593702648,-0.059895937026482216
135,151.742949,100.28703,1.513086477882534,-0.5130864778825339,-1.2028799387478126e-06,1.5038883999999999e-05,1.3836004061252187e-05,0.003719677951281829,-0.0001583220487181708,-1.1722e-06,135.06402381690052,-0.06402381690051584
140,153.608246,100.28703,1.5316860614976833,-0.5316860614976833,-1.2464848025751686e-06,1.5038883999999999e-05,1.3792399197424831e-05,0.0037138119496583064,-0.0001641880503416935,-1.1722e-06,140.0682906856283,-0.06829068562831253
145,155.470652,100.28703,1.5502568178557088,-0.5502568178557088,-1.2900220837809236e-06,1.5038883999999999e-05,1.3748861916219076e-05,0.003707945781186542,-0.00017005421881345802,-1.1722e-06,145.07269989204744,-0.07269989204743865
150,157.330168,100.28703,1.5687987569279895,-0.5687987569279895,-1.3334918057419787e-06,1.5038883999999999e-05,1.370539219425802e-05,0.0037020794419161266,-0.00017592055808387337,-1.1722e-06,150.077254806239,-0.07725480623901149
155,159.186791,100.28703,1.5873118488003881,-0.5873118488003881,-1.3768938983276298e-06,1.5038883999999999e-05,1.3661990101672368e-05,0.003696212940520658,-0.00018178705947934212,-1.1722e-06,155.0819480287853,-0.08194802878529117
160,161.040524,100.28703,1.6057961233870421,-0.6057961233870421,-1.4202284316685816e-06,1.5038883999999999e-05,1.3618655568331417e-05,0.0036903462667250368,-0.00018765373327496318,-1.1722e-06,160.08678832533968,-0.08678832533968261
165,162.891365,100.28703,1.624251560745193,-0.6242515607451931,-1.4634953590110305e-06,1.5038883999999999e-05,1.3575388640988969e-05,0.0036844794260504385,-0.00019352057394956147,-1.1722e-06,165.09177098580574,-0.09177098580573784
170,164.739316,100.28703,1.6426781808175992,-0.6426781808175992,-1.5066947271087795e-06,1.5038883999999999e-05,1.3532189272891219e-05,0.003678612411343606,-0.00019938758865639412,-1.1722e-06,170.09690211260374,-0.09690211260374326
175,166.584375,100.28703,1.6610759636615022,-0.6610759636615022,-1.5498264892080258e-06,1.5038883999999999e-05,1.3489057510791974e-05,0.0036727452281354847,-0.0002052547718645152,-1.1722e-06,175.10217698730185,-0.10217698730184566
180,168.426542,100.28703,1.6794449092769026,-0.6794449092769026,-1.5928906453087705e-06,1.5038883999999999e-05,1.3445993354691229e-05,0.0036668778756172435,-0.00021112212438275648,-1.1722e-06,180.1075962999117,-0.10759629991170527
185,170.265819,100.28703,1.6977850376065577,-0.6977850376065577,-1.635887242164814e-06,1.5038883999999999e-05,1.3402996757835185e-05,0.0036610103465894747,-0.00021698965341052524,-1.1722e-06,185.11316619222424,-0.11316619222424151
190,172.102204,100.28703,1.7160963287077102,-0.7160963287077102,-1.6788162330223558e-06,1.5038883999999999e-05,1.3360067766977643e-05,0.0036551426465977555,-0.00022285735340224445,-1.1722e-06,190.11888193332575,-0.1188819333257527
