,,,,,,,,,,,,,
,Nama Alat,:,Temperature Calibrator,,,Tanggal Kalibrasi ,,:,2025-08-12T00:00:00,,,,
,Merek,:,Yokogawa,,,Due Date Kalibrasi,,:,2026-08-12T00:00:00,,,,
,Type,:,CA 150 Handy Cal,,,Tertelusur,,:,LK-241-IDN & LK-285-IDN,,,,
,S/N,:,23P1005,,,,,,,,,,
,,,,,,,,,,,,,
,Mode,:,Source,,,,,,,,,,
,Sensor,:,PRT PT100,,,,,,,,,,
,,,Injeksi Tahanan,"Konversi Satuan Standart
(Standart Indication)","Pembacaan Alat
(UUT)",Correction,"Uncertainty
U95%",,,,,,
,,,Ω,oC,oC,oC,oC,,,,,,
,,,,200.08,200,0.0800000000000125,0.73,,,,,,
,,,,,300,0.04999999999999716,0.73,,,,,,
,,,,400.02,400,0.01999999999998181,0.73,,,,,,
,,,,,500,-0.014999999999986358,0.59,,,,,,
,,,,599.95,600,-0.049999999999954525,0.59,,,,,,
,,,,,700,-0.07499999999998863,0.59,,,,,,
,,,,799.9,800,-0.10000000000002274,0.59,,,,,,
,,,,,900,-0.125,0.59,,,,,,
,,,,999.85,1000,-0.14999999999997726,0.59,,,,,,
,,,,1199.8,1200,-0.20000000000004547,0.56,,,,,,
,,,,,,,,,,,,,
,Mode,:,Source,,,,,,,,,,
,Sensor,:,Thermocouple Type R,,,,,,,,,,
,,,,"Konversi Satuan Standart
(Standart Indication)","Pembacaan Alat
(UUT)",Correction,"Uncertainty
U95%",,,,,,
,,,,oC,oC,oC,oC,,,,,,
,,,,0.09,0,0.09,0.72,,,,,,
,,,,,25,0.13999999999999885,0.72,,,,,,
,,,,50.19,50,0.18999999999999773,0.72,,,,,,
,,,,100.18,100,0.18000000000000682,0.72,,,,,,
,,,,200.14,200,0.13999999999998636,0.72,,,,,,
,,,,,300,0.10999999999998522,0.72,,,,,,
,,,,400.08,400,0.07999999999998408,0.72,,,,,,
,,,,,500,0.044999999999987494,0.72,,,,,,
,,,,600.01,600,0.009999999999990905,0.42,,,,,,
,,,,,700,-0.024999999999977263,0.42,,,,,,
,,,,799.94,800,-0.05999999999994543,0.42,,,,,,
,,,,,900,-0.08499999999997954,0.42,,,,,,
,,,,999.89,1000,-0.11000000000001364,0.42,,,,,,
,,,,1199.84,1200,-0.16000000000008185,0.42,,,,,,
,,,,,,,,,,,,,
,Mode,:,Source,,,,,,,,,,
,Sensor,:,Thermocouple Type T,,,,,,,,,,
,,,,"Konversi Satuan Standart
(Standart Indication)","Pembacaan Alat
(UUT)",Correction,"Uncertainty
U95%",,,,,,
,,,,oC,oC,oC,oC,,,,,,
,,,,-99.94,-100,0.060000000000002274,0.46,,,,,,
,,,,,-20,0.02800000000000046,0.46,,,,,,
,,,,0.02,0,0.02,0.46,,,,,,
,,,,,25,0.005000000000000993,0.25,,,,,,
,,,,49.99,50,-0.00999999999999801,0.25,,,,,,
,,,,99.99,100,-0.010000000000005116,0.25,,,,,,
,,,,199.95,200,-0.05000000000001137,0.25,,,,,,
,,,,299.94,300,-0.060000000000002274,0.25,,,,,,
